case_name,reference_count,unique_domain_count,reference_domains,attack_tx_hash_count,has_attack_tx_hash,incident_record_sha256
bancor,2,2,blog.bancor.network|etherscan.io,0,False,12e769362c1be3988caf52c51ee183a7013887915f0bf8dccff261ab8b849737
opyn,2,2,etherscan.io|medium.com,1,True,1a0143eddb168a6b6e718dd3f5a498429851eb5c198743f2b4c666b645a585ed
bzx,1,1,twitter.com,0,False,c1757886f5994b885b6fb157b5a4976ef009ba0a86633e2a73a8817e0b872a24
cover,2,2,mudit.blog|slowmist.medium.com,0,False,092f869ecaf110a83300555d4e398c4f08a8e4b38f93fd479f97051f43bc0129
pickle,2,2,etherscan.io|github.com,1,True,a60badf8ba8b49d7a818d8faba95f5f92214542caff298ac5a90b3ccdca24be9
harvestfinance,2,2,etherscan.io|rekt.news,1,True,c41b70ddd318d13aaad01c2ebd818fb9f75d6e6f8efb1b1c53810f7555c3ef9a
sushi_badger_digg,1,1,cmichel.io,0,False,6cc76f4b0a801f0f122487a783e4e2c3b59a2fb508f651b6ead428f2cfd64ad7
lendfme,1,1,peckshield.medium.com,0,False,e677aa96067ef58ffc2bfdf68f5648eb770e9cd210e39d3ed6eb2de7cb477191
yearn_ydai,2,2,etherscan.io|github.com,1,True,089690c08fc86910dc446f979c46e99708d6ddce64e4303b043f4387d8cc8df8
uranium,2,2,bscscan.com|twitter.com,1,True,9d3eb5e27031d69b5e57b9f3040bd23c3bfd10c631389c6b250f9f8f3d98d7fd
spartan,1,1,rekt.news,0,False,1e131cb812e4acd651d55f9cefaae8ca2216a72785cadcbd19e7d66491a453f6
dodo_flashloan,3,3,blog.dodoex.io|etherscan.io|halborn.com,1,True,e74bcf9627e666abcc1dd105229c09bd34d85b635197b7580cedb3c48eed0246
pancakebunny,2,2,bscscan.com|rekt.news,1,True,baf63791a4277f87d91ddc0567f2b55ffda4a381f3294e1a8b8b6b891a7836ff
burgerswap,1,1,twitter.com,0,False,63e826cb9881b371ac3674c38a3a8b812dbb7807ef3c75978eb8b6e3dd255630
88mph,1,1,medium.com,0,False,4451139dfa098f690604a55207330189bd34c454b39867257c40110ef5f8f71a
eleven,2,2,bscscan.com|peckshield.medium.com,1,True,5ffd3ed363cfbe0e373320610197f27c34e430107e5366516a6dfb3ca245b549
xwin,1,1,peckshield.medium.com,0,False,9aa89bc4c360d07aa0711f47b8f5b59db465dc22d8f306bc5315b5977a993395
cream,3,2,etherscan.io|twitter.com,1,True,7eb8399ca0ec2a1f3c1f751a139eb23c890e45ed189ed42cb86f3c8e2e987194
xsurge,3,3,beosin.medium.com|bscscan.com|medium.com,1,True,4f6037b245cd4ce4e5c660dce57cef491cd19921f8610fd9948f5b496bf6d1aa
nowswap,1,1,twitter.com,0,False,1cf9f8da8125f234890449362de85fb1b390e41dc8287302242423b36ef935f7
nimbus,1,1,twitter.com,0,False,360fd55e367d0f5ee34eca04acb003298f83f95c9fda4d4098810ae84a16d73e
waultfinance,2,2,inspexco.medium.com|medium.com,0,False,320f1be574bb2e5f6bf78c522759e7164148a5238854b7e77a70674f85db1070
sushimiso,2,2,etherscan.io|paradigm.xyz,1,True,4103dc779de5b388c14c86f7e5dcfef58c7ceaabecac89af2dec0cd05f5b1415
balancer_20200628,2,2,etherscan.io|slowmist.medium.com,1,True,cff6c4627717d0667b3d6ecc390f2da2c0f3c61c6ed558a40bf841b4f98fe071
mono,5,5,etherscan.io|knownseclab.com|polygonscan.com|slowmist.medium.com|tuoniaox.com,2,True,9cd973d11f8ed1476098b090748f544d24666be4e5b92bc1afeb421b3acdd613
ploutoz,1,1,x.com,0,False,f016e278ccd20466d1c44ecf3252729611d6ed2f3adcdd5cc925aa429fbc06d5
nervebridge,1,1,blocksecteam.medium.com,0,False,dece0a59673e8a0b9d944e2fcd67cd2b5d5239e4cb05e2b2729b09227a85a2d9
indexedfinance,1,1,blocksecteam.medium.com,0,False,abff0f9940c92bfd88c9e82d7635f75ccf5764ace19a5f5e9c4cd4b956e55487
visor,3,3,beosin.medium.com|etherscan.io|twitter.com,1,True,57608208f426b1549e7143e045cdcb5c8a3b867e37bcb5efc1392972450cc86e
julswap,1,1,x.com,0,False,78404b116f80b9ab51f5cb3ac92b2df41ae1cf804c432dcd98d241844b780f35
pancakehunny,2,2,bscscan.com|medium.com,1,True,5cb67b48f7a41c216434ae429a489c490ed20fd197e82c07d18a19c4849ebf43
valuedefi,2,2,bscscan.com|rekt.news,1,True,7d78083794faec03af1482a8b998008684c65c30acb511987f8185adfe9bce7a
tecraspace,2,2,app.blocksec.com|etherscan.io,1,True,8dcc6cf14da53d18c0dffbe05975ae19cdbb89258d900603f38bd288d7068f77
sandbox,2,2,etherscan.io|slowmist.medium.com,1,True,ea64f46e2fff8fae01b0e05861d701df420f54d3860838a780ff19c9b45cd38a
compoundtusd,1,1,blog.openzeppelin.com,0,False,ac5eaa0ad8052973e9e01fb663f70c77e9001defccbcbad78bbc098a269ac35e
bearn,1,1,bearndao.medium.com,0,False,9ed3b8cb1b7fc21c248e7e2df5c1700288d1ff0847766c32554a1ada5bb9e39e
anyswap,3,3,etherscan.io|medium.com|twitter.com,1,True,77860e9a02b9d1b78a1dd3749b28c3ff90bf9351a92a266d527389790e9bf2a6
auctus,2,2,etherscan.io|twitter.com,1,True,f7eac2bb75803bc24ee13d8d49f11db7ecc7b5c5f45fde7d1c6c9cd88fdda442
paraluni,5,5,bscscan.com|halborn.com|mobile.twitter.com|twitter.com|zhuanlan.zhihu.com,1,True,9afc49f7b502ddc859eb73df6ad44cc8f1978b85a461bd671cda557d2a71d35d
qubit,5,4,bscscan.com|etherscan.io|medium.com|rekt.news,2,True,0f00e16a4a5b3ca0999697aa87fe5dca6316af20fddc2f9328ce37176b896972
revest,2,2,blocksecteam.medium.com|etherscan.io,1,True,88ae5e0c370c7e71164bf483fef14d13427ddda22572679a18b40123ff9d504d
umbrella,2,2,etherscan.io|medium.com,1,True,d2b545485a2576c627b6163d1b888de767cc3eb51fb52f4e390490d24c8d9900
cream_2,1,1,medium.com,0,False,1d701117ac3bc86137daa8d8de96c3bae95c064e19be5ee80d1e5ebbfb1bb0ae
akutarnft,2,2,blocksecteam.medium.com|etherscan.io,0,False,9d1f7e9a307cec973ffd61b64f153f67af7aefa72480ca01dd85649d26d626e7
rikkei,4,4,blockmagnates.com|bscscan.com|knownseclab.com|rikkeifinance.medium.com,1,True,c85629486d43f7118174c99849721d472720c1f818639919c84a8eb795cc1a25
gym_1,3,3,bscscan.com|medium.com|twitter.com,1,True,f06c052bbed028dedfbce1e3573459fba13ecb030f95eeb27b06eaae14b9c7cb
cftoken,2,2,bscscan.com|twitter.com,1,True,ef7aed77f0e27a0eba086a9d55b0a8defb7987fbb448c069472426995eb8aa43
rari,3,3,certik.medium.com|etherscan.io|twitter.com,1,True,bfdd6ad4dd398e473d0b99c4932aea070edf3d71517f6371def560e0ba3e6421
wdoge,3,3,bscscan.com|coinyuppie.com|twitter.com,1,True,e3d5bf554f1f7886a068cfb63775d3ac3b2f0d2a810d5c9a10348df718f2eaaa
zeed,3,3,bscscan.com|cryptotimes.io|medium.com,1,True,10d5d85a1d88c996ee2a736abc651bf9c2c782d201e43cea87beaefff942724f
bayc_apecoin,2,2,etherscan.io|news.coincu.com,1,True,5fea314c8aa1c5d6be50e46582b4cd6e7c251019ff21bba772a724bf355614ca
saddle,3,3,github.com|medium.com|twitter.com,0,False,cd185764b578e3785166a873b0e69b31c47f673aecf81d03316fdb06e58094be
discover,4,3,anquanke.com|bscscan.com|twitter.com,2,True,1bbd267da672f036dcb9cc6a5ccfd9125e402490153ded9ee9e6077892e33b65
hackdao,1,1,twitter.com,0,False,7d0cc52ff2fd2f99672ff48476b9c21fa5a99820b342fed48eb46b2a5acba657
inversefinance,5,4,blocksecteam.medium.com|certik.com|etherscan.io|twitter.com,1,True,565fe7dc83f785bb37b0d4a80b20879d5d6d810a44db5cf0bb79ed142b3743ba
gym_2,3,2,jinse.com|twitter.com,0,False,8fcc505a028f0a841ea7fbcb5965f7ef30463ae7e5022b0723605c4461c74cdf
flippazone,2,2,etherscan.io|twitter.com,1,True,9b76e14eedbc5e1e1bb8150fb55eb2ccd8f63a0421870d6a30c18a9bbed3b064
lpc,2,2,panewslab.com|twitter.com,0,False,965abc2879337609e714a13f9ca4dd468ede665cca9a0a0b1a678d2af876b20c
spacegodzilla,4,3,learnblockchain.cn|medium.com|mobile.twitter.com,0,False,e552b812039f2df36678f729fde98abadeb3c982c781dbc0ebd563f2c12889be
snood,3,3,ethereum.stackexchange.com|etherscan.io|ethtx.info,1,True,0dd39906bf8cb342ba822987ad463fcd9d4243bb6c670efe79a0943579d39811
anch,1,1,twitter.com,0,False,df8cb6720f717f132b0d1444a83d99966a00010c95622096eabb37d9444fc3c7
audius,3,2,blog.audius.co|twitter.com,0,False,c5b1301a7820658065c0a37affe24ed15dfef662bf35206cc1e82edd86b5d1a4
etnproduct,1,1,x.com,0,False,7bb776604651c2fab27ed51f637376921f2fdc64f1c691854bdbf1650c2578d2
ddc,2,2,immunebytes.com|x.com,0,False,6c34170b0b225ad4a601adeec68bbfd07c1119ed994bc793ea99e849d14eb665
luckytiger,2,2,etherscan.io|twitter.com,1,True,3d054af4b119ee50bc2daeb0461f8a75d3605ce2c395f77fd1d9e96ee4b8b615
egd_finance,2,1,twitter.com,0,False,0a5382e2133b53dbb3e54f8d78724fd6d573222d192fc00b71c5e5519a84aa22
badguysbyrpf,2,2,etherscan.io|twitter.com,1,True,f63b98e0b885c4af1e21877846716e2bf1f4fb796d75674c929c382c0a628f82
xst_2,1,1,mobile.twitter.com,0,False,ac980aa50936e743b521836e95229deb5e03a037f3e51a56bce508ae29842a7c
nomadbridge,3,3,blog.coinbase.com|certik.com|twitter.com,0,False,f0e573be780bf95556815ae6a155d116aa4254dfcd4a7c5269af5861099aa70d
bxh,2,2,bscscan.com|jinse.com,1,True,a1060132f6e66172264c33da043d90c8cc843f22a10c916489986b84d49d9def
dpc,3,3,bscscan.com|learnblockchain.cn|twitter.com,0,False,39fdd2dcab396ec29da33a0d4ccb40047cd6e46be431607901546351eb00b22b
shadowfi,2,2,bscscan.com|twitter.com,1,True,2674bd359af18771b2693c9eb18c461d64e49e1bff2cb37031a9c1f7353fce91
atk,1,1,twitter.com,0,False,c060298c8207aea642918805b16e34a6388f1cdff91137616c2376ab65aefa7f
bego,2,1,twitter.com,0,False,58e9a445670a0e0c48d6d59284a10a8d17e71910bd1fb01d740c18be48ca6e61
