case_name,chain,incident_date,event_observed,event_type,outcome_evidence_sha256,prediction_cutoff_time,followup_days,censoring_status
bancor,ethereum,2020-06-18,1,publicly_documented_exploit_incident,12e769362c1be3988caf52c51ee183a7013887915f0bf8dccff261ab8b849737,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
opyn,ethereum,2020-08-04,1,publicly_documented_exploit_incident,1a0143eddb168a6b6e718dd3f5a498429851eb5c198743f2b4c666b645a585ed,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
bzx,ethereum,2020-09-12,1,publicly_documented_exploit_incident,c1757886f5994b885b6fb157b5a4976ef009ba0a86633e2a73a8817e0b872a24,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
cover,ethereum,2020-12-29,1,publicly_documented_exploit_incident,092f869ecaf110a83300555d4e398c4f08a8e4b38f93fd479f97051f43bc0129,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
pickle,ethereum,2020-11-21,1,publicly_documented_exploit_incident,a60badf8ba8b49d7a818d8faba95f5f92214542caff298ac5a90b3ccdca24be9,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
harvestfinance,ethereum,2020-10-26,1,publicly_documented_exploit_incident,c41b70ddd318d13aaad01c2ebd818fb9f75d6e6f8efb1b1c53810f7555c3ef9a,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
sushi_badger_digg,ethereum,2021-01-25,1,publicly_documented_exploit_incident,6cc76f4b0a801f0f122487a783e4e2c3b59a2fb508f651b6ead428f2cfd64ad7,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
lendfme,ethereum,2020-04-19,1,publicly_documented_exploit_incident,e677aa96067ef58ffc2bfdf68f5648eb770e9cd210e39d3ed6eb2de7cb477191,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
yearn_ydai,ethereum,2021-02-04,1,publicly_documented_exploit_incident,089690c08fc86910dc446f979c46e99708d6ddce64e4303b043f4387d8cc8df8,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
uranium,bsc,2021-04-28,1,publicly_documented_exploit_incident,9d3eb5e27031d69b5e57b9f3040bd23c3bfd10c631389c6b250f9f8f3d98d7fd,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
spartan,bsc,2021-05-02,1,publicly_documented_exploit_incident,1e131cb812e4acd651d55f9cefaae8ca2216a72785cadcbd19e7d66491a453f6,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
dodo_flashloan,ethereum,2021-03-08,1,publicly_documented_exploit_incident,e74bcf9627e666abcc1dd105229c09bd34d85b635197b7580cedb3c48eed0246,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
pancakebunny,bsc,2021-05-19,1,publicly_documented_exploit_incident,baf63791a4277f87d91ddc0567f2b55ffda4a381f3294e1a8b8b6b891a7836ff,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
burgerswap,bsc,2021-05-27,1,publicly_documented_exploit_incident,63e826cb9881b371ac3674c38a3a8b812dbb7807ef3c75978eb8b6e3dd255630,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
88mph,ethereum,2021-06-07,1,publicly_documented_exploit_incident,4451139dfa098f690604a55207330189bd34c454b39867257c40110ef5f8f71a,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
eleven,bsc,2021-06-22,1,publicly_documented_exploit_incident,5ffd3ed363cfbe0e373320610197f27c34e430107e5366516a6dfb3ca245b549,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
xwin,bsc,2021-06-25,1,publicly_documented_exploit_incident,9aa89bc4c360d07aa0711f47b8f5b59db465dc22d8f306bc5315b5977a993395,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
cream,ethereum,2021-08-30,1,publicly_documented_exploit_incident,7eb8399ca0ec2a1f3c1f751a139eb23c890e45ed189ed42cb86f3c8e2e987194,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
xsurge,bsc,2021-08-17,1,publicly_documented_exploit_incident,4f6037b245cd4ce4e5c660dce57cef491cd19921f8610fd9948f5b496bf6d1aa,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
nowswap,ethereum,2021-09-15,1,publicly_documented_exploit_incident,1cf9f8da8125f234890449362de85fb1b390e41dc8287302242423b36ef935f7,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
nimbus,ethereum,2021-09-15,1,publicly_documented_exploit_incident,360fd55e367d0f5ee34eca04acb003298f83f95c9fda4d4098810ae84a16d73e,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
waultfinance,bsc,2021-08-04,1,publicly_documented_exploit_incident,320f1be574bb2e5f6bf78c522759e7164148a5238854b7e77a70674f85db1070,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
sushimiso,ethereum,2021-09-16,1,publicly_documented_exploit_incident,4103dc779de5b388c14c86f7e5dcfef58c7ceaabecac89af2dec0cd05f5b1415,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
balancer_20200628,ethereum,2020-06-28,1,publicly_documented_exploit_incident,cff6c4627717d0667b3d6ecc390f2da2c0f3c61c6ed558a40bf841b4f98fe071,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
mono,ethereum,2021-11-30,1,publicly_documented_exploit_incident,9cd973d11f8ed1476098b090748f544d24666be4e5b92bc1afeb421b3acdd613,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
ploutoz,bsc,2021-11-23,1,publicly_documented_exploit_incident,f016e278ccd20466d1c44ecf3252729611d6ed2f3adcdd5cc925aa429fbc06d5,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
nervebridge,bsc,2021-12-14,1,publicly_documented_exploit_incident,dece0a59673e8a0b9d944e2fcd67cd2b5d5239e4cb05e2b2729b09227a85a2d9,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
indexedfinance,ethereum,2021-10-15,1,publicly_documented_exploit_incident,abff0f9940c92bfd88c9e82d7635f75ccf5764ace19a5f5e9c4cd4b956e55487,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
visor,ethereum,2021-12-21,1,publicly_documented_exploit_incident,57608208f426b1549e7143e045cdcb5c8a3b867e37bcb5efc1392972450cc86e,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
julswap,bsc,2021-05-27,1,publicly_documented_exploit_incident,78404b116f80b9ab51f5cb3ac92b2df41ae1cf804c432dcd98d241844b780f35,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
pancakehunny,bsc,2021-06-03,1,publicly_documented_exploit_incident,5cb67b48f7a41c216434ae429a489c490ed20fd197e82c07d18a19c4849ebf43,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
valuedefi,bsc,2021-05-08,1,publicly_documented_exploit_incident,7d78083794faec03af1482a8b998008684c65c30acb511987f8185adfe9bce7a,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
tecraspace,ethereum,2022-02-04,1,publicly_documented_exploit_incident,8dcc6cf14da53d18c0dffbe05975ae19cdbb89258d900603f38bd288d7068f77,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
sandbox,ethereum,2022-02-08,1,publicly_documented_exploit_incident,ea64f46e2fff8fae01b0e05861d701df420f54d3860838a780ff19c9b45cd38a,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
compoundtusd,ethereum,2022-03-22,1,publicly_documented_exploit_incident,ac5eaa0ad8052973e9e01fb663f70c77e9001defccbcbad78bbc098a269ac35e,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
bearn,bsc,2021-05-16,1,publicly_documented_exploit_incident,9ed3b8cb1b7fc21c248e7e2df5c1700288d1ff0847766c32554a1ada5bb9e39e,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
anyswap,ethereum,2022-01-18,1,publicly_documented_exploit_incident,77860e9a02b9d1b78a1dd3749b28c3ff90bf9351a92a266d527389790e9bf2a6,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
auctus,ethereum,2022-03-26,1,publicly_documented_exploit_incident,f7eac2bb75803bc24ee13d8d49f11db7ecc7b5c5f45fde7d1c6c9cd88fdda442,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
paraluni,bsc,2022-03-13,1,publicly_documented_exploit_incident,9afc49f7b502ddc859eb73df6ad44cc8f1978b85a461bd671cda557d2a71d35d,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
qubit,ethereum,2022-01-28,1,publicly_documented_exploit_incident,0f00e16a4a5b3ca0999697aa87fe5dca6316af20fddc2f9328ce37176b896972,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
revest,ethereum,2022-03-27,1,publicly_documented_exploit_incident,88ae5e0c370c7e71164bf483fef14d13427ddda22572679a18b40123ff9d504d,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
umbrella,ethereum,2022-03-20,1,publicly_documented_exploit_incident,d2b545485a2576c627b6163d1b888de767cc3eb51fb52f4e390490d24c8d9900,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
cream_2,ethereum,2021-10-27,1,publicly_documented_exploit_incident,1d701117ac3bc86137daa8d8de96c3bae95c064e19be5ee80d1e5ebbfb1bb0ae,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
akutarnft,ethereum,2022-04-23,1,publicly_documented_exploit_incident,9d1f7e9a307cec973ffd61b64f153f67af7aefa72480ca01dd85649d26d626e7,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
