case_name,incident_date,incident_name,incident_tx_hashes,source_url,incident_record_sha256,tx_hash_count,reconstruction_status
bancor,2020-06-18,Bancor Protocol,[],https://github.com/SunWeb3Sec/DeFiHackLabs/blob/main/past/2021/README.md,12e769362c1be3988caf52c51ee183a7013887915f0bf8dccff261ab8b849737,0,requires_additional_incident_tx_source
opyn,2020-08-04,Opyn Protocol,"[""0x56de6c4bd906ee0c067a332e64966db8b1e866c7965c044163a503de6ee6552a""]",https://github.com/SunWeb3Sec/DeFiHackLabs/blob/main/past/2021/README.md,1a0143eddb168a6b6e718dd3f5a498429851eb5c198743f2b4c666b645a585ed,1,ready_for_dual_provider_receipt_reconstruction
bzx,2020-09-12,bzx,[],https://github.com/SunWeb3Sec/DeFiHackLabs/blob/main/past/2021/README.md,c1757886f5994b885b6fb157b5a4976ef009ba0a86633e2a73a8817e0b872a24,0,requires_additional_incident_tx_source
cover,2020-12-29,Cover Protocol,[],https://github.com/SunWeb3Sec/DeFiHackLabs/blob/main/past/2021/README.md,092f869ecaf110a83300555d4e398c4f08a8e4b38f93fd479f97051f43bc0129,0,requires_additional_incident_tx_source
pickle,2020-11-21,Pickle Finance,"[""0xe72d4e7ba9b5af0cf2a8cfb1e30fd9f388df0ab3da79790be842bfbed11087b0""]",https://github.com/SunWeb3Sec/DeFiHackLabs/blob/main/past/2021/README.md,a60badf8ba8b49d7a818d8faba95f5f92214542caff298ac5a90b3ccdca24be9,1,ready_for_dual_provider_receipt_reconstruction
harvestfinance,2020-10-26,Harvest Finance,"[""0x35f8d2f572fceaac9288e5d462117850ef2694786992a8c3f6d02612277b0877""]",https://github.com/SunWeb3Sec/DeFiHackLabs/blob/main/past/2021/README.md,c41b70ddd318d13aaad01c2ebd818fb9f75d6e6f8efb1b1c53810f7555c3ef9a,1,ready_for_dual_provider_receipt_reconstruction
sushi_badger_digg,2021-01-25,Sushi Badger Digg,[],https://github.com/SunWeb3Sec/DeFiHackLabs/blob/main/past/2021/README.md,6cc76f4b0a801f0f122487a783e4e2c3b59a2fb508f651b6ead428f2cfd64ad7,0,requires_additional_incident_tx_source
lendfme,2020-04-19,LendfMe,[],https://github.com/SunWeb3Sec/DeFiHackLabs/blob/main/past/2021/README.md,e677aa96067ef58ffc2bfdf68f5648eb770e9cd210e39d3ed6eb2de7cb477191,0,requires_additional_incident_tx_source
yearn_ydai,2021-02-04,Yearn YDai,"[""0x59faab5a1911618064f1ffa1e4649d85c99cfd9f0d64dcebbc1af7d7630da98b""]",https://github.com/SunWeb3Sec/DeFiHackLabs/blob/main/past/2021/README.md,089690c08fc86910dc446f979c46e99708d6ddce64e4303b043f4387d8cc8df8,1,ready_for_dual_provider_receipt_reconstruction
uranium,2021-04-28,Uranium,"[""0x5a504fe72ef7fc76dfeb4d979e533af4e23fe37e90b5516186d5787893c37991""]",https://github.com/SunWeb3Sec/DeFiHackLabs/blob/main/past/2021/README.md,9d3eb5e27031d69b5e57b9f3040bd23c3bfd10c631389c6b250f9f8f3d98d7fd,1,ready_for_dual_provider_receipt_reconstruction
spartan,2021-05-02,Spartan,[],https://github.com/SunWeb3Sec/DeFiHackLabs/blob/main/past/2021/README.md,1e131cb812e4acd651d55f9cefaae8ca2216a72785cadcbd19e7d66491a453f6,0,requires_additional_incident_tx_source
dodo_flashloan,2021-03-08,DODO,"[""0x395675b56370a9f5fe8b32badfa80043f5291443bd6c8273900476880fb5221e""]",https://github.com/SunWeb3Sec/DeFiHackLabs/blob/main/past/2021/README.md,e74bcf9627e666abcc1dd105229c09bd34d85b635197b7580cedb3c48eed0246,1,ready_for_dual_provider_receipt_reconstruction
pancakebunny,2021-05-19,PancakeBunny,"[""0x897c2de73dd55d7701e1b69ffb3a17b0f4801ced88b0c75fe1551c5fcce6a979""]",https://github.com/SunWeb3Sec/DeFiHackLabs/blob/main/past/2021/README.md,baf63791a4277f87d91ddc0567f2b55ffda4a381f3294e1a8b8b6b891a7836ff,1,ready_for_dual_provider_receipt_reconstruction
burgerswap,2021-05-27,BurgerSwap,[],https://github.com/SunWeb3Sec/DeFiHackLabs/blob/main/past/2021/README.md,63e826cb9881b371ac3674c38a3a8b812dbb7807ef3c75978eb8b6e3dd255630,0,requires_additional_incident_tx_source
88mph,2021-06-07,88mph NFT,[],https://github.com/SunWeb3Sec/DeFiHackLabs/blob/main/past/2021/README.md,4451139dfa098f690604a55207330189bd34c454b39867257c40110ef5f8f71a,0,requires_additional_incident_tx_source
eleven,2021-06-22,Eleven Finance,"[""0xeaaa8f4d33b1035a790f0d7c4eb6e38db7d6d3b580e0bbc9ba39a9d6b80dd250""]",https://github.com/SunWeb3Sec/DeFiHackLabs/blob/main/past/2021/README.md,5ffd3ed363cfbe0e373320610197f27c34e430107e5366516a6dfb3ca245b549,1,ready_for_dual_provider_receipt_reconstruction
xwin,2021-06-25,xWin Finance,[],https://github.com/SunWeb3Sec/DeFiHackLabs/blob/main/past/2021/README.md,9aa89bc4c360d07aa0711f47b8f5b59db465dc22d8f306bc5315b5977a993395,0,requires_additional_incident_tx_source
cream,2021-08-30,Cream Finance,"[""0xa9a1b8ea288eb9ad315088f17f7c7386b9989c95b4d13c81b69d5ddad7ffe61e""]",https://github.com/SunWeb3Sec/DeFiHackLabs/blob/main/past/2021/README.md,7eb8399ca0ec2a1f3c1f751a139eb23c890e45ed189ed42cb86f3c8e2e987194,1,ready_for_dual_provider_receipt_reconstruction
xsurge,2021-08-17,XSURGE,"[""0x8c93d6e5d6b3ec7478b4195123a696dbc82a3441be090e048fe4b33a242ef09d""]",https://github.com/SunWeb3Sec/DeFiHackLabs/blob/main/past/2021/README.md,4f6037b245cd4ce4e5c660dce57cef491cd19921f8610fd9948f5b496bf6d1aa,1,ready_for_dual_provider_receipt_reconstruction
nowswap,2021-09-15,NowSwap Platform,[],https://github.com/SunWeb3Sec/DeFiHackLabs/blob/main/past/2021/README.md,1cf9f8da8125f234890449362de85fb1b390e41dc8287302242423b36ef935f7,0,requires_additional_incident_tx_source
nimbus,2021-09-15,Nimbus Platform,[],https://github.com/SunWeb3Sec/DeFiHackLabs/blob/main/past/2021/README.md,360fd55e367d0f5ee34eca04acb003298f83f95c9fda4d4098810ae84a16d73e,0,requires_additional_incident_tx_source
waultfinance,2021-08-04,WaultFinace,[],https://github.com/SunWeb3Sec/DeFiHackLabs/blob/main/past/2021/README.md,320f1be574bb2e5f6bf78c522759e7164148a5238854b7e77a70674f85db1070,0,requires_additional_incident_tx_source
sushimiso,2021-09-16,SushiSwap Miso,"[""0x78d6355703507f88f2090eb780d245b0ab26bf470eabdb004761cedf3b1cda44""]",https://github.com/SunWeb3Sec/DeFiHackLabs/blob/main/past/2021/README.md,4103dc779de5b388c14c86f7e5dcfef58c7ceaabecac89af2dec0cd05f5b1415,1,ready_for_dual_provider_receipt_reconstruction
balancer_20200628,2020-06-28,Balancer Protocol,"[""0x013be97768b702fe8eccef1a40544d5ecb3c1961ad5f87fee4d16fdc08c78106""]",https://github.com/SunWeb3Sec/DeFiHackLabs/blob/main/past/2021/README.md,cff6c4627717d0667b3d6ecc390f2da2c0f3c61c6ed558a40bf841b4f98fe071,1,ready_for_dual_provider_receipt_reconstruction
mono,2021-11-30,MonoX Finance,"[""0x5a03b9c03eedcb9ec6e70c6841eaa4976a732d050a6218969e39483bb3004d5d"", ""0x9f14d093a2349de08f02fc0fb018dadb449351d0cdb7d0738ff69cc6fef5f299""]",https://github.com/SunWeb3Sec/DeFiHackLabs/blob/main/past/2021/README.md,9cd973d11f8ed1476098b090748f544d24666be4e5b92bc1afeb421b3acdd613,2,ready_for_dual_provider_receipt_reconstruction
ploutoz,2021-11-23,Ploutoz,[],https://github.com/SunWeb3Sec/DeFiHackLabs/blob/main/past/2021/README.md,f016e278ccd20466d1c44ecf3252729611d6ed2f3adcdd5cc925aa429fbc06d5,0,requires_additional_incident_tx_source
nervebridge,2021-12-14,Nerve Bridge,[],https://github.com/SunWeb3Sec/DeFiHackLabs/blob/main/past/2021/README.md,dece0a59673e8a0b9d944e2fcd67cd2b5d5239e4cb05e2b2729b09227a85a2d9,0,requires_additional_incident_tx_source
