case_name,chain,target_contract_address,fork_block_number,required_queries,address,incident_block,prediction_cutoff_block,deployment_block,cutoff_status,proxy_hint,case_id,age_stratum,pilot_hash,pilot_member,priority,pilot_allocation_expected,pilot_allocation_selected,allocation_satisfied,input_sha256,policy_sha256,queue_sha256
futureswap,arbitrum,0xf7ca7384cc6619866749955065f17bedd3ed80bc,419829770,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx,0xf7ca7384cc6619866749955065f17bedd3ed80bc,419829770,,,PARTIAL,True,ca2-40ca8a9aca77ecfbfe71,0,a35309fcc63b8c809fc0ad04eb2a7b874191a5d247fd50a9a4d43423e16b0041,True,0,2,1,False,2942b2819e08d00d8eb23bee9815e9c644757421e92e3c1307a45b057e264cf1,60494f0bea76eef89f0a8b74dd5235092888bbedf7781d982a527ba3528996ad,05ed12a61b9c1ea958e2cd47aba15354039220e7e24f03d370682eddb0e87cdd
leetswap,base,0x94dac4a3ce998143aa119c05460731da80ad90cf,2031746,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx,0x94dac4a3ce998143aa119c05460731da80ad90cf,2031746,,,PARTIAL,True,ca2-d5e2d826f6d08f10011e,0,44ff78a7d4213698f317924009bc25000c0900dc6d57b634961f8ba84c358c71,True,0,2,2,True,2942b2819e08d00d8eb23bee9815e9c644757421e92e3c1307a45b057e264cf1,60494f0bea76eef89f0a8b74dd5235092888bbedf7781d982a527ba3528996ad,05ed12a61b9c1ea958e2cd47aba15354039220e7e24f03d370682eddb0e87cdd
carolprotocol,base,0x26fe408bbd7a490feb056da8e2d1e007938e5685,7246080,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx,0x26fe408bbd7a490feb056da8e2d1e007938e5685,7246080,,,PARTIAL,True,ca2-e726d15fcadb675a6a84,0,47d77e75ce8f04c4f8cb279c094522c6b5d735502a111f482ca95021bb889559,True,0,2,2,True,2942b2819e08d00d8eb23bee9815e9c644757421e92e3c1307a45b057e264cf1,60494f0bea76eef89f0a8b74dd5235092888bbedf7781d982a527ba3528996ad,05ed12a61b9c1ea958e2cd47aba15354039220e7e24f03d370682eddb0e87cdd
shadowfi,bsc,0x10bc28d2810dd462e16facff18f78783e859351b,20969095,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx,0x10bc28d2810dd462e16facff18f78783e859351b,20969095,,,PARTIAL,True,ca2-742774bf4edd46ad6f87,0,000deb4618cadaaf3e1dfd2cea258a86726a9901b0ea4efd4a1d42e5a07ea292,True,0,3,3,True,2942b2819e08d00d8eb23bee9815e9c644757421e92e3c1307a45b057e264cf1,60494f0bea76eef89f0a8b74dd5235092888bbedf7781d982a527ba3528996ad,05ed12a61b9c1ea958e2cd47aba15354039220e7e24f03d370682eddb0e87cdd
bbox,bsc,0x5dfc7f3ebbb9cbfe89bc3fb70f750ee229a59f8c,23106506,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx,0x5dfc7f3ebbb9cbfe89bc3fb70f750ee229a59f8c,23106506,,,PARTIAL,True,ca2-7063be755a02e6e0df10,0,114204a82e521c45ca49c88a1915d82cd8ad3676f53abd8941b71d9168bee5df,True,0,3,3,True,2942b2819e08d00d8eb23bee9815e9c644757421e92e3c1307a45b057e264cf1,60494f0bea76eef89f0a8b74dd5235092888bbedf7781d982a527ba3528996ad,05ed12a61b9c1ea958e2cd47aba15354039220e7e24f03d370682eddb0e87cdd
vtf,bsc,0xc6548caf18e20f88cc437a52b6d388b0d54d830d,22535101,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx,0xc6548caf18e20f88cc437a52b6d388b0d54d830d,22535101,,,PARTIAL,True,ca2-83e922a7f39b2bc4b4b1,0,16b86f1462e1fa00612cb68898262197a521a123147ff8545688ef4cc0d4f6d4,True,0,3,3,True,2942b2819e08d00d8eb23bee9815e9c644757421e92e3c1307a45b057e264cf1,60494f0bea76eef89f0a8b74dd5235092888bbedf7781d982a527ba3528996ad,05ed12a61b9c1ea958e2cd47aba15354039220e7e24f03d370682eddb0e87cdd
saddle,ethereum,0x824dcd7b044d60df2e89b1bb888e66d8bcf41491,14684306,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx,0x824dcd7b044d60df2e89b1bb888e66d8bcf41491,14684306,,,PARTIAL,True,ca2-c9253cf4e2d235460157,0,0144c5b2a102c93d858cc37601c5d09a234c3a3b274d480066b734bdac0a0544,True,0,3,3,True,2942b2819e08d00d8eb23bee9815e9c644757421e92e3c1307a45b057e264cf1,60494f0bea76eef89f0a8b74dd5235092888bbedf7781d982a527ba3528996ad,05ed12a61b9c1ea958e2cd47aba15354039220e7e24f03d370682eddb0e87cdd
uerii,ethereum,0x418c24191ae947a78c99fdc0e45a1f96afb254be,15767837,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx,0x418c24191ae947a78c99fdc0e45a1f96afb254be,15767837,,,PARTIAL,True,ca2-5d74bde6e71788f42085,0,0f1a86f90c39479f8b9f906df4b513d7b045495ae5ab6663ef55da18b08c7899,True,0,3,3,True,2942b2819e08d00d8eb23bee9815e9c644757421e92e3c1307a45b057e264cf1,60494f0bea76eef89f0a8b74dd5235092888bbedf7781d982a527ba3528996ad,05ed12a61b9c1ea958e2cd47aba15354039220e7e24f03d370682eddb0e87cdd
88mph,ethereum,0xf0b7de03134857391d8d43ed48e20edf21461097,12516705,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx,0xf0b7de03134857391d8d43ed48e20edf21461097,12516705,,,PARTIAL,True,ca2-c9c1817a98610ef26f01,0,1a0867a10ef5bf844998e6ac288e31c4bc594585bae8d56f00fe210623495eb8,True,0,3,3,True,2942b2819e08d00d8eb23bee9815e9c644757421e92e3c1307a45b057e264cf1,60494f0bea76eef89f0a8b74dd5235092888bbedf7781d982a527ba3528996ad,05ed12a61b9c1ea958e2cd47aba15354039220e7e24f03d370682eddb0e87cdd
prxvt,base,0xdac30a5e2612206e2756836ed6764ec5817e6fff,40229652,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx,0xdac30a5e2612206e2756836ed6764ec5817e6fff,40229652,,,PARTIAL,True,ca2-5283fda6a42b6b876dbb,2,0e521b8025352311230145296c55a245314cafa5a03259e868133c747ced203e,False,1,2,2,True,2942b2819e08d00d8eb23bee9815e9c644757421e92e3c1307a45b057e264cf1,60494f0bea76eef89f0a8b74dd5235092888bbedf7781d982a527ba3528996ad,05ed12a61b9c1ea958e2cd47aba15354039220e7e24f03d370682eddb0e87cdd
tsuru,base,0x75ac62ea5d058a7f88f0c3a5f8f73195277c93da,14279784,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx,0x75ac62ea5d058a7f88f0c3a5f8f73195277c93da,14279784,,,PARTIAL,True,ca2-8fc93c5fa8fffa0c5fa4,1,21a864ee5e33066f845283d38312a173f20e328b7ca56fbcb56f91a76f46e6e9,False,1,2,2,True,2942b2819e08d00d8eb23bee9815e9c644757421e92e3c1307a45b057e264cf1,60494f0bea76eef89f0a8b74dd5235092888bbedf7781d982a527ba3528996ad,05ed12a61b9c1ea958e2cd47aba15354039220e7e24f03d370682eddb0e87cdd
normie,base,0x7f12d13b34f5f4f0a9449c16bcd42f0da47af200,14952782,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx,0x7f12d13b34f5f4f0a9449c16bcd42f0da47af200,14952782,,,PARTIAL,True,ca2-470ed35ca97a31cab7dd,1,431297f2cc97649dc5b3f3c79f90d0a1e71df178a5ab0fa0e57a67c4960577ec,False,1,2,2,True,2942b2819e08d00d8eb23bee9815e9c644757421e92e3c1307a45b057e264cf1,60494f0bea76eef89f0a8b74dd5235092888bbedf7781d982a527ba3528996ad,05ed12a61b9c1ea958e2cd47aba15354039220e7e24f03d370682eddb0e87cdd
sumermoney,base,0x7b5969bb51fa3b002579d7ee41a454ac691716dc,13076768,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx,0x7b5969bb51fa3b002579d7ee41a454ac691716dc,13076768,,,PARTIAL,True,ca2-0583d91c7785bb31ad8f,0,adbfe26a425fa8b95e5b9632046b6fb7352fc3019ede751a84b3f9be7b500165,False,1,2,2,True,2942b2819e08d00d8eb23bee9815e9c644757421e92e3c1307a45b057e264cf1,60494f0bea76eef89f0a8b74dd5235092888bbedf7781d982a527ba3528996ad,05ed12a61b9c1ea958e2cd47aba15354039220e7e24f03d370682eddb0e87cdd
cloberdex,base,0x6a0b87d6b74f7d5c92722f6a11714dbeda9f3895,23514450,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx,0x6a0b87d6b74f7d5c92722f6a11714dbeda9f3895,23514450,,,PARTIAL,True,ca2-5b927b3791414bdc410e,2,ce30a17c26696c501e13cdeb1d1ce6c2c41b35d04e22768ff9fca15b98efd9e8,False,1,2,2,True,2942b2819e08d00d8eb23bee9815e9c644757421e92e3c1307a45b057e264cf1,60494f0bea76eef89f0a8b74dd5235092888bbedf7781d982a527ba3528996ad,05ed12a61b9c1ea958e2cd47aba15354039220e7e24f03d370682eddb0e87cdd
moonwell,base,0xec942be8a8114bfd0396a5052c36027f2ca6a9d0,42194663,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx,0xec942be8a8114bfd0396a5052c36027f2ca6a9d0,42194663,,,PARTIAL,True,ca2-b4208a8c5bb1d965b99f,3,defad29883e4dbfc5ec7d1101e82b426f3bd26caaa3e66294601eaecb0b92a5c,False,1,2,2,True,2942b2819e08d00d8eb23bee9815e9c644757421e92e3c1307a45b057e264cf1,60494f0bea76eef89f0a8b74dd5235092888bbedf7781d982a527ba3528996ad,05ed12a61b9c1ea958e2cd47aba15354039220e7e24f03d370682eddb0e87cdd
synaplogic,base,0xc859ac8429fb4a5e24f24a7bed3fe3a8db4fb371,41038633,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx,0xc859ac8429fb4a5e24f24a7bed3fe3a8db4fb371,41038633,,,PARTIAL,True,ca2-f459648a3f9405d0f148,3,fb12df4d219e4d3ad6c31a83861198a2648d33128c467af003699f7882cea29b,False,1,2,2,True,2942b2819e08d00d8eb23bee9815e9c644757421e92e3c1307a45b057e264cf1,60494f0bea76eef89f0a8b74dd5235092888bbedf7781d982a527ba3528996ad,05ed12a61b9c1ea958e2cd47aba15354039220e7e24f03d370682eddb0e87cdd
