case_name,chain,target_contract_address,fork_block_number,required_queries,address,incident_block,prediction_cutoff_block,deployment_block,cutoff_status,proxy_hint,case_id,age_stratum,pilot_hash,pilot_member,priority,pilot_allocation_expected,pilot_allocation_selected,allocation_satisfied,input_sha256,policy_sha256,queue_sha256,program_case,pilot_selection_origin,pilot_amendment_id,base_manifest_sha256,chain_id,exploit_tx_hash,poc_path,poc_sha256,creation_tx_hash,creation_evidence_type,candidate_source_sha256,eligibility_status,supplement_rank_sha256,failed_case_name,failure_reason,poc_fork_block,primary_target_role,mechanism_family,related_contracts,incident_evidence
futureswap,arbitrum,0xf7ca7384cc6619866749955065f17bedd3ed80bc,419829770,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx,0xf7ca7384cc6619866749955065f17bedd3ed80bc,419829770,,2191102,PARTIAL,True,ca2-40ca8a9aca77ecfbfe71,0,a35309fcc63b8c809fc0ad04eb2a7b874191a5d247fd50a9a4d43423e16b0041,True,0,2,1,False,2942b2819e08d00d8eb23bee9815e9c644757421e92e3c1307a45b057e264cf1,60494f0bea76eef89f0a8b74dd5235092888bbedf7781d982a527ba3528996ad,646926f3b42868f9268ff6d6385bea1ba253e871b31a3194fe5e959c186d8db8,True,frozen_original,evidence-grade-pilot-amendment-a1,3f5678509736c8d7f175d00d4722902f2c7110a6bc4bcb383009b2ea7673f314,,,,,,two_provider_first_code_transition_factory_creation,,,,,,,,,,
carolprotocol,base,0x26fe408bbd7a490feb056da8e2d1e007938e5685,7246080,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx,0x26fe408bbd7a490feb056da8e2d1e007938e5685,7246080,,3652088,PARTIAL,True,ca2-e726d15fcadb675a6a84,0,47d77e75ce8f04c4f8cb279c094522c6b5d735502a111f482ca95021bb889559,True,0,2,2,True,2942b2819e08d00d8eb23bee9815e9c644757421e92e3c1307a45b057e264cf1,60494f0bea76eef89f0a8b74dd5235092888bbedf7781d982a527ba3528996ad,646926f3b42868f9268ff6d6385bea1ba253e871b31a3194fe5e959c186d8db8,True,frozen_original,evidence-grade-pilot-amendment-a1,3f5678509736c8d7f175d00d4722902f2c7110a6bc4bcb383009b2ea7673f314,,,,,0x85a31ad4307807566f61e4c5b4fb05201de4ab8e706441d5c4fe9a824d6bf848,sourcify_deployment_enrichment_cross_checked_on_chain,,,,,,,,,,
shadowfi,bsc,0x10bc28d2810dd462e16facff18f78783e859351b,20969095,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx,0x10bc28d2810dd462e16facff18f78783e859351b,20969095,,20771762,PARTIAL,True,ca2-742774bf4edd46ad6f87,0,000deb4618cadaaf3e1dfd2cea258a86726a9901b0ea4efd4a1d42e5a07ea292,True,0,3,3,True,2942b2819e08d00d8eb23bee9815e9c644757421e92e3c1307a45b057e264cf1,60494f0bea76eef89f0a8b74dd5235092888bbedf7781d982a527ba3528996ad,646926f3b42868f9268ff6d6385bea1ba253e871b31a3194fe5e959c186d8db8,True,frozen_original,evidence-grade-pilot-amendment-a1,3f5678509736c8d7f175d00d4722902f2c7110a6bc4bcb383009b2ea7673f314,,,,,0x121f3729666d5a1a231659553d701a2d33d00d032168853842b6ba966f9dd642,sourcify_deployment_enrichment_cross_checked_on_chain,,,,,,,,,,
bbox,bsc,0x5dfc7f3ebbb9cbfe89bc3fb70f750ee229a59f8c,23106506,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx,0x5dfc7f3ebbb9cbfe89bc3fb70f750ee229a59f8c,23106506,,16453625,PARTIAL,True,ca2-7063be755a02e6e0df10,0,114204a82e521c45ca49c88a1915d82cd8ad3676f53abd8941b71d9168bee5df,True,0,3,3,True,2942b2819e08d00d8eb23bee9815e9c644757421e92e3c1307a45b057e264cf1,60494f0bea76eef89f0a8b74dd5235092888bbedf7781d982a527ba3528996ad,646926f3b42868f9268ff6d6385bea1ba253e871b31a3194fe5e959c186d8db8,True,frozen_original,evidence-grade-pilot-amendment-a1,3f5678509736c8d7f175d00d4722902f2c7110a6bc4bcb383009b2ea7673f314,,,,,0xc4ea13bd822631d03c929a255a9d064ce8d7dc1895e7cada34d3bafc9481eb10,two_provider_first_code_transition_and_top_level_receipt,,,,,,,,,,
vtf,bsc,0xc6548caf18e20f88cc437a52b6d388b0d54d830d,22535101,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx,0xc6548caf18e20f88cc437a52b6d388b0d54d830d,22535101,,22027989,PARTIAL,True,ca2-83e922a7f39b2bc4b4b1,0,16b86f1462e1fa00612cb68898262197a521a123147ff8545688ef4cc0d4f6d4,True,0,3,3,True,2942b2819e08d00d8eb23bee9815e9c644757421e92e3c1307a45b057e264cf1,60494f0bea76eef89f0a8b74dd5235092888bbedf7781d982a527ba3528996ad,646926f3b42868f9268ff6d6385bea1ba253e871b31a3194fe5e959c186d8db8,True,frozen_original,evidence-grade-pilot-amendment-a1,3f5678509736c8d7f175d00d4722902f2c7110a6bc4bcb383009b2ea7673f314,,,,,0x66397e56747ba887a0bf1b04113a57bc2a56993cbcedae69afbb683999328562,sourcify_deployment_enrichment_cross_checked_on_chain,,,,,,,,,,
saddle,ethereum,0x824dcd7b044d60df2e89b1bb888e66d8bcf41491,14684306,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx,0x824dcd7b044d60df2e89b1bb888e66d8bcf41491,14684306,,13806669,PARTIAL,True,ca2-c9253cf4e2d235460157,0,0144c5b2a102c93d858cc37601c5d09a234c3a3b274d480066b734bdac0a0544,True,0,3,3,True,2942b2819e08d00d8eb23bee9815e9c644757421e92e3c1307a45b057e264cf1,60494f0bea76eef89f0a8b74dd5235092888bbedf7781d982a527ba3528996ad,646926f3b42868f9268ff6d6385bea1ba253e871b31a3194fe5e959c186d8db8,True,frozen_original,evidence-grade-pilot-amendment-a1,3f5678509736c8d7f175d00d4722902f2c7110a6bc4bcb383009b2ea7673f314,,,,,0x71373819ed7f3c14fe51759f006360ddb30d6275c8894690c80145b08d56e5a9,sourcify_deployment_enrichment_cross_checked_on_chain,,,,,,,,,,
uerii,ethereum,0x418c24191ae947a78c99fdc0e45a1f96afb254be,15767837,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx,0x418c24191ae947a78c99fdc0e45a1f96afb254be,15767837,,13617431,PARTIAL,True,ca2-5d74bde6e71788f42085,0,0f1a86f90c39479f8b9f906df4b513d7b045495ae5ab6663ef55da18b08c7899,True,0,3,3,True,2942b2819e08d00d8eb23bee9815e9c644757421e92e3c1307a45b057e264cf1,60494f0bea76eef89f0a8b74dd5235092888bbedf7781d982a527ba3528996ad,646926f3b42868f9268ff6d6385bea1ba253e871b31a3194fe5e959c186d8db8,True,frozen_original,evidence-grade-pilot-amendment-a1,3f5678509736c8d7f175d00d4722902f2c7110a6bc4bcb383009b2ea7673f314,,,,,0xb6a50ae378f9c95d40d985d2611ce91a6719fd1fcf0765dced0e2aef24c51db0,sourcify_deployment_enrichment_cross_checked_on_chain,,,,,,,,,,
88mph,ethereum,0xf0b7de03134857391d8d43ed48e20edf21461097,12516705,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx,0xf0b7de03134857391d8d43ed48e20edf21461097,12516705,,11870901,PARTIAL,True,ca2-c9c1817a98610ef26f01,0,1a0867a10ef5bf844998e6ac288e31c4bc594585bae8d56f00fe210623495eb8,True,0,3,3,True,2942b2819e08d00d8eb23bee9815e9c644757421e92e3c1307a45b057e264cf1,60494f0bea76eef89f0a8b74dd5235092888bbedf7781d982a527ba3528996ad,646926f3b42868f9268ff6d6385bea1ba253e871b31a3194fe5e959c186d8db8,True,frozen_original,evidence-grade-pilot-amendment-a1,3f5678509736c8d7f175d00d4722902f2c7110a6bc4bcb383009b2ea7673f314,,,,,0x16b2acf41be5474aca923cad1342614bea67820d0c3a9eb5a250d2ef9f9e769d,two_provider_first_code_transition_and_blockscout_creation_record,,,,,,,,,,
treasuredao,arbitrum,0x812cda2181ed7c45a35a691e0c85e231d218e273,7322695,,0x812cda2181ed7c45a35a691e0c85e231d218e273,7322695,5254532.0,5254531,,,supplement-treasuredao-2022,,,True,,,,,,,,False,postfreeze_shortfall_amendment,evidence-grade-pilot-amendment-a1,3f5678509736c8d7f175d00d4722902f2c7110a6bc4bcb383009b2ea7673f314,42161.0,0x82a5ff772c186fb3f62bf9a8461aeadd8ea0904025c3330a4d247822ff34bc02,raw/public_acquisition/2026-08-08/evidence-grade-pilot-amendment-a1/candidate_sources/TreasureDAO_exp.sol,becd624c55818705761095a45115697e5bd384fbf5c5870feddfff08ebaf438f,0x36b63fdaeae0abf4d4676d1cd50312be147039a069c96e05407aa6549c54e7ec,sourcify_deployment_enrichment_cross_checked_on_chain,becd624c55818705761095a45115697e5bd384fbf5c5870feddfff08ebaf438f,VERIFIED,daf5747f8833896c87a142ce26a7939639f9fc2bfb933986176ed9fe012164f0,,,,,,,
gmxv1,arbitrum,0x489ee077994b6658eafa855c308275ead8097c4a,355878384,,0x489ee077994b6658eafa855c308275ead8097c4a,355880237,227092.0,227091,,,replacement-gmx-v1-2025,,,True,,,,,,,,False,prespecified_protocol_replacement,evidence-grade-pilot-amendment-a2,3420ed525a824c798684ce02514fc0aebf5420ee1eb5bd387dda3085e9939945,42161.0,0x03182d3f0956a91c4e4c8f225bbc7975f9434fab042228c7acdc5ec9a32626ef,raw/public_acquisition/2026-08-08/evidence-grade-pilot-amendment-a2/candidate_sources/gmx_exp.sol,e5e92db0258766a014848c80508e6f7e456ef558b4c00d6ed76f240ee0542c30,0xde0ad28ec2da4556ac71a70a489fd98ec69773f465351373a06bcb8e141cdeba,blockscout_creation_record_to_be_cross_checked_on_chain,e5e92db0258766a014848c80508e6f7e456ef558b4c00d6ed76f240ee0542c30,VERIFIED,c334c85e2c50857e4c1d608467390b03bb23dde020a8aa5e6ef6158773bcbae3,leetswap,insufficient_incident_lead_time,355878384.0,gmx_v1_vault_global_short_size_and_pool_asset_contract,cross_contract_reentrancy_state_desynchronization,"{'position_manager': '0x75e42e6f01baf1d6022bea862a28774a9f8a4a0c', 'order_book': '0x09f77e8a13de9a35a7231028187e9fd5db8a2acb', 'shorts_tracker': '0xf58eec83ba28ddd79390b9e90c4d3ebff1d434da', 'glp_manager': '0x3963ffc9dff443c2a94f21b129d429891e32ec18'}","{'attack_transaction': {'path': 'raw/public_acquisition/2026-08-08/evidence-grade-pilot-amendment-a2/incident_evidence/attack_transaction.json', 'sha256': '5ef83d13f550ccbc795b2fe1bb175415386645577f77862777a072ca671b79ce'}, 'vault_address': {'path': 'raw/public_acquisition/2026-08-08/evidence-grade-pilot-amendment-a2/incident_evidence/vault_address.json', 'sha256': '1dcef51847004cd88e256deb9a3c25786acf1678e81bce9adcfc246e1c4952a8'}, 'vault_creation_transaction': {'path': 'raw/public_acquisition/2026-08-08/evidence-grade-pilot-amendment-a2/incident_evidence/vault_creation_transaction.json', 'sha256': '1363f24442b0f4086da01f10e0d1540aae8d5999fb7076d5826d2799695f765c'}, 'independent_incident_analysis': {'path': 'raw/public_acquisition/2026-08-08/evidence-grade-pilot-amendment-a2/incident_evidence/certik_gmx_incident_analysis.html', 'sha256': '0a433fd07d13cb031ad570427a5a2f02cc5fe78b2e30f68038deac78ef56ed43'}}"
