chunk_id,chunk_sequence,chunk_case_position,case_name,chain,admissible_deployment_start,admissible_deployment_end,positive_prediction_cutoff_time,minimum_additional_distinct_slots,expansion_requirement_sha256,expansion_ledger_sha256,pair_scope_manifest_sha256,authority_projection_sha256,policy_sha256,plan_no_repeat_sha256,chunk_scope_sha256,acquisition_authorized,rpc_authorized,selection_authorized,chunk_assignment_sha256
stage2-expansion-0001-b559431afb94,1,1,futureswap,arbitrum,2021-09-13T17:26:24Z,2021-10-14T17:26:40Z,2021-10-14T17:26:40Z,5,e94453bdf4d5c2d97bc2c638d1c578f710d2dd2a5adfa5d3aac180852d02de89,b20780e7e4dd3a7a0410d9df66bd57cfcd341ab65e273b1ef7bb3e8b3efe82dc,8d5288b7195eb77423a5e141910eb5e55c626d6ca724861d7accdd9353c40c04,a574b5a865b02d4628b0f35768c7e7cb78878b1bd051260f3c787a320cbbf870,4603d85139483db1b69c374c84603cfb83dabc2a93b6e310cab2f4226cebf871,e9658ef00d6c387b3366fdafc0605c81261c63dc9bb59f54bb7e7eda9464ccc7,b559431afb94fb1d8b976ded7def89f0316012196768dcbf3d6c2a50134e82f7,False,False,False,68d1abe111ff01a3ff448b95e549058389e49b2fbb79ddca3b82b9dbe86d72a2
stage2-expansion-0001-b559431afb94,1,2,BaseBebopSettlement,base,2024-11-19T16:49:51Z,2024-12-20T16:49:51Z,2024-12-20T16:49:51Z,10,fa584224f158f49d4e59639c625e312192ee010d1f301053be6897b8f246ea03,b20780e7e4dd3a7a0410d9df66bd57cfcd341ab65e273b1ef7bb3e8b3efe82dc,8d5288b7195eb77423a5e141910eb5e55c626d6ca724861d7accdd9353c40c04,a574b5a865b02d4628b0f35768c7e7cb78878b1bd051260f3c787a320cbbf870,4603d85139483db1b69c374c84603cfb83dabc2a93b6e310cab2f4226cebf871,e9658ef00d6c387b3366fdafc0605c81261c63dc9bb59f54bb7e7eda9464ccc7,b559431afb94fb1d8b976ded7def89f0316012196768dcbf3d6c2a50134e82f7,False,False,False,544f60c21f075843e5a58d37db2ed8156a664a4e1b5aca3d5cec82474f5dc769
stage2-expansion-0001-b559431afb94,1,3,ODOS,base,2024-11-30T02:07:57Z,2024-12-31T02:07:57Z,2024-12-31T02:07:57Z,10,560629e1a8ef0be0c45b051e8a4948801c9392a7495d2f79e1b1666e3f35665b,b20780e7e4dd3a7a0410d9df66bd57cfcd341ab65e273b1ef7bb3e8b3efe82dc,8d5288b7195eb77423a5e141910eb5e55c626d6ca724861d7accdd9353c40c04,a574b5a865b02d4628b0f35768c7e7cb78878b1bd051260f3c787a320cbbf870,4603d85139483db1b69c374c84603cfb83dabc2a93b6e310cab2f4226cebf871,e9658ef00d6c387b3366fdafc0605c81261c63dc9bb59f54bb7e7eda9464ccc7,b559431afb94fb1d8b976ded7def89f0316012196768dcbf3d6c2a50134e82f7,False,False,False,1351e028af99c5c40cac722b169492fa0bfccec7daf7bda581b6aee1634207f5
stage2-expansion-0001-b559431afb94,1,4,RICE,base,2025-02-11T05:33:51Z,2025-03-14T05:33:51Z,2025-03-14T05:33:51Z,8,74577a965ce2d4dd0a132d3643abfea816840f0d17cab168b6bbbc64513c3240,b20780e7e4dd3a7a0410d9df66bd57cfcd341ab65e273b1ef7bb3e8b3efe82dc,8d5288b7195eb77423a5e141910eb5e55c626d6ca724861d7accdd9353c40c04,a574b5a865b02d4628b0f35768c7e7cb78878b1bd051260f3c787a320cbbf870,4603d85139483db1b69c374c84603cfb83dabc2a93b6e310cab2f4226cebf871,e9658ef00d6c387b3366fdafc0605c81261c63dc9bb59f54bb7e7eda9464ccc7,b559431afb94fb1d8b976ded7def89f0316012196768dcbf3d6c2a50134e82f7,False,False,False,ae2c23aee8745536aec621284d837dc5d8819fd654f49908cf0d3add5b63d46f
stage2-expansion-0001-b559431afb94,1,5,carolprotocol,base,2023-08-08T13:32:03Z,2023-09-08T13:32:03Z,2023-09-08T13:32:03Z,10,008524b20013a40627e18a436d3bbb1376122771c21abfb824a362924be4f991,b20780e7e4dd3a7a0410d9df66bd57cfcd341ab65e273b1ef7bb3e8b3efe82dc,8d5288b7195eb77423a5e141910eb5e55c626d6ca724861d7accdd9353c40c04,a574b5a865b02d4628b0f35768c7e7cb78878b1bd051260f3c787a320cbbf870,4603d85139483db1b69c374c84603cfb83dabc2a93b6e310cab2f4226cebf871,e9658ef00d6c387b3366fdafc0605c81261c63dc9bb59f54bb7e7eda9464ccc7,b559431afb94fb1d8b976ded7def89f0316012196768dcbf3d6c2a50134e82f7,False,False,False,d9e8712ef1f88a251e573716895162505b49ae3c3814a326367f523406dc75e0
stage2-expansion-0001-b559431afb94,1,6,cloberdex,base,2024-10-30T08:56:53Z,2024-11-30T08:56:53Z,2024-11-30T08:56:53Z,9,9e0cec80af0f2afc569c6f5402f2badfdc9a6497f079204f02ecd9e5af811af8,b20780e7e4dd3a7a0410d9df66bd57cfcd341ab65e273b1ef7bb3e8b3efe82dc,8d5288b7195eb77423a5e141910eb5e55c626d6ca724861d7accdd9353c40c04,a574b5a865b02d4628b0f35768c7e7cb78878b1bd051260f3c787a320cbbf870,4603d85139483db1b69c374c84603cfb83dabc2a93b6e310cab2f4226cebf871,e9658ef00d6c387b3366fdafc0605c81261c63dc9bb59f54bb7e7eda9464ccc7,b559431afb94fb1d8b976ded7def89f0316012196768dcbf3d6c2a50134e82f7,False,False,False,73cc50abbfd0e1f03bc1f38137f13b6230e0148ad783560ed16d3d50a04d69c8
stage2-expansion-0001-b559431afb94,1,7,moonwell,base,2023-07-05T01:58:49Z,2023-08-05T01:58:49Z,2023-08-05T01:58:49Z,10,11273777675355d2ad1a7f73694deda26bc668142eb41e2c79642d1eca5b77ab,b20780e7e4dd3a7a0410d9df66bd57cfcd341ab65e273b1ef7bb3e8b3efe82dc,8d5288b7195eb77423a5e141910eb5e55c626d6ca724861d7accdd9353c40c04,a574b5a865b02d4628b0f35768c7e7cb78878b1bd051260f3c787a320cbbf870,4603d85139483db1b69c374c84603cfb83dabc2a93b6e310cab2f4226cebf871,e9658ef00d6c387b3366fdafc0605c81261c63dc9bb59f54bb7e7eda9464ccc7,b559431afb94fb1d8b976ded7def89f0316012196768dcbf3d6c2a50134e82f7,False,False,False,b55061d301a100807f1f67323f79a7508a919d55aa9d50b28e050266400d0876
stage2-expansion-0001-b559431afb94,1,8,normie,base,2024-02-05T22:10:17Z,2024-03-07T22:10:17Z,2024-03-07T22:10:17Z,10,7be771667b472e6e0395dcfde6ae1e2fcad97ed572ae7066a8ced8a9f1982566,b20780e7e4dd3a7a0410d9df66bd57cfcd341ab65e273b1ef7bb3e8b3efe82dc,8d5288b7195eb77423a5e141910eb5e55c626d6ca724861d7accdd9353c40c04,a574b5a865b02d4628b0f35768c7e7cb78878b1bd051260f3c787a320cbbf870,4603d85139483db1b69c374c84603cfb83dabc2a93b6e310cab2f4226cebf871,e9658ef00d6c387b3366fdafc0605c81261c63dc9bb59f54bb7e7eda9464ccc7,b559431afb94fb1d8b976ded7def89f0316012196768dcbf3d6c2a50134e82f7,False,False,False,0b8be78c8737586f8858a8838616556c732e5d9821049de23e5def5aa6b73da1
stage2-expansion-0001-b559431afb94,1,9,sumermoney,base,2023-12-09T22:03:11Z,2024-01-09T22:03:11Z,2024-01-09T22:03:11Z,10,70e3ef5b30cfe6af3cfaba549ad40b46268b6f7b7c9580810956d992aaac8874,b20780e7e4dd3a7a0410d9df66bd57cfcd341ab65e273b1ef7bb3e8b3efe82dc,8d5288b7195eb77423a5e141910eb5e55c626d6ca724861d7accdd9353c40c04,a574b5a865b02d4628b0f35768c7e7cb78878b1bd051260f3c787a320cbbf870,4603d85139483db1b69c374c84603cfb83dabc2a93b6e310cab2f4226cebf871,e9658ef00d6c387b3366fdafc0605c81261c63dc9bb59f54bb7e7eda9464ccc7,b559431afb94fb1d8b976ded7def89f0316012196768dcbf3d6c2a50134e82f7,False,False,False,795469632383fe032befbfd74c91cb6e902f3094321b2e534914145a6bb7f1fc
stage2-expansion-0001-b559431afb94,1,10,synaplogic,base,2025-09-12T07:35:09Z,2025-10-13T07:35:09Z,2025-10-13T07:35:09Z,10,a1b047fed920770421e9885a8ceffe8995678e3670cddf7311ae9cd20d7adc17,b20780e7e4dd3a7a0410d9df66bd57cfcd341ab65e273b1ef7bb3e8b3efe82dc,8d5288b7195eb77423a5e141910eb5e55c626d6ca724861d7accdd9353c40c04,a574b5a865b02d4628b0f35768c7e7cb78878b1bd051260f3c787a320cbbf870,4603d85139483db1b69c374c84603cfb83dabc2a93b6e310cab2f4226cebf871,e9658ef00d6c387b3366fdafc0605c81261c63dc9bb59f54bb7e7eda9464ccc7,b559431afb94fb1d8b976ded7def89f0316012196768dcbf3d6c2a50134e82f7,False,False,False,0be937307754818f48861fc9103edfa12948b82d83a6653dfa5c000aa18fd50e
