case_name,chain,positive_deployment_time,positive_prediction_cutoff_time,positive_record_sha256,admissible_deployment_start,admissible_deployment_end,existing_pair_count,maximum_flow_allocated,controls_required,minimum_additional_distinct_slots,require_new_chain_address_identity,require_deployed_by_positive_cutoff,require_pair_specific_cutoff_covariates,expansion_status,selection_authorized,expansion_requirement_sha256
- ThoreumFinance,bsc,2022-07-15T08:07:01Z,2022-07-16T08:07:02Z,dfa4aef158bd4972021310fe0d519091c19833b9e5b471250c960835b542bc17,2022-06-15T08:07:01Z,2022-07-16T08:07:02Z,14,10,10,0,True,True,True,NO_DEPLOYMENT_SCOPE_DEFICIT,False,b526e4afebab25baf199f68e6f258503f2019449617ccec22d79797b7ea5adb6
88mph,ethereum,2021-02-16T23:53:03Z,2021-02-17T23:53:31Z,2629b6ee7c838077f1f29fb9429d675c86631d17efb9a24ba7d8ad93922095c2,2021-01-17T23:53:03Z,2021-02-17T23:53:31Z,1,1,10,9,True,True,True,HISTORICAL_DENOMINATOR_EXPANSION_REQUIRED,False,b59eaaaf9996e180ab936100f454d84f25ac2c5d65b75f9b599dae5324d3302e
ATMBlindBox,bsc,2026-03-18T10:56:43Z,2026-03-19T10:56:43Z,d8d5967d5608e5c8e2a53aab265ac0ec1e9d64f4efa7b4e72d542c0f9e339009,2026-02-16T10:56:43Z,2026-03-19T10:56:43Z,1,1,10,9,True,True,True,HISTORICAL_DENOMINATOR_EXPANSION_REQUIRED,False,19ae50d4a3dd328571241cf391e4cd7a391f513f89661cced057393833817219
ActivePoolUrgentRedemption,ethereum,2025-05-24T00:29:11Z,2025-05-25T00:29:11Z,abd25540a97ecd8821a31924cdc75d6bf7726ec4d77830b61ffada53ce291a48,2025-04-24T00:29:11Z,2025-05-25T00:29:11Z,60,10,10,0,True,True,True,NO_DEPLOYMENT_SCOPE_DEFICIT,False,8cdf60db13a7f079f03b0dfdf468f80e370401ecd50f7904f4b5ed2260f14b5c
AutoPooledTradingBot,ethereum,2025-08-01T15:49:35Z,2025-08-02T15:49:35Z,e3ab881333d3652114392f43a6735153a72fb6ca7bde71da91738114361235a4,2025-07-02T15:49:35Z,2025-08-02T15:49:35Z,72,10,10,0,True,True,True,NO_DEPLOYMENT_SCOPE_DEFICIT,False,134e8b6899d7b1346601ba46cf98ce78d10b0458f5433070fa836d5dbb285093
BaseBebopSettlement,base,2024-12-19T16:49:51Z,2024-12-20T16:49:51Z,c70e1d9ef20130fc5eba1ec028347a70f6b160976d0bb9066b68862c6b657805,2024-11-19T16:49:51Z,2024-12-20T16:49:51Z,0,0,10,10,True,True,True,HISTORICAL_DENOMINATOR_EXPANSION_REQUIRED,False,fa584224f158f49d4e59639c625e312192ee010d1f301053be6897b8f246ea03
BetaPresale,bsc,2021-04-14T09:12:04Z,2021-04-15T09:12:04Z,0cbae76831286ed087ea802f65d13ca181e3513049dc728599e9974501d4d9c3,2021-03-15T09:12:04Z,2021-04-15T09:12:04Z,4,4,10,6,True,True,True,HISTORICAL_DENOMINATOR_EXPANSION_REQUIRED,False,0c7e63d76a80e95da23b377d8a552d4b51c5eb2d0f99554ec8f35b75642f3455
BitCrown,bsc,2025-06-07T18:22:23Z,2025-06-08T18:22:23Z,ebc7555ba7b4efe56b82ae2bd5616115764fd7026c9e7693f16eba318f336759,2025-05-08T18:22:23Z,2025-06-08T18:22:23Z,3,3,10,7,True,True,True,HISTORICAL_DENOMINATOR_EXPANSION_REQUIRED,False,4206dd16e7d8949c49edb5c23cbe20b2f153f7d2bd60ba5717906bb79b350542
Bitallx,bsc,2025-05-14T06:01:07Z,2025-05-15T06:01:07Z,30d6b4463de7caae42243bec4fbcc8a3fefa0aa34d3ebae5235b784af1564d7c,2025-04-14T06:01:07Z,2025-05-15T06:01:07Z,2,1,10,9,True,True,True,HISTORICAL_DENOMINATOR_EXPANSION_REQUIRED,False,da416697654cb3a5fbe7aa4395814517fd81629f63eb2f6702898da171d9e05c
CookFinanceIssuance,bsc,2022-03-16T06:25:27Z,2022-03-17T06:25:27Z,2db3322732d45101782cd8d538c8da18fca1d2c2fe31899fd02a9f561c47ff0c,2022-02-14T06:25:27Z,2022-03-17T06:25:27Z,27,10,10,0,True,True,True,NO_DEPLOYMENT_SCOPE_DEFICIT,False,a48d2dd3d9ab0d041c84d4232169c78379441e00b8fab1f3df34b4abf65925a7
Crosswise,bsc,2022-01-11T19:27:02Z,2022-01-12T19:27:02Z,ddb3ffcf89afcc6c50ee1ac07e9f2bbfa8971a95217fb5f5c4bdb1f8463c7cf2,2021-12-12T19:27:02Z,2022-01-12T19:27:02Z,25,10,10,0,True,True,True,NO_DEPLOYMENT_SCOPE_DEFICIT,False,83fe3325a76216f2edb15d9383b9806c4b2ded46cc8e865e0324f9201f5a0c50
