case_name,chain,chain_id,positive_prediction_cutoff_time,minimum_additional_distinct_slots,reserve_target,control_address,control_identity,control_deployment_time,deployment_distance_seconds,creation_tx_hash,deployment_block,creation_type,trace_proof,source_object_key,source_object_sha256,source_record_sha256,edge_rank_sha256,reserve_assignment_sha256,queue_status,rpc_authorized,selection_authorized,stage_promotion_authorized,recovery3_mutation_authorized,effective_status,source_index,source_run_binding_sha256,source_event_sha256,result_sha256,result_file_sha256,result_path,rejection_reason
umbrella,ethereum,1,2022-03-15T17:05:56Z,10,100,0x1fa61c33522ba3e393ed7cc279e22fa462ab3927,1:0x1fa61c33522ba3e393ed7cc279e22fa462ab3927,UNKNOWN_REQUIRES_RPC,-1,0xf87a5b1e3c6c0f8808996ac3f9113c80928d7dc57e39024618beafdc3a450c27,14267406,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_13000000_14000000.parquet,8885bd5034eff92607b7ffb297b079b222764c22e24fbd5bdf3f3d689c1a839b,2d1ff928a286156e702278c4c0d4059d915444e299e9cda33b05e7736ae73db6,00005439b9adcdeac9512b798877d55c533b20646eabe8f9ea66f5d6597618f9,004f2176c0c87135d3a52228fb19fbe0a69fa55306140e8245b368c4d5302a06,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False,COMPLETE,0,457c3f46d5b63ed0f5d0c19ab4a7bb44795a98e5c880adb5942ab56a6e98325a,8b65fcea9d578f98a2e12169be8f60ddadcf1245bb62fc3c38dc76ba992d306e,e156a9301b7f7b3b29d3d9a3eaf374c9e630f39224cc5ea8ec8ceaa5415ccf4a,19b2c63e5ffbea3be297c0e8bc4ae1d283adf554ab90997503c240647b968e8a,/Users/rainbow/Documents/ZTech/Research/ChronosAudit/ChronosAudit_Research_Latest/02_Executable_Artifact/raw/stage2_controls/2026-08-23/control-candidate-attrition-extension-acquisition-v1/candidates/004f2176c0c87135d3a52228fb19fbe0a69fa55306140e8245b368c4d5302a06.json,
pseudoeth,ethereum,1,2023-06-11T00:15:35Z,10,100,0xd2a88c306a9436bd0503feffb965f5b55605da90,1:0xd2a88c306a9436bd0503feffb965f5b55605da90,UNKNOWN_REQUIRES_RPC,-1,0x72e5a01224a8202e370779d641d30bf079564fe4ead325fa3d249b5762e8fbb1,17266498,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_2000000_3000000.parquet,6d562e88df03827bfbf01c2b88d473f0dece6ca3dcd2b0c76188bf3236dcdaae,803510821958b3ab25ee5a339ad0b9ef1ef31151eb31261188d5247300975d95,000e43afe37148854ac65be18e22b68def2546040c368731c79107ac57c2ebce,007a661ff76899bbea6051b94fcae3aa1f546ccdd64a2a70309fedcccf892ebb,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False,COMPLETE,0,457c3f46d5b63ed0f5d0c19ab4a7bb44795a98e5c880adb5942ab56a6e98325a,1e5cae96db644520d2a926903e78708c891296ddd355eec4116ade058fce19a4,fe93fcc8aed62f40907bee6ab826b91928d417c32532a960460cbf1747e7ba1b,157280f672fb1b9e4cdf9941a1e53856b82628b3fca6e6f1dd91b37fb3d367f5,/Users/rainbow/Documents/ZTech/Research/ChronosAudit/ChronosAudit_Research_Latest/02_Executable_Artifact/raw/stage2_controls/2026-08-23/control-candidate-attrition-extension-acquisition-v1/candidates/007a661ff76899bbea6051b94fcae3aa1f546ccdd64a2a70309fedcccf892ebb.json,
rl,bsc,56,2022-07-25T14:15:52Z,10,100,0x7745d68a7b5b8b4cc3ca68150249457e1cc66acd,56:0x7745d68a7b5b8b4cc3ca68150249457e1cc66acd,UNKNOWN_REQUIRES_RPC,-1,0x30508c5ebe5507f410b9f6140a73062ce12e8b14a92dff1fa17de91e5082b93b,19085590,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_29000000_30000000.parquet,3255e78e345aff80bfd6dfc7d760f4bda3a96fce4225cc3e128ce3d21ff32822,f08cc23a25a65bffbe4f54da3f17e36608585be31c5beae8a0b3ac43b8e45352,000441b9bcbf46a34ad5bf05aa283480ad454737856e284e14604593ced812f2,00c2be9f65deca512bc0c1eee4483a2080d5dd5add4b39995f1578fae68eeae4,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False,COMPLETE,1,4ff0309fe7892390ddcbe7c44006795d1009640218349c012e9ae1841c387f29,617b5acce4c034e1d1b381e8bf566e37e815538cc11c4998b2b11dd68800747d,017607d9d98dcec6cef1cd92d25d7aa2254a2ef1b698354d88b577692c538e45,9cf698c0304211107178340570224ed691ab575dc2186b51cc9dcc3fec4b1c01,/Users/rainbow/Documents/ZTech/Research/ChronosAudit/ChronosAudit_Research_Latest/02_Executable_Artifact/raw/stage2_controls/2026-08-23/control-candidate-attrition-extension-retry-acquisition-v1-bsc/candidates/00c2be9f65deca512bc0c1eee4483a2080d5dd5add4b39995f1578fae68eeae4.json,
pancakehunny,bsc,56,2021-06-02T03:31:01Z,10,100,0x4c99a6ce7821fb267ec0ad9215832f8a406402d5,56:0x4c99a6ce7821fb267ec0ad9215832f8a406402d5,UNKNOWN_REQUIRES_RPC,-1,0x329180d33ffa8fa6478fd328f43289e66ad24861a2123d8f6f3d46b390c07a9d,7835719,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_30000000_31000000.parquet,0d12ca90369256d040cf542c85f6ffcf446e4e3e8d19fd878d446ff8ed9337b7,6fcf638091a0e242a3d71e57c4bf5bf415fcc6a09db198e718821b985ff0f18b,000932a3995ecb14fe98244b993c318eb90eb05cce23e65c8ff26ec1aecee783,01051acea585985c83b132ebae8e3152d0cffda09475c56e2d45fb02d7b48afa,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False,COMPLETE,0,457c3f46d5b63ed0f5d0c19ab4a7bb44795a98e5c880adb5942ab56a6e98325a,1981b8dfd6c6d0635471c8519de4736187490a17920733bad78f8fa3c236627c,19560ffaf0b4b398d18897ee8e347b6a795d5c9b193f29af07f529251be1afe0,c8c5f412b32a73cc1890ac33bd5d10f773f4b3000439b76105a0ea1a931198ab,/Users/rainbow/Documents/ZTech/Research/ChronosAudit/ChronosAudit_Research_Latest/02_Executable_Artifact/raw/stage2_controls/2026-08-23/control-candidate-attrition-extension-acquisition-v1/candidates/01051acea585985c83b132ebae8e3152d0cffda09475c56e2d45fb02d7b48afa.json,
res,bsc,56,2022-07-21T13:06:04Z,10,100,0x1ba4f624da43001fdb653a5a8e5b43f133bb6039,56:0x1ba4f624da43001fdb653a5a8e5b43f133bb6039,UNKNOWN_REQUIRES_RPC,-1,0x8e8651983f6ff1109e6d5dea7f07fa3547ff45b901d7b6e6e15f1255904dfaaa,18916351,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_30000000_31000000.parquet,0d12ca90369256d040cf542c85f6ffcf446e4e3e8d19fd878d446ff8ed9337b7,d431ba1c55689419cae4cbf84da9761cc4958418624d5d94a0e310ad8d99d091,000f1a6c879d663fcb77d9438d946ef2d3e7f77c9dab29669d5f947b0986f722,011930950fad9f79feb5645e865c9c7bac6b7c7d5ade59e840cc9883302aa35c,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False,COMPLETE,0,457c3f46d5b63ed0f5d0c19ab4a7bb44795a98e5c880adb5942ab56a6e98325a,41393d805b4f46e69da3e31c0c64a19afbbef317e5591ad3cfc919786598ba16,75937f258f32b0526f9b0da1ac1fb67bfd6f81e498ac13ce83f283aa9061527b,aceb2deff9216a0322986b13fa7c600e09161e50715c2ee3c96bb00ddfe13807,/Users/rainbow/Documents/ZTech/Research/ChronosAudit/ChronosAudit_Research_Latest/02_Executable_Artifact/raw/stage2_controls/2026-08-23/control-candidate-attrition-extension-acquisition-v1/candidates/011930950fad9f79feb5645e865c9c7bac6b7c7d5ade59e840cc9883302aa35c.json,
LBP,bsc,56,2026-05-08T01:57:51Z,1,10,0x82d56e4d35d42ea2488ebf90bd8b6579e1af6eed,56:0x82d56e4d35d42ea2488ebf90bd8b6579e1af6eed,UNKNOWN_REQUIRES_RPC,-1,0x9611b8cd6a395ee41e7b2f7bffcc88b511eadac9f09e867f4bd5e7b5606a90be,91716206,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_30000000_31000000.parquet,0d12ca90369256d040cf542c85f6ffcf446e4e3e8d19fd878d446ff8ed9337b7,be825c8d9c78f658fa1f5cd9a16f6209a9ee40804047f4453df437bca3d0680a,0004503b6e3e378ba6c39a1dac6992d3edd1f33aa35a6f621972579295bb2e57,0128fef8f1b807201486c18713d738ccd8683010bc767fd35f7d236da9f1a411,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False,COMPLETE,1,4ff0309fe7892390ddcbe7c44006795d1009640218349c012e9ae1841c387f29,06e2839ed5b8953f1d0bf82bb839bc1246f2a06554bc953039aa07d2fc1a1944,a28b6201ba84ba3961d5bed7aa9cfa728c71ac36fb4040dfb15bbd37b83d95fa,9b7c1e5fdfb15defa0bc157d37e75c39f4e16235f81b780cd55d3e97e5cef720,/Users/rainbow/Documents/ZTech/Research/ChronosAudit/ChronosAudit_Research_Latest/02_Executable_Artifact/raw/stage2_controls/2026-08-23/control-candidate-attrition-extension-retry-acquisition-v1-bsc/candidates/0128fef8f1b807201486c18713d738ccd8683010bc767fd35f7d236da9f1a411.json,
MicDao,bsc,56,2023-10-08T02:28:34Z,7,70,0x17214c5333a56a835f1ada91d11ebb15a861445a,56:0x17214c5333a56a835f1ada91d11ebb15a861445a,UNKNOWN_REQUIRES_RPC,-1,0xf17719f7ba38f90f08c612b4e950fc24c75945c93855f5d45e0c8bbf73aee6ce,32339490,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_31000000_32000000.parquet,1096c453513646713a3b6185edd15651bf3a9599e2e334ecd82bcf3c939ca722,0e54f12bd4d3395b13fbdd26264d35aca402737ecdd524e61331a7047cb2f739,0013f0fe102e5c9fa59d958bb6ad97f8f3bd630d22d43a70bb50db71dfe27435,021008b9a4fe0029942d7a74736cb4ce62efa9c9d4a193d1986a27a332e713a1,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False,COMPLETE,1,4ff0309fe7892390ddcbe7c44006795d1009640218349c012e9ae1841c387f29,cdbed2a63b189720d94f438c2a2072d284bd081a005df8070817e95d86a023fb,46d72b3cdca4796cb7c2a99b23afd31d7e0447b907160d845a7b68e6905c49e1,b6931af85c14d798645dd3b402f630fc7fe533811addb9851c464edcaedc6256,/Users/rainbow/Documents/ZTech/Research/ChronosAudit/ChronosAudit_Research_Latest/02_Executable_Artifact/raw/stage2_controls/2026-08-23/control-candidate-attrition-extension-retry-acquisition-v1-bsc/candidates/021008b9a4fe0029942d7a74736cb4ce62efa9c9d4a193d1986a27a332e713a1.json,
cellframe,bsc,56,2022-11-15T12:24:22Z,10,100,0xeb407951da97fd7b0ee5d4c103e1d9d01cb6363a,56:0xeb407951da97fd7b0ee5d4c103e1d9d01cb6363a,UNKNOWN_REQUIRES_RPC,-1,0x7bcf87aa53a1d7c33cfa90b74abc9e929aa3e43bf011f149b2a5a2352dd9e7a0,22857656,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_31000000_32000000.parquet,1096c453513646713a3b6185edd15651bf3a9599e2e334ecd82bcf3c939ca722,12d52c06edf65a6b6c2866740db93041c8bb9a8b680529df765c0337eba9c49c,00100626fbe726cdbce87d0098fd1abbec694c4c4adf14efc10524a1b5c1436c,023f36a06de8f79766f662f88fed1257bb7f5e59743668e302b15e5e37e969e7,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False,COMPLETE,0,457c3f46d5b63ed0f5d0c19ab4a7bb44795a98e5c880adb5942ab56a6e98325a,878270c4f61e50faa98da7e7553cdb78b7871fc466839d9f496585000dd405ed,eb9456e5ff2c1d48be07a5a870aed64fb9fad4954a6997596ee74a8cd43a7f55,3060e8db93173e5d83c57e5b63be5bfc5da89eb0e6043a3fc6a355c1406e2416,/Users/rainbow/Documents/ZTech/Research/ChronosAudit/ChronosAudit_Research_Latest/02_Executable_Artifact/raw/stage2_controls/2026-08-23/control-candidate-attrition-extension-acquisition-v1/candidates/023f36a06de8f79766f662f88fed1257bb7f5e59743668e302b15e5e37e969e7.json,
tecraspace,ethereum,1,2021-04-14T12:34:44Z,10,100,0x66c03b04d3856d6e1b85eeb2d36a5d763cd08a2c,1:0x66c03b04d3856d6e1b85eeb2d36a5d763cd08a2c,UNKNOWN_REQUIRES_RPC,-1,0x59a1e6c86cd7ae9caef329f08197b69607359050f82953ce6353450a4a370db5,12132402,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_19000000_20000000.parquet,204b7f381daf9d8017d4efd97183633a94c1c646efa22b219290c725f63c79d8,da38dc76a42f38dcf822d471f5f5e224c83c10e33e271b8738e6701f5b19decf,0001af2d1990fbc3c146f4dff082a4d2ddd8b74ac034f5904b5d69f4d9d8f163,0251609c338e90a7cba04bd995b36be4aba3ab697118e8677963cf2d14da4122,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False,COMPLETE,0,457c3f46d5b63ed0f5d0c19ab4a7bb44795a98e5c880adb5942ab56a6e98325a,2174aa7994a96e57a16be4568b2d47df1a193b95cac7d0fb883e593a6315194d,2bcfd7855cf16d71500a73331c7d317be90fbd921e27802901cf3eb4cd03e663,224bac4cf5e54c27858a2c7b1030cb10a4d109356f045e31ec9ef74dd4ae9c43,/Users/rainbow/Documents/ZTech/Research/ChronosAudit/ChronosAudit_Research_Latest/02_Executable_Artifact/raw/stage2_controls/2026-08-23/control-candidate-attrition-extension-acquisition-v1/candidates/0251609c338e90a7cba04bd995b36be4aba3ab697118e8677963cf2d14da4122.json,
RICE,base,8453,2025-03-14T05:33:51Z,8,80,0x02fe82927b55f92df4df1b7787f0f7a04b47d9a6,8453:0x02fe82927b55f92df4df1b7787f0f7a04b47d9a6,UNKNOWN_REQUIRES_RPC,-1,0xdcb6b9217a88f35c5d87bff3219c5910419bffc52ba00e1ab84fa02334a920ae,27508935,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_34000000_35000000.parquet,fc61f086cef05f0f0944374151ad4450f9e717e8b70e4bd746904b2339d5e5d6,077be28ab41e9c9b77f800cc997a7ebd0039a2a5a5df1d9c01beb209a7eb6d7c,00002ca3272db377bf3877b0e18d5c569672d4af75adece8087efe00d56044fc,026e1346d3025b1da583b700d1a8905c4c6e1998cc3d3334d32dd5d734236802,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False,COMPLETE,0,457c3f46d5b63ed0f5d0c19ab4a7bb44795a98e5c880adb5942ab56a6e98325a,d587754d496666c33f5a1225d5f66dbb678100f12308a338db2cc357dcbff259,8e7491f8cb2c7ca2213221141278202d979d31cab0e35cc580cdb3ea6512bb5f,f603520ba9125a9cb391ddb0a250122d57bafa258c51a663047b7e5ae9012d85,/Users/rainbow/Documents/ZTech/Research/ChronosAudit/ChronosAudit_Research_Latest/02_Executable_Artifact/raw/stage2_controls/2026-08-23/control-candidate-attrition-extension-acquisition-v1/candidates/026e1346d3025b1da583b700d1a8905c4c6e1998cc3d3334d32dd5d734236802.json,
