case_name,chain,chain_id,positive_prediction_cutoff_time,minimum_additional_distinct_slots,reserve_target,control_address,control_identity,control_deployment_time,deployment_distance_seconds,creation_tx_hash,deployment_block,creation_type,trace_proof,source_object_key,source_object_sha256,source_record_sha256,edge_rank_sha256,reserve_assignment_sha256,queue_status,rpc_authorized,selection_authorized,stage_promotion_authorized,recovery3_mutation_authorized
ATMBlindBox,bsc,56,2026-03-19T10:56:43Z,9,90,0xc50fc9f6ed55daa2025737285040818ed83d2b54,56:0xc50fc9f6ed55daa2025737285040818ed83d2b54,UNKNOWN_REQUIRES_RPC,-1,0x2f58d5bb5612636d2f4626f1c38f987554fc30969208d4e637662ee03850f4f5,82998212,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_29000000_30000000.parquet,3255e78e345aff80bfd6dfc7d760f4bda3a96fce4225cc3e128ce3d21ff32822,7a5c9991d329ed0523c8e07a58c7dddc7588d9e02e68363276bf78260c0d149a,00037b1e4ef40e21de49824f7f302438aba3e753263829fea92f99a1e3dae7a3,cc091394586ae4eb21026a538f00559bdbbc96abaa8dc76f394eff1ac5c8f5ef,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False
BetaPresale,bsc,56,2021-04-15T09:12:04Z,6,60,0xeb65e8fe55bbb95536b981395823ef05e402d746,56:0xeb65e8fe55bbb95536b981395823ef05e402d746,UNKNOWN_REQUIRES_RPC,-1,0xfef8345009529fa208ea887be47ffe493f73de324286bce44857bd8a48e2ec8b,5931873,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_31000000_32000000.parquet,1096c453513646713a3b6185edd15651bf3a9599e2e334ecd82bcf3c939ca722,3a99f926f56f7696762737bbd8b8f251ff3317d12ff56d76622bd608a9ca234e,000189278ce4d5671971c8ed6b993d24f28ab56c967390667496fe5026a08b1b,7d6e5d7b23c9083a29f863eabfad8dce0a676108a4705b79607cd3086045e00d,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False
BitCrown,bsc,56,2025-06-08T18:22:23Z,7,70,0x3da466f5be8024405a366538ed7949b4ce9f015d,56:0x3da466f5be8024405a366538ed7949b4ce9f015d,UNKNOWN_REQUIRES_RPC,-1,0x1d5cb7962088a6f96aaf8ba9fcff244b4220c25f464ced2cfba90f0d62f69c1b,50411278,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_30000000_31000000.parquet,0d12ca90369256d040cf542c85f6ffcf446e4e3e8d19fd878d446ff8ed9337b7,562fce4b9b78f1fa8a746325b130f2b646f2e5d18a00a310528fa47ce132b216,000543388b42ca86cc8c4043f52bddf5d9e12059219bd297ae65eeff1e10a465,8e89e2f887622bb71dca81ce105a45c9dda0df255552aed4156bcf718fcd1b95,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False
Bitallx,bsc,56,2025-05-15T06:01:07Z,9,90,0xaaec17033a2ad12e5029b8790aa34549d2a5ec00,56:0xaaec17033a2ad12e5029b8790aa34549d2a5ec00,UNKNOWN_REQUIRES_RPC,-1,0xcdab1d5650e877e9e3a7e21f531d84779530d78f59024d1fd9d890bcd5298c3b,49242540,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_31000000_32000000.parquet,1096c453513646713a3b6185edd15651bf3a9599e2e334ecd82bcf3c939ca722,02a01f817eec4263ae7e968ef00e2e882682b55e92fd69a5795781e67c7a0c0a,000467e84d3951b27902f4921bce20506fa436ec69945f1daee444a2e86833ea,04d5fd645c79c73c4e5d81b2f060ab1703c30c412405caa6a74595304a6d3517,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False
DLMC,bsc,56,2026-04-28T13:18:52Z,3,30,0xfcc4bf7c4c72c8fd7071b99333a9a654f2cf6815,56:0xfcc4bf7c4c72c8fd7071b99333a9a654f2cf6815,UNKNOWN_REQUIRES_RPC,-1,0x4ec7a636fe3bf22cf829a3bbabab148e97a791c5f3be0c9dc18abfa72ae72017,92350532,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_31000000_32000000.parquet,1096c453513646713a3b6185edd15651bf3a9599e2e334ecd82bcf3c939ca722,18652c9f7c543d0f29b5b47df73f661a9e04f77deb2f871b26d754549ace47b9,0000e66d0544387bab7eb10501d5abcd1afab22a15976eba5b772883633fb393,91ddb31f868fe8c041a3cb3d0adc8c4e400028b0082f8d527b3c4965964fe3e7,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False
FlyLong,bsc,56,2023-11-29T19:17:34Z,1,10,0xb372e10fe21abd5f5a76d342f48f9fa7ad1d0116,56:0xb372e10fe21abd5f5a76d342f48f9fa7ad1d0116,UNKNOWN_REQUIRES_RPC,-1,0x228346179e3ee7e80c73f68e71b5354362d236125894af9be1aca19d1b7d10ef,33456418,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_30000000_31000000.parquet,0d12ca90369256d040cf542c85f6ffcf446e4e3e8d19fd878d446ff8ed9337b7,9ed6996fb182b4ace00b48dc465edb352683b120482d93745ccec10093b678e5,000397acf7a1ce93159d81825fc8e2cf7b5fa99c51b114b578e9df5582dba1f0,e1b68e662c356ad1d33a211155e7a0b4cefc93767a6fe790636b1a2c69047380,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False
GMT7,bsc,56,2025-02-08T12:45:18Z,7,70,0xabfc782cc6f7f8db48893c0b302282c04a8b5c13,56:0xabfc782cc6f7f8db48893c0b302282c04a8b5c13,UNKNOWN_REQUIRES_RPC,-1,0x7589722db9b31c07b0b77cb6c64f65652f4ee532a6d743ac6076eef3246bc89b,45730826,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_29000000_30000000.parquet,3255e78e345aff80bfd6dfc7d760f4bda3a96fce4225cc3e128ce3d21ff32822,f518abd8f189fcf66271044013ab890df5f2f8f75809e694eaff69dbcbb1a609,0006edd46766a79272cbcd7abc0f58ba81e669e4e67092183e6046bc5cc0edc3,f894e6155fc18441d5aefc3d7c3583713d4707ca5a3e7bd6fcabb80090ee626c,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False
GoldReserve,bsc,56,2024-12-28T15:13:07Z,9,90,0xcfb94a4a35d408e563b6317cb9969972a0094445,56:0xcfb94a4a35d408e563b6317cb9969972a0094445,UNKNOWN_REQUIRES_RPC,-1,0x5792001ee0dd296f3f9535e0433bf646a9339cf63ea77022cf33d1349f74dab0,44934474,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_30000000_31000000.parquet,0d12ca90369256d040cf542c85f6ffcf446e4e3e8d19fd878d446ff8ed9337b7,4c7c869a0084f617bdee20fcb4c9e9cb88065b983dbbed89c0a75e3d8c2c04b9,00143efabac6ac68272d0ebe50f2b68ef439e1e4d8b3a46a8f45475788e80391,db76e25a9709283d2fcb7e169bac2c8838d472938d662b728f8f2984fbe5f821,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False
HORS,bsc,56,2021-05-13T02:56:01Z,4,40,0x038f5104796a04d01bf7a0e47deee7dd6babdc72,56:0x038f5104796a04d01bf7a0e47deee7dd6babdc72,UNKNOWN_REQUIRES_RPC,-1,0x4dcf65cac76162159041b4ef2147705a847a344a46cc835c2224c2c58264bf0b,6908172,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_29000000_30000000.parquet,3255e78e345aff80bfd6dfc7d760f4bda3a96fce4225cc3e128ce3d21ff32822,d34350aef6eec501f7650cfcfb3a0ab2dfe2cd277cf88f88c5d441598b571d03,00018a2e0667bba2a3f56235a8555cd04ec36d96ff478991cdacee5bf83d1e8a,a45310e04dd152c8b9816bdd6550be3faf4693a579be26a1213a6a3f1331bcbb,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False
HoldSafe,bsc,56,2025-03-15T16:16:22Z,8,80,0x7109c3db1b6592f8059203be95c8fec7131e6b6e,56:0x7109c3db1b6592f8059203be95c8fec7131e6b6e,UNKNOWN_REQUIRES_RPC,-1,0x46bd7e97aac07176b3b681a4968297dd3ee6bb8f59d72dbc8b302ad540f87400,47307112,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_29000000_30000000.parquet,3255e78e345aff80bfd6dfc7d760f4bda3a96fce4225cc3e128ce3d21ff32822,c31da8ca791c63512827864fcbf4ecd3217634ec7c6db2b27c94e318a1f95ede,000a3dd8ada64495c7cc73cb93c7f039132dd1ec3451f215d85efeeaea1e3b2d,97e1b095f794f88395f28537ece0f07a402eccd96932db4f69051bfd4529b0e8,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False
