case_name,chain,chain_id,positive_prediction_cutoff_time,minimum_additional_distinct_slots,reserve_target,control_address,control_identity,control_deployment_time,deployment_distance_seconds,creation_tx_hash,deployment_block,creation_type,trace_proof,source_object_key,source_object_sha256,source_record_sha256,edge_rank_sha256,reserve_assignment_sha256,queue_status,rpc_authorized,selection_authorized,stage_promotion_authorized,recovery3_mutation_authorized
bzx2,ethereum,1,2020-09-04T00:36:41Z,10,100,0xebf4c105127b88229ec0234b8d171476d89b19c0,1:0xebf4c105127b88229ec0234b8d171476d89b19c0,UNKNOWN_REQUIRES_RPC,-1,0x8082ca405ca625d8d026014e629d5631baa918c6005cb43da903d285c7fd6ecf,10772175,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_14000000_15000000.parquet,6176cf26c5e071de572e4fa584e8e6126dbdb3267e5f347910a581b7d8a944c6,bbdd66fcc2cd1a15b3ab3f929cf95716c1e2a7b360e5e84b08a9b70c7afc4cb2,00010cee4d94146e5f1958cfe1f3c17b4c9005e8652b02c6044e420dfc9e37b0,365c1d743db6914180d0f6e047004a311818ea28ea46d7b4a2098114e7f571f4,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False
mimspell2,ethereum,1,2023-01-31T15:28:47Z,10,100,0x1862b6e9a9c99c4b16b6b6c683082ba29f6b3a1b,1:0x1862b6e9a9c99c4b16b6b6c683082ba29f6b3a1b,UNKNOWN_REQUIRES_RPC,-1,0x5edcb83eb303bd9fddf0cebe47167b980870bb8b5fb74fb98c3a24147d3b49cb,16342876,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_6000000_7000000.parquet,408541b1fff35d9d72eb413a63bd7e1ecdfd299daa7ca67b3c7185856aa6aef7,e4604b37e974739afbf69d1194780b26948152ba36bf69deb4225e7ac23b6d1b,0000b176f785db3ef41a86d633d54d1b1311fd03585ecc0f62d69ff384ceec6b,3f96567afcfbf1c8792b3dd6e2c34cad2965dfd833133080c45514ae771115b0,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False
upswing,ethereum,1,2020-09-29T18:04:56Z,10,100,0xcf8ca02ba168f48f5bf2bf539c321e295fd7cf2c,1:0xcf8ca02ba168f48f5bf2bf539c321e295fd7cf2c,UNKNOWN_REQUIRES_RPC,-1,0x81216e35f62161416be227d14eeac8c55f4561668258349300957ad882d95975,10872768,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_14000000_15000000.parquet,6176cf26c5e071de572e4fa584e8e6126dbdb3267e5f347910a581b7d8a944c6,42fe79a77575bd7b24e09c48a6819b3785f26a1ca53889c10a25562ee7acd087,00013034d4d974ae04afd97bb2f7e9f8ad8515263414926255d2d021b0cbdc52,b25e490c322bab639e5a4f6e7914aab9a8f2ae054e74215de370089ecab5cc43,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False
aave_boost,ethereum,1,2022-02-16T10:49:51Z,9,90,0x9d337f14ed5fec849c234edbcbc81e7636b532fd,1:0x9d337f14ed5fec849c234edbcbc81e7636b532fd,UNKNOWN_REQUIRES_RPC,-1,0xb74c8ca4092f720e203da7c0f968f5d19f74e3330dcb49dcdaf9767e3a69f1b6,14070937,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_22000000_23000000.parquet,a1a8c72cce1fe224b93b96844ae747785fcf2fe710f05d75b354ef366070990a,de15dc649e43685f2b216ccc07c85e68adc1f39a4e5cc7f42035bf52296342be,00003c40618c9c9d0bbfc199b6cf3ba1ee35603cf33c9285e2eb71dbf68883c8,562eb3a8e7bd5f85fdcc54302715b70b863d3b66b2775a82af90959c6bd11bc0,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False
bedrock_defi,ethereum,1,2024-04-14T08:55:47Z,10,100,0x9e43610f7533df45af9a498191c753196df2531b,1:0x9e43610f7533df45af9a498191c753196df2531b,UNKNOWN_REQUIRES_RPC,-1,0xacd6a243e56b5f3d2a7d7f0db43c9c6909142375b526b8897905513f7f7e0e67,19473304,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_15000000_16000000.parquet,fb048ce929cf0d541c7dfe8c10ffb84dba33d093f3718146318d7b12073d7d12,9b4c9a0ea68636a38de5e823c5dd45db313c73ef97efaf8092e340b2c3e2fbfd,00078c6c4b565d8f5dbb6a1cbc541c9013f356ed856fe5d8b75fdc60a75cc125,4c9a423bea355292d0f1bad5ead584a735b4f9085c458033390bf3b55fecc8c7,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False
jumpfarm,ethereum,1,2023-08-09T22:39:35Z,10,100,0x085c44f495fe2e75f41f6940c6f5944b2ac1b02b,1:0x085c44f495fe2e75f41f6940c6f5944b2ac1b02b,UNKNOWN_REQUIRES_RPC,-1,0xd1cf46cd84c356fa5d1b6bc97b7a395bbbd15012d7e778fd8f0615d006ccdb10,17787831,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_0_1000000.parquet,d5e23a08a88dabb08e4eb326b1c042e55165b1fd682650ab9ed73f136e287d31,277e5a870b4a34bcbcf4a215b8b66e5c7ba73b015ae33bd7427953b44a70ac1b,0004290ad06d18ef2c59bc3e640bcf4028652b66e6ec95b8c576850dce713a95,962540381d094448b3ceb05c691296e0ff0cc1a32cddba6166067dba556c9de3,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False
kashi,ethereum,1,2021-06-04T02:51:42Z,10,100,0x450c7e57f34761e0f86b0c542a0b5982802ef6f2,1:0x450c7e57f34761e0f86b0c542a0b5982802ef6f2,UNKNOWN_REQUIRES_RPC,-1,0x1fdb5b384636f35d9b8c2e758d5a92944db3adbbfedc1dba46412312f58c2b27,12504875,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_19000000_20000000.parquet,204b7f381daf9d8017d4efd97183633a94c1c646efa22b219290c725f63c79d8,a3602c3229c6b1aa762759464a399d43c8717642d17b1cbe2384fac0487fd738,0001aa5d3da98a3c51bd28b0b5f874bb2f04c8f7fa4cc031db080c16c26866c3,2a3c6f184a9ff57b3e8cfd794f7df9f748fb5e1341755b90981548998e5f575c,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False
lifiprotocol,ethereum,1,2022-10-21T10:23:47Z,10,100,0xe3b30d4483bb977940b1163205add8313cfc2810,1:0xe3b30d4483bb977940b1163205add8313cfc2810,UNKNOWN_REQUIRES_RPC,-1,0x6f75140500627ff3b2ed7be21759a87c27781f3d22653410791b04aff572ff9a,15712225,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_6000000_7000000.parquet,408541b1fff35d9d72eb413a63bd7e1ecdfd299daa7ca67b3c7185856aa6aef7,4cb029985088fdb987e4b85cb3b7892eb5ca831c5d5b0d168206c12d6801070f,00055ebef50c2030a4d34c34650215f8a4ef9a26491003f8b8351c4bdd2c67b7,1b4ee967ee9d51c74a378aba31ee9977cf904c96d59666be54409405bfacbd55,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False
luckytiger,ethereum,1,2022-08-23T06:00:04Z,10,100,0xe393ed3c5586542aceee63276a8077b221766dcd,1:0xe393ed3c5586542aceee63276a8077b221766dcd,UNKNOWN_REQUIRES_RPC,-1,0x1ae85e2a5e1a11b2c8a38734fd3094c945bd723e01708e749c87cffc551005be,15227200,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_22000000_23000000.parquet,a1a8c72cce1fe224b93b96844ae747785fcf2fe710f05d75b354ef366070990a,e2b77d2296605464f8178c58d1fd08ab17057866844da3fb0140f243d97cc4cd,000210bf9dc469d86fdbfe41d9b7d4aea24d9ad1d498a52e6db531b435582013,a46232fc3c8b5ed395252dd984c55c65a21afa912c1a11a348c6de1082751b22,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False
blueberryprotocol,ethereum,1,2024-01-24T04:16:11Z,10,100,0x9df68777cf3390a70e82669a89a3a8594af13f1b,1:0x9df68777cf3390a70e82669a89a3a8594af13f1b,UNKNOWN_REQUIRES_RPC,-1,0x47575054bb6f5a0c83f2db2f6b422a3bb70d05f3b6538e68ef982a9f4a3e7ca0,19013441,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_2000000_3000000.parquet,6d562e88df03827bfbf01c2b88d473f0dece6ca3dcd2b0c76188bf3236dcdaae,33def4ab7841f6b7439a442cf0e07f3078f6b17530dda07700bd89bce20dcf5d,001ae5d9e2a81098c22aca6be860a3018cb1c54ffd962eac5c7c5bfaa0a761f0,cc08b26d2f64c80c56a5c1e18f1c5977fde046cc746a99c288d67e7f2b69dfce,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False
bmizapper,ethereum,1,2021-07-07T05:48:25Z,10,100,0x8a0640d3e74f848dd265ccde38dafccc4138311b,1:0x8a0640d3e74f848dd265ccde38dafccc4138311b,UNKNOWN_REQUIRES_RPC,-1,0xf83faf41357b5d9b804203207777a08eca13ba871279a04e88f009fcfd9fa0aa,12734865,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_18000000_19000000.parquet,2dcd3c6c46c1f5489efaf97a7571ebbe6353d25a2f649f3933fab9345109debf,1ac83cb034d52f95af6a61bc3ba9d3f819be0823f8c5a8ccf23d4f270647c546,0004716cb7cac4b37b0eb020c66d33441544b0baf767bd48d9694764e77ec8e4,d2addd00a27bfcedf075f08422a6607fd8c3bfc288ccb848781e9abede052a76,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False
