case_name,chain,chain_id,positive_prediction_cutoff_time,minimum_additional_distinct_slots,reserve_target,control_address,control_identity,control_deployment_time,deployment_distance_seconds,creation_tx_hash,deployment_block,creation_type,trace_proof,source_object_key,source_object_sha256,source_record_sha256,edge_rank_sha256,reserve_assignment_sha256,queue_status,rpc_authorized,selection_authorized,stage_promotion_authorized,recovery3_mutation_authorized,effective_status,source_index,source_run_binding_sha256,source_event_sha256,result_sha256,result_file_sha256,result_path,rejection_reason
sumermoney,base,8453,2024-01-09T22:03:11Z,10,100,0x878b99eb67b958da2e442cbfcd975866a69e70fe,8453:0x878b99eb67b958da2e442cbfcd975866a69e70fe,UNKNOWN_REQUIRES_RPC,-1,0x3390222f14a03eccbbdcce55f117581ff54f35508928c07bfad7ad1f9d2eaadf,8726393,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_10000000_11000000.parquet,dc224a34690e621a034e308c5ab0ca0606654984ac1d2d10d1a2daa31cda8ec9,c49d485771105fb6ebfcaa4f8638ec164d33226f0b09445fc09f3dfd9b085c2d,0018294a819910ee64a5cc0e743230f3d2956f3801c5e618ea03bce7fbf6f617,001a6d80a907029ecd35a6fb3ffd829d52cfde6ee0edb1931f2dc74f0b0e7ab3,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False,COMPLETE,0,b92134baea11d0c906fcf250859fa46eed82f28ce77159bece7ec2fab10d60e7,9f2c643cc385b3fd24197816955390cf6916098a46e142d1fee2dc520a08ee41,7ddc05b218c1a386d9dea0bd2ef67f2bffe4c770b6643ede644f4236556f6849,3b894d5ca2c0d6c6c282b54a8923569f1c60decbd6e9803b60a9dd8792cf8ac7,/Users/rainbow/Documents/ZTech/Research/ChronosAudit/ChronosAudit_Research_Latest/02_Executable_Artifact/raw/stage2_controls/2026-08-23/control-candidate-next-batch-acquisition-v1/candidates/001a6d80a907029ecd35a6fb3ffd829d52cfde6ee0edb1931f2dc74f0b0e7ab3.json,
SmartMesh,ethereum,1,2017-12-10T08:22:08Z,10,100,0x9ebfa6f38a7587ddb3587c915fc834a746646d2e,1:0x9ebfa6f38a7587ddb3587c915fc834a746646d2e,UNKNOWN_REQUIRES_RPC,-1,0x1391960b626c6c746317aa7bc562b3ff1f43d917a5bb257d3119c2a5e3e7638a,4625385,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_15000000_16000000.parquet,fb048ce929cf0d541c7dfe8c10ffb84dba33d093f3718146318d7b12073d7d12,c41cf1b63155697efb4f9eecd4373ef7baaa64adc1ae0abd9f7aff31608908c7,0002896ffc7d89241859056afd8e81fdc50617120a47e912f6de50bb19d9b19a,00470aa78c4e8b4b730e1b7948045e673b3f750581ab65911e160328f06d2284,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False,COMPLETE,0,b92134baea11d0c906fcf250859fa46eed82f28ce77159bece7ec2fab10d60e7,0bf1e2ffdcd3f0b3d054e7002022de0747f1207623e93dbd3536714227ad1f19,1dee8084f3156e4556be5e024f218603956fca2220639fd9c9cfadd50ce70621,1ee17a2375b98c30310fbd8ee4a9e03eb887263b00a95fe0d7763de91d3da7e7,/Users/rainbow/Documents/ZTech/Research/ChronosAudit/ChronosAudit_Research_Latest/02_Executable_Artifact/raw/stage2_controls/2026-08-23/control-candidate-next-batch-acquisition-v1/candidates/00470aa78c4e8b4b730e1b7948045e673b3f750581ab65911e160328f06d2284.json,
bob,bsc,56,2023-05-30T18:54:19Z,10,100,0x35efd9d8f58ab18e343774b0ede4afd0a6ca4009,56:0x35efd9d8f58ab18e343774b0ede4afd0a6ca4009,UNKNOWN_REQUIRES_RPC,-1,0xe0cee8fc550c4dfbb4bd76f228d116b04075edc15ffab7901ee36e946646a1ca,28581549,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_29000000_30000000.parquet,3255e78e345aff80bfd6dfc7d760f4bda3a96fce4225cc3e128ce3d21ff32822,03fa38fd6f943a27e0e2df60a65729c1a4b2900b83019e7d921b818daa93098d,00068608c760b8f11936e719dc7742105f1f7b7fa3acf1f2fca6cde74afb258f,0051f43a3ba3beb6b191089c0a109ae996052113ba1bf29a171bb49c4361efdd,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False,COMPLETE,0,b92134baea11d0c906fcf250859fa46eed82f28ce77159bece7ec2fab10d60e7,d511a84962e3cb9e55fa809de6c937b83ce96026c657511ac549c828d1157c65,a70ea1f6d95e397d3381c910e748d31aedff13ed042650b2888acd3e9b31cf10,4899ab56778732555b73dd188e377135bf88451a5a66ba9272f40c6b33bbe67f,/Users/rainbow/Documents/ZTech/Research/ChronosAudit/ChronosAudit_Research_Latest/02_Executable_Artifact/raw/stage2_controls/2026-08-23/control-candidate-next-batch-acquisition-v1/candidates/0051f43a3ba3beb6b191089c0a109ae996052113ba1bf29a171bb49c4361efdd.json,
WXC,bsc,56,2025-08-02T03:59:53Z,7,70,0xa94c9822695644d91bb7507b6d2cd391e77a8fdd,56:0xa94c9822695644d91bb7507b6d2cd391e77a8fdd,UNKNOWN_REQUIRES_RPC,-1,0x096831d00ac457987482042eabdaf8401beddf88de6f3409a7cb80cc459c9d43,55026570,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_30000000_31000000.parquet,0d12ca90369256d040cf542c85f6ffcf446e4e3e8d19fd878d446ff8ed9337b7,18958db6ede102fcbae863f6d8fcdd63631c0936ed64686441945ab37af02d91,00278353556d2430101e054efcb188a26d4b9d47098f3305ceffc7d9b671e156,005d06652ca21fab39cd49a1c3aa2b758653f2308b2f2f1ac7d17dcd55ff1f18,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False,COMPLETE,0,b92134baea11d0c906fcf250859fa46eed82f28ce77159bece7ec2fab10d60e7,d7f1497e6a49050d2321cf851a08b21441e1ddb0602dceb4b8915c09f46c62f9,008d1116a52ce287982c20fae626c2d3db3739529d6b8723c5f3eb51d3dc0c70,6c1fe635cb10bd6f732a73420c95a2bf22929c73ee452482aa367aafe362b7e6,/Users/rainbow/Documents/ZTech/Research/ChronosAudit/ChronosAudit_Research_Latest/02_Executable_Artifact/raw/stage2_controls/2026-08-23/control-candidate-next-batch-acquisition-v1/candidates/005d06652ca21fab39cd49a1c3aa2b758653f2308b2f2f1ac7d17dcd55ff1f18.json,
gds,bsc,56,2022-12-05T06:21:07Z,10,100,0x2697ef03a5d3c3a053b14a03a2dab342e3c9f700,56:0x2697ef03a5d3c3a053b14a03a2dab342e3c9f700,UNKNOWN_REQUIRES_RPC,-1,0x5311afa1a74012722b6c0e4d68110087aaa733748062e037dcd12b21da53eb54,23022061,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_30000000_31000000.parquet,0d12ca90369256d040cf542c85f6ffcf446e4e3e8d19fd878d446ff8ed9337b7,143ee8364713f01f78790685ca3ff5a68bb3a0bfd4e6e48082c1e018d07bc272,000bcf7af4ff90a9a1b930edd961563f3e86f54d43337188db016d9170aade57,0076d1003b77b91151617e0c83b59de87c5c7099b14654e271cadb24353a7e62,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False,COMPLETE,0,b92134baea11d0c906fcf250859fa46eed82f28ce77159bece7ec2fab10d60e7,04f9927473b6db50c16853b447fc100f5dba746926421f460e02bb09254ce183,cbac4b710e541e927a58ecb8d78e9bf550ff02e8381de6683b650d7f7a568b3e,7d1803fc1fc74a84730a401969d4acb843f8970a1e4ba172b334fdaf31a0bd4b,/Users/rainbow/Documents/ZTech/Research/ChronosAudit/ChronosAudit_Research_Latest/02_Executable_Artifact/raw/stage2_controls/2026-08-23/control-candidate-next-batch-acquisition-v1/candidates/0076d1003b77b91151617e0c83b59de87c5c7099b14654e271cadb24353a7e62.json,
lpc,bsc,56,2022-03-15T12:41:22Z,4,40,0x3dfb6cc4a65af12ffe8fa8d948ff707a3af8e17e,56:0x3dfb6cc4a65af12ffe8fa8d948ff707a3af8e17e,UNKNOWN_REQUIRES_RPC,-1,0x47ffd2cde0ce83d1e430245895db725dab803fe124c520cd9217e47ec5ee94a7,16075882,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_29000000_30000000.parquet,3255e78e345aff80bfd6dfc7d760f4bda3a96fce4225cc3e128ce3d21ff32822,e2e97717d64f5227d489637fe585f4fb9ed4b4dc9e76ea422f1696c2991fc3ed,000ca36a8dbe4382ac97011ff008d0eaaa086d9a5d1c586aa29a51c7f753fc4c,0082fc0679158311637f5648a205c7133fafca568eb696db3f4b59e7dcb54780,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False,COMPLETE,0,b92134baea11d0c906fcf250859fa46eed82f28ce77159bece7ec2fab10d60e7,3fa44d16e6356a14df35e8970f0de41441201bac80a64ef406761af4774e41b5,ec6da6849b8120f9e144a8b0bd453df11b351afe3271ea9b0b732b42dd464f0f,4e6c8159021f4ae24f34b1420bca6194edd12d5004870ee2795d43ededdeba2e,/Users/rainbow/Documents/ZTech/Research/ChronosAudit/ChronosAudit_Research_Latest/02_Executable_Artifact/raw/stage2_controls/2026-08-23/control-candidate-next-batch-acquisition-v1/candidates/0082fc0679158311637f5648a205c7133fafca568eb696db3f4b59e7dcb54780.json,
sellc03,bsc,56,2023-03-24T12:46:50Z,10,100,0x052e1ffe7c54a65ffb401b48cab02b133dd47843,56:0x052e1ffe7c54a65ffb401b48cab02b133dd47843,UNKNOWN_REQUIRES_RPC,-1,0x963890695f917f483c667ac08152ea205e44e9ff5e0e0f4efc0ee721b0be5228,26310928,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_7000000_8000000.parquet,54cb1c23725d5765da58c76ee4eb73bb326370e440cb6baab9e8463544906967,26903596b67792698144aff9e1fe1e2c895911229b70b0760b050dc81c5a5327,00178685f70fd316d4c0cd7b51a9a02d2a591120349054db940eb5fe5ca5a231,0083eaadf3cccf1a664933f9798a72c843d69226e7207c79aa81bc2d43df2e1c,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False,COMPLETE,0,b92134baea11d0c906fcf250859fa46eed82f28ce77159bece7ec2fab10d60e7,70dbc01cd01ec078a2642d24ca1ef1cf5cd0891157b41ca99d8c0bbbdf36820b,a32a9c53b7b8618283542f920a2a2201bba39ab262ef742341c0699eb33b0e9c,bb7b9dcac2e44bb98563e081400c8c1b250742f047b0bfb19043a8d8dcbb69ae,/Users/rainbow/Documents/ZTech/Research/ChronosAudit/ChronosAudit_Research_Latest/02_Executable_Artifact/raw/stage2_controls/2026-08-23/control-candidate-next-batch-acquisition-v1/candidates/0083eaadf3cccf1a664933f9798a72c843d69226e7207c79aa81bc2d43df2e1c.json,
babydogecoin,bsc,56,2021-05-22T17:21:17Z,8,80,0x48e0ee8dcacd46b73e4e2253896c77ed60b293c2,56:0x48e0ee8dcacd46b73e4e2253896c77ed60b293c2,UNKNOWN_REQUIRES_RPC,-1,0x69c1c137537c2a668ee4b57a05e32b0272809d14fcdb70719627d60b2b9a72d5,6805062,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_9000000_10000000.parquet,6777e0b50be1d60a845e1be0313473c99fb8675967b51e4530577f82391cd3cf,14dae7ef4525e05dfc7c57e4e12e0b53873e627795dc7e96b1590ba33f3be7c3,000ae69649c618f1ccfba0f8248827b5a2dbfbe812552e705556766f262977f3,0099b994ff1cbbefa9e79ccc6d4b5e4d7efd9ab07951217aca5db238e9b93540,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False,COMPLETE,7,b717e62cb596f7db03f44f30b10ea1076b2a85d9ee939173e4bf96c3d563511b,75bc219061fff8ab11fc006cd698ad8a129a9495c817353c293f0aa8ac19397e,132ee66a55529841d0deb4f8af3903191422b772fe2d5a3092bf1b0d3f0286c3,59b40b2dd48912092dd098895d63ab84a79b319ebc6139b3e79a1741bc587941,/Users/rainbow/Documents/ZTech/Research/ChronosAudit/ChronosAudit_Research_Latest/02_Executable_Artifact/raw/stage2_controls/2026-08-23/control-candidate-next-batch-unattempted-acquisition-v1-bsc/candidates/0099b994ff1cbbefa9e79ccc6d4b5e4d7efd9ab07951217aca5db238e9b93540.json,
openleverage,bsc,56,2023-03-02T08:23:58Z,10,100,0xdf04b2a48ebd9523fde9b0fdbda0fd7880eb09fb,56:0xdf04b2a48ebd9523fde9b0fdbda0fd7880eb09fb,UNKNOWN_REQUIRES_RPC,-1,0xbfbcead656583a6ad12aa41d6e0c1126c6738d228c794369e040ed07948f291c,25292412,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_8000000_9000000.parquet,94ac8d2ef299bb1111e11f16f5f7b54c5cd85380c16439a5cdc89a5aaf2901b3,0456f05ea1689137a5d023026fa9f70411670af4db304b195a2dd997968dc75a,00070524a50d5a8a65ba0d071e307441a8392c3a04e9b66c99427843cd2ea45d,00ab390d502583062969db9a027960de6d594261d07d74c13a3db17377685c73,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False,COMPLETE,0,b92134baea11d0c906fcf250859fa46eed82f28ce77159bece7ec2fab10d60e7,f3ad4f4b1ee45ac7581635796d48eb312330ac832c2286749a2b263ca45ccb82,4ca54ff8642ce4ab87910930b856c62c21df3bdf5cdb6a5b66e4010a8a1d84a9,43dbefc1e16fa58b3b5a63793090b4c8d06295ccbe5f48ca9679cdf5b54c59f8,/Users/rainbow/Documents/ZTech/Research/ChronosAudit/ChronosAudit_Research_Latest/02_Executable_Artifact/raw/stage2_controls/2026-08-23/control-candidate-next-batch-acquisition-v1/candidates/00ab390d502583062969db9a027960de6d594261d07d74c13a3db17377685c73.json,
miner,ethereum,1,2024-02-12T19:40:23Z,10,100,0x7093f03e497817f6b5baea4e93abb4a3f276d024,1:0x7093f03e497817f6b5baea4e93abb4a3f276d024,UNKNOWN_REQUIRES_RPC,-1,0xdabd8dfaa3aa919e4e2b42ad0d628899b5353277dc9baef4367c40da5e80cf1f,18992995,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_2000000_3000000.parquet,6d562e88df03827bfbf01c2b88d473f0dece6ca3dcd2b0c76188bf3236dcdaae,5687780b3e50ad5c2e55459bd97ee6d6c920030776cf8717f30aa86c5907dfd3,000d9d08422d9a4aa2ee93a2c1910fc33caeb84af7e1e13bf698d132c5d7bff6,00da39a43b8949d3f09e4f6377201e4af0bbcb25ebeeaf3a27b1927a9baedfd6,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False,COMPLETE,0,b92134baea11d0c906fcf250859fa46eed82f28ce77159bece7ec2fab10d60e7,8a6e87bf39838058d35c576cc65373a5a79fed15704f971f755cdeed84f6fba4,25c46568114b31096eeb0e8f54ebd01061635f741f30ab0b0f9a3e873bfd676c,a2ba5c0e742e3dd896ebbcf5b4fc7ef6d25dfee94225403a0bfd3ba3ab010497,/Users/rainbow/Documents/ZTech/Research/ChronosAudit/ChronosAudit_Research_Latest/02_Executable_Artifact/raw/stage2_controls/2026-08-23/control-candidate-next-batch-acquisition-v1/candidates/00da39a43b8949d3f09e4f6377201e4af0bbcb25ebeeaf3a27b1927a9baedfd6.json,
