case_name,chain,chain_id,positive_prediction_cutoff_time,minimum_additional_distinct_slots,reserve_target,control_address,control_identity,control_deployment_time,deployment_distance_seconds,creation_tx_hash,deployment_block,creation_type,trace_proof,source_object_key,source_object_sha256,source_record_sha256,edge_rank_sha256,reserve_assignment_sha256,queue_status,rpc_authorized,selection_authorized,stage_promotion_authorized,recovery3_mutation_authorized,effective_status,source_index,source_run_binding_sha256,source_event_sha256,result_sha256,result_file_sha256,result_path,rejection_reason
moonwell,base,8453,2023-08-05T01:58:49Z,10,100,0x61470e8a628ee69955486c1469e796d39ebada23,8453:0x61470e8a628ee69955486c1469e796d39ebada23,UNKNOWN_REQUIRES_RPC,-1,0x622334388d3d58c0770a19267260df8e6ad8282501fb5b90b683004bb0156c77,1991614,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_3000000_4000000.parquet,3dbe354ab30ef6deffa228a70342ef1242c85593ee4badee0fbff923539fa30d,0ec8d7482440f30c65c2b1006d326253e96095b4acd8e487890c24c98a45463b,00023d9e0311ac352dd0adc9f62786359572174bb690995aeb71e49f0c1b1429,0c4e9e2361b43de5b8a63ccdb201681d771b4f29012bca6d5ff7f59de87a0f81,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False,TERMINAL_REJECTED,0,b92134baea11d0c906fcf250859fa46eed82f28ce77159bece7ec2fab10d60e7,003c47d01a86bf666b3ce343c3ea145f298a6eca2070ba4b41565e7a5f0a3856,96b293e48313d1f131e3d3efc32f89a765a5eaba90290943cf0c55ad4114348d,ada7f7e87371d7ca04ab935568bc19573d2c4fe796a9181b76031e5ccffd3422,/Users/rainbow/Documents/ZTech/Research/ChronosAudit/ChronosAudit_Research_Latest/02_Executable_Artifact/raw/stage2_controls/2026-08-23/control-candidate-next-batch-acquisition-v1/candidates/0c4e9e2361b43de5b8a63ccdb201681d771b4f29012bca6d5ff7f59de87a0f81.json,top_level_contract_address_mismatch
nimbus,ethereum,1,2021-02-01T19:50:29Z,10,100,0x3362012e12e938d862cf03eba5941eca940012ae,1:0x3362012e12e938d862cf03eba5941eca940012ae,UNKNOWN_REQUIRES_RPC,-1,0xd4fa37b2e79cf879d61c476768634eea043e19944d994d4266f07d0d2a2d9c3a,11633696,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_5000000_6000000.parquet,eb8d1ad9c414a2cf0a36d3fe5aa0b10e20823399807f3e5cfb6815af4b301cd7,06c26a235862c64f030a5f3fe7b4ef155aa5a7b84b31e67d4400c52a422c4ba4,000851a9f49450933b560f95bfd4271e77be25b42879d7ddc3709256dc63323f,0f11ac1426f1512b7f3243978b67e49d26bda8acd08dcec955271622d6dc39db,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False,TERMINAL_REJECTED,0,b92134baea11d0c906fcf250859fa46eed82f28ce77159bece7ec2fab10d60e7,6af59d30a069fb6bae95c43e60e6e0922a0169438ec8836fd62ae756ff7d4131,6f9a1135fdba8c740e9e58598e184a5751087936c89455d096d389fd9c4c7fad,abb970322abbd474872c8809a89a69c423c7ed04a20bad78a37320873810327f,/Users/rainbow/Documents/ZTech/Research/ChronosAudit/ChronosAudit_Research_Latest/02_Executable_Artifact/raw/stage2_controls/2026-08-23/control-candidate-next-batch-acquisition-v1/candidates/0f11ac1426f1512b7f3243978b67e49d26bda8acd08dcec955271622d6dc39db.json,top_level_contract_address_mismatch
raft,ethereum,1,2023-09-14T12:58:59Z,10,100,0x7ac856c34e3b53ed37c9cf26e687acbe8f164c59,1:0x7ac856c34e3b53ed37c9cf26e687acbe8f164c59,UNKNOWN_REQUIRES_RPC,-1,0x142284313556aba05c73ba258d2a143fce8dd42d404e41da1046abb504f6eb6d,18122456,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_2000000_3000000.parquet,6d562e88df03827bfbf01c2b88d473f0dece6ca3dcd2b0c76188bf3236dcdaae,8fdf47efa0be3c1fbc2d29d3beedf95045721a3893898d151beddf799f081fe1,000187c66669c06e6c2185da0e3d24fdf53b649a6e70e6f88f7b784f64e8e762,30666b6384c00a37bfc55d3290112d8416cce6198a2835b8284007edbca98be2,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False,TERMINAL_REJECTED,0,b92134baea11d0c906fcf250859fa46eed82f28ce77159bece7ec2fab10d60e7,92e8ffe394609c53226c2d68eaf4f7343a1127aa8cd8579e5612596135955e24,aba36639e1f4bc90a851b735d937f367cfa1249dc1cce2474b27778a1510f3ee,1673555936e587978fa2be1489d70256a3b2cc7dc65ff925f930a16268dfca6b,/Users/rainbow/Documents/ZTech/Research/ChronosAudit/ChronosAudit_Research_Latest/02_Executable_Artifact/raw/stage2_controls/2026-08-23/control-candidate-next-batch-acquisition-v1/candidates/30666b6384c00a37bfc55d3290112d8416cce6198a2835b8284007edbca98be2.json,top_level_contract_address_mismatch
BaseBebopSettlement,base,8453,2024-12-20T16:49:51Z,10,100,0xc4a028c55d81f5bf0721f98f587fd52d9971bdea,8453:0xc4a028c55d81f5bf0721f98f587fd52d9971bdea,UNKNOWN_REQUIRES_RPC,-1,0xcb3677616010d47b17b6fc194c9abc2b216b4f346d7752443be4e608e4aff9b7,22625026,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_5000000_6000000.parquet,eb8d1ad9c414a2cf0a36d3fe5aa0b10e20823399807f3e5cfb6815af4b301cd7,3beb92d1d9f709604be6b8eeab7816fedbff4f30a381de52a8b206fb5585d202,0008e6bef7524fe6007a4bc979dc4d13f288f0e9241ed465846d95aeba1d2e6c,414c45f2bd868eaa868c4df5161a627a6a67a84edab0a71ef9da3c1c33171361,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False,TERMINAL_REJECTED,0,b92134baea11d0c906fcf250859fa46eed82f28ce77159bece7ec2fab10d60e7,8f90b8bc33e417b5c0d1e19f86874c6910a17fc8f8b508d9d3d189dc4987c7e6,fe61e3afd63a69bbf9aebf340c325d369a1f63183875bf52a80395491f9bc232,35bc905b9987f902ae952516dd047c97574c58b72ee133d3d450ce5180844ab6,/Users/rainbow/Documents/ZTech/Research/ChronosAudit/ChronosAudit_Research_Latest/02_Executable_Artifact/raw/stage2_controls/2026-08-23/control-candidate-next-batch-acquisition-v1/candidates/414c45f2bd868eaa868c4df5161a627a6a67a84edab0a71ef9da3c1c33171361.json,top_level_contract_address_mismatch
unilend,ethereum,1,2024-02-13T18:14:11Z,10,100,0xf1fe97f6517da45d4d592bbfa54b352f23c7184d,1:0xf1fe97f6517da45d4d592bbfa54b352f23c7184d,UNKNOWN_REQUIRES_RPC,-1,0x701fe9610f031a1ad274fe25a3593f67df3b765ee8f38304ca5192b3a5bca66a,19144570,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_2000000_3000000.parquet,6d562e88df03827bfbf01c2b88d473f0dece6ca3dcd2b0c76188bf3236dcdaae,119077bfc8b2792a20143c17c7ded3b9184701d513af6a464bee66c081d16d4d,0009f9fb343692c13a868c84c988a4691f178fcadffbab5e99bf0e786555b130,4d90b17b3667d6d0ff98b3cfed80311c556f9ddd7390e47c0b277194a9ba0c69,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False,TERMINAL_REJECTED,0,b92134baea11d0c906fcf250859fa46eed82f28ce77159bece7ec2fab10d60e7,120fe2feb3fe39ed3d5360e5f942f7dbe00d475af875cc1686edbeaee39234b5,6bf0361e347d297e30ee86168f475970ae0c9e3d2f6d302d15ccbdbcfb5974e1,1804588620eaf219aac95743fde9a45fc2f2af129e18c7a1af95c3953013d789,/Users/rainbow/Documents/ZTech/Research/ChronosAudit/ChronosAudit_Research_Latest/02_Executable_Artifact/raw/stage2_controls/2026-08-23/control-candidate-next-batch-acquisition-v1/candidates/4d90b17b3667d6d0ff98b3cfed80311c556f9ddd7390e47c0b277194a9ba0c69.json,top_level_contract_address_mismatch
particletrade,ethereum,1,2023-10-03T23:57:35Z,10,100,0xb87f117290a4bbbeebd6b8ed3095bfe6789c4e56,1:0xb87f117290a4bbbeebd6b8ed3095bfe6789c4e56,UNKNOWN_REQUIRES_RPC,-1,0x3ff42e412a44598e11857344d0fc681235886c2f6d0781b10bc5d5ce80a6d21c,18199974,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_2000000_3000000.parquet,6d562e88df03827bfbf01c2b88d473f0dece6ca3dcd2b0c76188bf3236dcdaae,e97650f3b5e75131c5f150fac8d1b02b2c5d8cd3720dc5427af820e3d2385c3f,000fc30074c0b5d62b17493d229cd45bd6a02efe01ec87b27cb36f4282947435,69882c54b02fccc4bf7649cfea8e53c85b176ca6dc2234c0c0039b214d8f7041,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False,TERMINAL_REJECTED,8,9015f77ab8fabae78a6386bb33f143d3820f2b4f4426f2801310cd4c4ffaed2b,36a37fb11c72b0b95dc0fe31805ad0251dd70ea27c74a37ec18c53efd7b6d25e,f528d5daa86f23a3c08c6185a04b7333619366c7255a57448c9603051ddae636,078b5353b61b4bc628736cff59e40359e3a7db66b7830b395377cdba9100646e,/Users/rainbow/Documents/ZTech/Research/ChronosAudit/ChronosAudit_Research_Latest/02_Executable_Artifact/raw/stage2_controls/2026-08-23/control-candidate-next-batch-unattempted-acquisition-v1-ethereum/candidates/69882c54b02fccc4bf7649cfea8e53c85b176ca6dc2234c0c0039b214d8f7041.json,top_level_contract_address_mismatch
XLootStaking,ethereum,1,2023-12-22T11:58:47Z,10,100,0xbcc55d5d01ee6e8e26b6d61b0c4ee825e4d7facd,1:0xbcc55d5d01ee6e8e26b6d61b0c4ee825e4d7facd,UNKNOWN_REQUIRES_RPC,-1,0x55b45b15d0646e21a4bf09374e650bc2a0103b8d17af8cef79f32c952f1e4c72,18734566,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_2000000_3000000.parquet,6d562e88df03827bfbf01c2b88d473f0dece6ca3dcd2b0c76188bf3236dcdaae,c824ff160d8711df8725ac926c6563c3bf24ea428337ef0c6ff5f97ac6bfc479,003233c5d86386f0674f50a96abd9d6563e350364eb7e6cd213e7748d7a46f78,7643c6fb6b5670c8ae5a1c9b04adc7dc51d6f59ecc3969a67aa0ab797613abb5,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False,TERMINAL_REJECTED,0,b92134baea11d0c906fcf250859fa46eed82f28ce77159bece7ec2fab10d60e7,c03b41b0b7c05b77ebaa30be9c99fe6f72b3982dfbb9787824d9f112779952fc,184171f47d2e0b6e7b66c08cf887ada3f5452daac37dbe41185eb2e9376a5f6b,9370858ed1ad8db6fbede86b711329a57b6952405cb1c397673cc471fa332cf7,/Users/rainbow/Documents/ZTech/Research/ChronosAudit/ChronosAudit_Research_Latest/02_Executable_Artifact/raw/stage2_controls/2026-08-23/control-candidate-next-batch-acquisition-v1/candidates/7643c6fb6b5670c8ae5a1c9b04adc7dc51d6f59ecc3969a67aa0ab797613abb5.json,top_level_contract_address_mismatch
unilend,ethereum,1,2024-02-13T18:14:11Z,10,100,0xfa7a881373b5ce3abcc13db301b7dfb328285aab,1:0xfa7a881373b5ce3abcc13db301b7dfb328285aab,UNKNOWN_REQUIRES_RPC,-1,0xf400001f368a3c31255fc4664b13eb64112f538c718c666d7f07a08898d1a304,19121849,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_2000000_3000000.parquet,6d562e88df03827bfbf01c2b88d473f0dece6ca3dcd2b0c76188bf3236dcdaae,e9f332b0d7bd63e6f610c74e5b81b96d59967f2a669fec7572ee6f873df6bdc0,000c7a4fb8c51d7db5deb8b44376c4f4dce8d84f57177e327ee83bd67301ae22,8e2a08eb714e9dd236246b0115dbab8ccec6caaaff686eeb501f74c7cec6b4df,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False,TERMINAL_REJECTED,8,9015f77ab8fabae78a6386bb33f143d3820f2b4f4426f2801310cd4c4ffaed2b,1a067fcf857d7d9fa5793fe1a4f6ef0baf997a4b77cdc67597133f74517d7dde,563cae1ce838130706b6e8683e6fbe186f31c1edd2f39307fce7499b800ca381,2a0f87daa14a87c155747abb2535c36dc195e35c49c066efe4767b904051ddfe,/Users/rainbow/Documents/ZTech/Research/ChronosAudit/ChronosAudit_Research_Latest/02_Executable_Artifact/raw/stage2_controls/2026-08-23/control-candidate-next-batch-unattempted-acquisition-v1-ethereum/candidates/8e2a08eb714e9dd236246b0115dbab8ccec6caaaff686eeb501f74c7cec6b4df.json,top_level_contract_address_mismatch
conic02,ethereum,1,2023-06-09T20:40:59Z,10,100,0xafa8dc017a0cc3cecc12e2ec6909880a5e42e2bd,1:0xafa8dc017a0cc3cecc12e2ec6909880a5e42e2bd,UNKNOWN_REQUIRES_RPC,-1,0x4f6d18d43c5cbc6d87a5d11d77644e46b2cdb3a35573ca12ad1cc01547934300,17239807,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_1000000_2000000.parquet,7529540c96f11e4fc0d376fd36b2953644bebebe317a864615e2d14403a341fe,160eab9d4d8aea05791aff927c364f81ea16da1c7eb4f2dac1fc8028aff29f2e,000b4c9409570aad0950517b6a80abcd2695e735a16f2e51f79c84d1fc389642,ee4c1e5cca373dd81b3de8e03343a70ba22166c87ce73f9dddd562eae3e66a96,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False,TERMINAL_REJECTED,0,b92134baea11d0c906fcf250859fa46eed82f28ce77159bece7ec2fab10d60e7,18527e439964122c9aa9ae53241be48ec1c3a8ab70a40673b7287e710a0c7c30,d3c586b681996b4da6f3f535184a5a7e9d5a97ec7368b3e6eb3556089d33fd67,2a1436ee6e57b636df19dc5f53bf992decea1207f152a34dcf075c7f5904d620,/Users/rainbow/Documents/ZTech/Research/ChronosAudit/ChronosAudit_Research_Latest/02_Executable_Artifact/raw/stage2_controls/2026-08-23/control-candidate-next-batch-acquisition-v1/candidates/ee4c1e5cca373dd81b3de8e03343a70ba22166c87ce73f9dddd562eae3e66a96.json,top_level_contract_address_mismatch
xbridge,ethereum,1,2023-10-21T11:41:35Z,10,100,0x0da00bd175833210cd7c372c0185b5b538cd6c35,1:0x0da00bd175833210cd7c372c0185b5b538cd6c35,UNKNOWN_REQUIRES_RPC,-1,0x805413429eb781264189755c6ad5cdb0ae343e8501bd1a619193230bae47506d,18376715,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_2000000_3000000.parquet,6d562e88df03827bfbf01c2b88d473f0dece6ca3dcd2b0c76188bf3236dcdaae,0c5ec5500a7f68aae6130ff6e47abd030df5515fd8333dd503cb933b6a68f82a,00021c77c870b3a1176c6b951da47fca831a4c932a5222e7a8f7f28cdf877131,f788508ffb7a03b845a92db2f59e1e73586aa2b1a9afa99ba8a9bfd8d5b16d8e,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False,TERMINAL_REJECTED,0,b92134baea11d0c906fcf250859fa46eed82f28ce77159bece7ec2fab10d60e7,c6cbdda9352ec604df0200b892c3fd66f91bdc0a0bc8178aaaded8d1176ae782,5f14966831d5046591850c942acc07277d021474f3a952a563a6de83c2d5bad4,7c706bfe600d3ff6b02ed7c48777f12c596c5903b923c0fabd62bf2fb02a056f,/Users/rainbow/Documents/ZTech/Research/ChronosAudit/ChronosAudit_Research_Latest/02_Executable_Artifact/raw/stage2_controls/2026-08-23/control-candidate-next-batch-acquisition-v1/candidates/f788508ffb7a03b845a92db2f59e1e73586aa2b1a9afa99ba8a9bfd8d5b16d8e.json,top_level_contract_address_mismatch
