case_name,chain,chain_id,positive_prediction_cutoff_time,minimum_additional_distinct_slots,reserve_target,control_address,control_identity,control_deployment_time,deployment_distance_seconds,creation_tx_hash,deployment_block,creation_type,trace_proof,source_object_key,source_object_sha256,source_record_sha256,edge_rank_sha256,reserve_assignment_sha256,queue_status,rpc_authorized,selection_authorized,stage_promotion_authorized,recovery3_mutation_authorized
cftoken,bsc,56,2022-04-09T16:53:35Z,1,10,0x40d114576dda68a319d5b6a81b45670e0fcaf608,56:0x40d114576dda68a319d5b6a81b45670e0fcaf608,UNKNOWN_REQUIRES_RPC,-1,0xf66b58573b013225db33a801abdbcb32bad939b533c7d980d0052bfeaac5b5bc,16004545,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_6000000_7000000.parquet,408541b1fff35d9d72eb413a63bd7e1ecdfd299daa7ca67b3c7185856aa6aef7,2d47af04e4654653d46da898e8f6ff06026921636bdd82d3c49940819592bb7d,0007c78a84a71693deb9eca1f11fd808f9e5d7cf059bbbcdc7e680cabf2369ce,6b0cc03a84cd1ecea81730a6003e514584ddf722a88abc4a4cbce144493c75c7,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False
chaingefinance,bsc,56,2024-04-12T08:16:02Z,7,70,0x2c2b05f9b9bec10c85ffe65f1b24815a18468501,56:0x2c2b05f9b9bec10c85ffe65f1b24815a18468501,UNKNOWN_REQUIRES_RPC,-1,0xbd2d3da99f154e6112a99c9fedafc9d81e0860c3e2295b59f79397a4628ea691,37738191,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_31000000_32000000.parquet,1096c453513646713a3b6185edd15651bf3a9599e2e334ecd82bcf3c939ca722,f0bcbdcfc15555e3d9db59d769dfe7af5f1efc869024ab15341f6991c678d5af,0014754d553caee07757432d5eb2308b0baf4bb2141cd2e122bdaf5f6a080b97,cab12f14e5738e8d4b3a412d03c336b366c353e15eaa9995a3f0c5cbf30369a3,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False
crb2,bsc,56,2024-04-12T09:15:16Z,10,100,0xd14cabf69380046578b1b0f963cfd9ea894b29b9,56:0xd14cabf69380046578b1b0f963cfd9ea894b29b9,UNKNOWN_REQUIRES_RPC,-1,0xed7bdd6c340c6df7cf123956f7f7b31fa37beaf084be5d35e826e2dee12b87bc,37412022,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_29000000_30000000.parquet,3255e78e345aff80bfd6dfc7d760f4bda3a96fce4225cc3e128ce3d21ff32822,fd9e3f9f24b64ef5ff96ae3e6989a6b95ecbe5203ec01dd8dde47e498fbce110,00127fa0cdc8768ec77b97c85255f9b8be60ed03ec18519b5dc7db2d64b4cac4,b933a49fd11dfbec9112a0e705237abcfc8a6ffae424825d9a061186f8c9d531,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False
dbw,bsc,56,2022-10-01T13:59:48Z,10,100,0x0d2c8f0dfe6c83b94a8ab24a849b8a75304bc55c,56:0x0d2c8f0dfe6c83b94a8ab24a849b8a75304bc55c,UNKNOWN_REQUIRES_RPC,-1,0x4c8bb83337241d31d5daf2228e25228390454eb2ca6a1cbd4c38182500b5e47e,21103619,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_30000000_31000000.parquet,0d12ca90369256d040cf542c85f6ffcf446e4e3e8d19fd878d446ff8ed9337b7,43a22b023ed87e38b8d4f0ce99c9ec30de569db2a3c3daf91fd1b3afe4c0b6cb,00127d53a055ba0b07856ecf3797373049d0cbcae81e8bdfc1fb30dfe9ff368e,f038ff4f187df5d1a935e58d5197968af5ef6b809a417d0bfefe2b3b604a007f,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False
ddcoin,bsc,56,2023-05-31T14:50:29Z,10,100,0x2a3b757a4311ff1ab7b077ee38101701f0a196cf,56:0x2a3b757a4311ff1ab7b077ee38101701f0a196cf,UNKNOWN_REQUIRES_RPC,-1,0x625d7165022d72b08f2cf0d87b289087963ece55484e661b4e4388a96598276f,28548916,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_30000000_31000000.parquet,0d12ca90369256d040cf542c85f6ffcf446e4e3e8d19fd878d446ff8ed9337b7,5508b430c232e36a27cd4aa24703b927174f549eb7bfbe6450c9b0d05f97c7c7,0006e0e1435ad58da9d58ad707731947898339545eeeb6d4549e3541f2d01acb,fa5c87646de732bcf85b89df5da8cf40c5aab95526b45db4390ce28bb1d980f1,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False
dfs,bsc,56,2022-12-10T12:31:23Z,9,90,0xf2b0ba1adbc23c6ab5c1b8e6f54d2c64937d5fb3,56:0xf2b0ba1adbc23c6ab5c1b8e6f54d2c64937d5fb3,UNKNOWN_REQUIRES_RPC,-1,0x36fd6d4e5557b61486efabc16a371ab34311aeeba080a8764c7de95190ba73a9,22996194,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_7000000_8000000.parquet,54cb1c23725d5765da58c76ee4eb73bb326370e440cb6baab9e8463544906967,0b6ca91f92ba0fa43de5d8f46935a52ec615887c0e2b459bae933aa1963dc9b4,001751d1e887e834b7057efaaa3ff57bf66843f35618080f5b3ff8f47d6dd011,87a4ec2d55c7a983f7d065dd3cf96718159d82e2bb584e2b028b0fa4506898b8,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False
discover,bsc,56,2022-05-31T05:35:58Z,6,60,0x6aabfd3a093dbdd4a0558b49c55a343c72990e32,56:0x6aabfd3a093dbdd4a0558b49c55a343c72990e32,UNKNOWN_REQUIRES_RPC,-1,0xf7d18f02dd09e6d5c4f900a41d9320829e707949f0f517d2f158bfd53b978db7,18078114,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_7000000_8000000.parquet,54cb1c23725d5765da58c76ee4eb73bb326370e440cb6baab9e8463544906967,366979ec765b487ce2954e9260e31dae5ced28ba9b84996b260a63cfdcdb0453,000e304fa5f6221c92e7a0adb6c3b00661be77f076f0f7fd5539a0b484bb6174,ee6bfc88ee53f82bb00ad7af65ce8f3f3943ce5d48037d575b6f0a47c2d003fa,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False
dpc,bsc,56,2022-09-08T09:14:56Z,10,100,0xaf45c60ad080a8572d32f6b35acee08552bb89bc,56:0xaf45c60ad080a8572d32f6b35acee08552bb89bc,UNKNOWN_REQUIRES_RPC,-1,0x4129570e35492d00de2a79b235141ad31343f942c0f9605edb121c63d19181ab,20510106,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_7000000_8000000.parquet,54cb1c23725d5765da58c76ee4eb73bb326370e440cb6baab9e8463544906967,200baeab54b3ced4343878e38ccca42c8943ec46a6b3c777029c955dfd3d3afe,000c3217fc273c46dc9a56f1d576095b3da0eb19caf33099833be726b31e8283,71aa735c2c0c9e9513b1e176e34b0db9a69bffc5d0fb6566164cf23f8c9a662b,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False
dualpools,bsc,56,2023-02-06T01:21:18Z,9,90,0xa47fa949ace55c083b5f90cd2ee9fa8791076d05,56:0xa47fa949ace55c083b5f90cd2ee9fa8791076d05,UNKNOWN_REQUIRES_RPC,-1,0xa26fe7a0d7a2f41b4b26da3b8a2cf3a5ee25d0308c27a41aa770548998643432,24571171,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_7000000_8000000.parquet,54cb1c23725d5765da58c76ee4eb73bb326370e440cb6baab9e8463544906967,ac78148dcbedfd1e431face6ccbd91b45a91e10100e1c66ba8c808222f246aaf,0025909dc35dfd909d31e0a9fad09b7beb05ad57c80d56ef40c9e29159f55379,1e864932bb9b06d2aa87394c60c1622dc71dc0c7303b43fe7c03aad831598296,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False
dyna,bsc,56,2023-02-02T12:23:49Z,10,100,0x8e4792cf4e197713cb9516ca728b7eafee6dbee9,56:0x8e4792cf4e197713cb9516ca728b7eafee6dbee9,UNKNOWN_REQUIRES_RPC,-1,0xceb9e07d26832c5e6dcbebc65643ff33530260d8dc5c4410a9ff748694648c1b,24712260,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_30000000_31000000.parquet,0d12ca90369256d040cf542c85f6ffcf446e4e3e8d19fd878d446ff8ed9337b7,b2806965ea7e4cfef4065f08af0f7bbd2ec5b3b3b1ce05255005329d79793d6c,002a87e4bd375c5c21fb15a32cb017a9a7d4de222340925b79162e355c6ac024,e33022e1b639299cb796f7c6d64bf7eec836af0fcfecb90946cbf03e4354301c,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False
