case_name,chain,chain_id,positive_prediction_cutoff_time,minimum_additional_distinct_slots,reserve_target,control_address,control_identity,control_deployment_time,deployment_distance_seconds,creation_tx_hash,deployment_block,creation_type,trace_proof,source_object_key,source_object_sha256,source_record_sha256,edge_rank_sha256,reserve_assignment_sha256,queue_status,rpc_authorized,selection_authorized,stage_promotion_authorized,recovery3_mutation_authorized
Scorch,ethereum,1,2023-09-03T18:37:35Z,10,100,0xfe29edbf686110179ce10c58705f451ed05d89df,1:0xfe29edbf686110179ce10c58705f451ed05d89df,UNKNOWN_REQUIRES_RPC,-1,0x5e10c9a272df4a086829a164f7b46d5734d4f52b2d2497edcd282bdcf369a2a7,18014650,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_15000000_16000000.parquet,fb048ce929cf0d541c7dfe8c10ffb84dba33d093f3718146318d7b12073d7d12,b5aa2cb46d1452603b93ba4f7994402f73f794fcd12b03fe47df868a161315cc,0007853f62c7808d683f8ded977d16795332c3e6911685aa69dcba51c6373988,3f237bfe47c542c31a1805c003e0f32d1419990d22e4540958871c4d452509ec,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False
SmartMesh,ethereum,1,2017-12-10T08:22:08Z,10,100,0x221adc0b9ef302412aca20ab4c88112e5fd2bd82,1:0x221adc0b9ef302412aca20ab4c88112e5fd2bd82,UNKNOWN_REQUIRES_RPC,-1,0xe8663f55a80a1f4180e1b8d51fa040bc9f4973e2e51d485e560c73c7ebc43d35,4625239,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_13000000_14000000.parquet,8885bd5034eff92607b7ffb297b079b222764c22e24fbd5bdf3f3d689c1a839b,aad24d195aa9647c61f7572f2c77e3f8b00798bce8a202e74f73dd4b363a8643,0002760c6c3a3aca4c0dbed0e085a548938c576ac977c1b8bbcfa17274b6fcf5,a0b80988ad17aa3d80e047269c4bcee53fd308ea0c0034e19a76e61d0560e94c,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False
StakeOnMe,ethereum,1,2020-04-28T04:21:58Z,10,100,0x11af8adce769df73181987127096f086dcdde962,1:0x11af8adce769df73181987127096f086dcdde962,UNKNOWN_REQUIRES_RPC,-1,0xeac38dce6ef8789916d71cc45e46f288c47cfba4e5b1c221fad6f6851355728f,9814761,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_12000000_13000000.parquet,f15d5aeb7e3fcb63cca93eb03fa583594412966874735914078f617ae9c9b2ea,42953f80756bb59053e157ce429d764cb86481e558d9c19d4661b6fad06070d2,000883b3cd2c539ebba3a2d71fee89a636da18ac45f1b93bc79809fa9da02b06,6791131538a165b2f484f07eb4c21e4268063fb757a2eaff587a6f3a2b3fa880,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False
auctus,ethereum,1,2020-06-26T17:58:03Z,10,100,0xdbc04c75c7a643de144bcf2f6a40ef9308bb4fd5,1:0xdbc04c75c7a643de144bcf2f6a40ef9308bb4fd5,UNKNOWN_REQUIRES_RPC,-1,0x5f82ee40775336606ed7dff5c30af729d9abb9113511502708dba55cf60856f8,10145478,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_19000000_20000000.parquet,204b7f381daf9d8017d4efd97183633a94c1c646efa22b219290c725f63c79d8,2f00541ccb5d98ecd0b1c8a32a8c3f72ee4afcdb5ae111c41e453a3dfd61a6b4,000b6b4738a04fc06c994a8e665a7e3139b122e743b9683d6eec9aa2e553b66b,2ad1c3e50ca7f0e3056f5bb59f4e7abe07932d408fe2e6b0f8328cfba6b414ab,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False
defiplaza,ethereum,1,2021-10-04T13:55:26Z,10,100,0x0324b8095928096270e9ef689e44040f33116255,1:0x0324b8095928096270e9ef689e44040f33116255,UNKNOWN_REQUIRES_RPC,-1,0x273613846bbd05d172684c66cddb91a83391a94e21ea8a4cb5fed11759804425,13286143,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_12000000_13000000.parquet,f15d5aeb7e3fcb63cca93eb03fa583594412966874735914078f617ae9c9b2ea,a6e1702adeedf7a23f4fee784930427cf1009e4971fb6d835976de868b09df3c,0002d32e1f1db1cdb17ad01663e8a011f62e02c5ad9ae09dba27da8c66e9ed6f,033ee42a28db6170703b75a7eeb5f72810e185f0da50695528466c3504cff2eb,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False
dfx,ethereum,1,2022-10-15T16:44:47Z,10,100,0xd34c4074636330397a2ea26012e6c26a15363b5f,1:0xd34c4074636330397a2ea26012e6c26a15363b5f,UNKNOWN_REQUIRES_RPC,-1,0xae8d7e9037f1baf67bac78331100b63a79b6f9ddf23cfd236a097449ed97ab59,15666127,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_0_1000000.parquet,d5e23a08a88dabb08e4eb326b1c042e55165b1fd682650ab9ed73f136e287d31,f8e253e7afd3ff406d35d9c501da0fbaeb78f21bd3731a8876e6e4840fa4c509,000504d0d9158f0864d359d74aaf7cfd7143184fc29dc06994027850e5632968,d16bd310cc65522c33770f42ab6a16ea99d6c583a33812672b4d6f4a2986cd2f,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False
dodo_flashloan,ethereum,1,2021-02-27T12:07:58Z,10,100,0xa8d1a1937e24f199d8e736a527b62e78b6dc9180,1:0xa8d1a1937e24f199d8e736a527b62e78b6dc9180,UNKNOWN_REQUIRES_RPC,-1,0x48a342263c46384199dfbeb55aed271f7694290e772f1f02412e220b49c98c34,11839389,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_18000000_19000000.parquet,2dcd3c6c46c1f5489efaf97a7571ebbe6353d25a2f649f3933fab9345109debf,40c7493c1095ae789725a832d5ff03e2363c5421d0ca4c439c2dee0d6a878804,0003a6a9a823705a38711dbac2b129c883e1948078ae799d0159a18bff6f7692,c1a6396a860c0fb53b5232ac2d01c876ae4143c49ffe9421c8713a084891d5da,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False
eflevervault,ethereum,1,2022-05-28T05:12:39Z,10,100,0xbcdd5374e10d58f16ed2d900a9c0868eba07e5dc,1:0xbcdd5374e10d58f16ed2d900a9c0868eba07e5dc,UNKNOWN_REQUIRES_RPC,-1,0x9856411abb3589ea107fed240f54324f2afad496a9b3ad71566fb4ba10e93d41,14790828,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_19000000_20000000.parquet,204b7f381daf9d8017d4efd97183633a94c1c646efa22b219290c725f63c79d8,eaafbb7f28e97ca24c13428f5304763c05454b28879b7f6b020dfa698c177182,0001691759645263cb114608b89dd4bcc800baa71b7f6670996c1fa0ccb3e9ec,a4c49fcd025012e39023dba51d02fe46b55a2a4351ffdeb7ed50f5b6afda6b29,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False
onyxprotocol,ethereum,1,2023-10-27T15:58:11Z,10,100,0xbaecce1b6de71de4473935ed907db88583441cc3,1:0xbaecce1b6de71de4473935ed907db88583441cc3,UNKNOWN_REQUIRES_RPC,-1,0x674c9c9af2a63223fc04d76ffa9e0fa5d9a8c76ac68948becea4ba57294ceea6,18313940,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_2000000_3000000.parquet,6d562e88df03827bfbf01c2b88d473f0dece6ca3dcd2b0c76188bf3236dcdaae,525c31ab953de1cf8be4c9439919d2047e08b4a8f254bddf3809f69bdb3f6a7c,0005fb1f6b25ec213c534b7e61df0907f02d8b8bbc64063a0259500a9389ec67,c99bf72823411fbac2ea486eaec3ec1cf34d504d36f583de9db7c385069bbd55,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False
ompxcontract,ethereum,1,2018-04-11T19:42:27Z,10,100,0xfd33f138bad4e9141177affc2034852457134e15,1:0xfd33f138bad4e9141177affc2034852457134e15,UNKNOWN_REQUIRES_RPC,-1,0xda651a6191f5115e8b0f922b95a4872c8ca21d4d5519e9d8d921bde9a09413eb,5256922,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_18000000_19000000.parquet,2dcd3c6c46c1f5489efaf97a7571ebbe6353d25a2f649f3933fab9345109debf,bf309f6c2de6421380e5ee148e02e8634fcf9f0e3775cbf30c338a875b380874,0000d4a1e89395977193cf8b8a81ec0d2437cac67b280df05f3e5050526d1f4d,20c32a1075047c5cd2906e10b58ea3e73ac382a92099549a40c8b494387c3dfb,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False
