case_name,chain,chain_id,positive_prediction_cutoff_time,minimum_additional_distinct_slots,reserve_target,control_address,control_identity,control_deployment_time,deployment_distance_seconds,creation_tx_hash,deployment_block,creation_type,trace_proof,source_object_key,source_object_sha256,source_record_sha256,edge_rank_sha256,reserve_assignment_sha256,queue_status,rpc_authorized,selection_authorized,stage_promotion_authorized,recovery3_mutation_authorized
sumermoney,base,8453,2024-01-09T22:03:11Z,10,100,0x11e26bbd1a5547895a50fc39a2d4c0025dec0bda,8453:0x11e26bbd1a5547895a50fc39a2d4c0025dec0bda,UNKNOWN_REQUIRES_RPC,-1,0x202efe4aef7919fd2bdbf9d0512f958bbead91a149e348c30e63f5a12b0a3c9f,7984973,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_2000000_3000000.parquet,6d562e88df03827bfbf01c2b88d473f0dece6ca3dcd2b0c76188bf3236dcdaae,a9be24ee3864d5dafb94338f077f9183109d4a4c40e0f082ba84f6d2620c5c0a,0026ca03c54e37ca1a5afc0275541d722b43d366a74587388be099363c876a6e,62de81c614a478fa8a2a8734c2aa8dbf25647fc30a2de1641a6be695a31cac60,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False
synaplogic,base,8453,2025-10-13T07:35:09Z,10,100,0x0ac154128acaf112c5c7edf6fe6f5641b3362b07,8453:0x0ac154128acaf112c5c7edf6fe6f5641b3362b07,UNKNOWN_REQUIRES_RPC,-1,0xae76316b1ac220d924dfc67a39afb53a2aa8cdbe48ef62ffd39dd25f6e58643f,36189604,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_39000000_40000000.parquet,a11257745b60ffb71acab350a841cc14b63681d2ca43c81429e970df4bf88f4e,4921bdbe42d4391fe556327d1fcb8e5403e2a312f2a34acc8ead14367a05b197,00029c44806ade3042cbd7ff1bb6eb06ef6fd5f7f4fbee3771081645a5397dc9,0781a8d1fa0a9bf22cd5ce1ecf1b9df864f48b62cc60366291968cc49c5fe501,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False
ODOS,base,8453,2024-12-31T02:07:57Z,10,100,0xfe6d8caa24193f821323a0391ebabfa22737185d,8453:0xfe6d8caa24193f821323a0391ebabfa22737185d,UNKNOWN_REQUIRES_RPC,-1,0x1b5d2a46157facdf981b79bece740f731df3f0c08ca8c3bd2e33b7cc348f3ff2,23616360,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_10000000_11000000.parquet,dc224a34690e621a034e308c5ab0ca0606654984ac1d2d10d1a2daa31cda8ec9,530e1c4e120b072bc92399af29eaffc4e9d20dde6aa1e223a3f365c7d1467ca2,00079fe9dbef4317cd7ba556a4ead641b43abd75f83d5272ebc799ad38c31e3f,4549a91ecd3d4a8bbb667d5dbf20ce5b68bad5172a7689a1e380314e66d2e9c5,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False
RICE,base,8453,2025-03-14T05:33:51Z,8,80,0xb98f1057ce78a90b2379970bc4db03bcbdeb87bb,8453:0xb98f1057ce78a90b2379970bc4db03bcbdeb87bb,UNKNOWN_REQUIRES_RPC,-1,0xebbe612b24d4fe1e97ab5a0cf21d6542907e6f5b73e9360b7b4e754d3b75ddfb,27500646,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_37000000_38000000.parquet,913bba10d8e1de979697f9de4c9273b913e5b1ab9c3f6b08baac9286700a1cf7,7d493111a35f1f2aad0378d0372e8b72555d67d478a2c750c010c7f5ce147d64,000340606aaf013164e571f196f7c0bb4e1b5bc293f4f05a90f0db2e5d6994e5,33c47520c6f97a385f9695aac64ca7425671aeecb5dd1a870cd2e7213bb8a108,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False
carolprotocol,base,8453,2023-09-08T13:32:03Z,10,100,0xd5260979a9c55f3c36c9f222436dde0c235c9a61,8453:0xd5260979a9c55f3c36c9f222436dde0c235c9a61,UNKNOWN_REQUIRES_RPC,-1,0x7f72141b6bd6a2537bb1ea922c768e38494711b4d4491ce21e6892cfd995331c,3076538,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_4000000_5000000.parquet,406a31270f695d2ae9b4e4bad98a30b07b5eaadb7304d7956aee8a1b1f9474b3,d3025c34fb04815a3d3cb22e53cb91ca47386519aa4c179ae577e1bc13311aaa,000df1b8bd3de91fa5813604285e843e586258cc328567d3bec82cefa2422cce,1b4f8993e6013e92506d27400aa08404390727850a90efd83aabab410566eb36,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False
cloberdex,base,8453,2024-11-30T08:56:53Z,9,90,0xb377409ca07171725b59d25d8ae3562722c37852,8453:0xb377409ca07171725b59d25d8ae3562722c37852,UNKNOWN_REQUIRES_RPC,-1,0x7d358e5216bab04dd77e813c16b548adbdf447fc4147ae9a19228e728dbe198f,22939162,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_37000000_38000000.parquet,913bba10d8e1de979697f9de4c9273b913e5b1ab9c3f6b08baac9286700a1cf7,c562528a87ca4d44a6d7250c8eddb073db5f5e07bc286f027503db72bcdc8dad,000424a5c98a1b0d171d2ce37bf6c9f5bb1c8dbfc590e390076ad93d59164344,1f3c3929386be8c29deb56f4d186a1eedcc343b497a86f993ab870f9f49a39d7,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False
moonwell,base,8453,2023-08-05T01:58:49Z,10,100,0x4a6da2c127b74c06b8c2e2dc1c959b64dc5282a0,8453:0x4a6da2c127b74c06b8c2e2dc1c959b64dc5282a0,UNKNOWN_REQUIRES_RPC,-1,0xc311d1753626863f14f8ea68bbaf85a3495f38c9798120c195ae31fe6726cb98,1709758,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_0_1000000.parquet,d5e23a08a88dabb08e4eb326b1c042e55165b1fd682650ab9ed73f136e287d31,5f54152cd5ef33f2c83a778be58df0656a144fe135703fdbe3f3d3cf2bf195e2,00344f77582fface74c5aebcd8c6afaf030f1e40620dcba59075c14e17b2b011,5435ccf49ad4361f4a5c3c6a586cce22dede394851102e2905aa027993759bf3,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False
normie,base,8453,2024-03-07T22:10:17Z,10,100,0xffe28112eb05bff5e3f92ad58f6905b22ae8f689,8453:0xffe28112eb05bff5e3f92ad58f6905b22ae8f689,UNKNOWN_REQUIRES_RPC,-1,0x1ab9186eb1e45619214542d6799420be9f767cf43698fe3c1e1d216a146df152,10338381,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_4000000_5000000.parquet,406a31270f695d2ae9b4e4bad98a30b07b5eaadb7304d7956aee8a1b1f9474b3,1533f59541d7ada29fb361fc6406a3f3a296401cff379598b58c361e229ea2dc,0007f89775995e658e096dd229f0020b0f5e4030b80f196091d78e7e291de35b,405382cf3c7551f3513f990d3408f3b9919c3682193e7b0bf58eb06eee0a4910,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False
sumermoney,base,8453,2024-01-09T22:03:11Z,10,100,0x41d4c067b82da8357dfc38e3f24f6033368af4bb,8453:0x41d4c067b82da8357dfc38e3f24f6033368af4bb,UNKNOWN_REQUIRES_RPC,-1,0x78936c38adf897c106d7b4f072d16a7f4fc4b2252b9f0a78bd97a26dbd15453c,7919308,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_4000000_5000000.parquet,406a31270f695d2ae9b4e4bad98a30b07b5eaadb7304d7956aee8a1b1f9474b3,b0ca6b51c7c511abf889637a18fab92b859517ae19f23984d7f44c00b6eba1b0,00294c7612de775f99e74d5afad5e930c4f568298b9d514088b37921e9dbdd6a,7822431b5eabc28ad24d13264e282615fe66cf3763fe9e526566b601757c26a7,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False
synaplogic,base,8453,2025-10-13T07:35:09Z,10,100,0x378a8f2a6fc38cb1dffb0b62581e78230ec0b279,8453:0x378a8f2a6fc38cb1dffb0b62581e78230ec0b279,UNKNOWN_REQUIRES_RPC,-1,0x357295f8c801ae37e1da053fe2c50669d05added4cbf7b7d8e295090fd30f002,36127540,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_10000000_11000000.parquet,dc224a34690e621a034e308c5ab0ca0606654984ac1d2d10d1a2daa31cda8ec9,9abed39a57b33a3e36b93eeef05e85961a7040a5875aad872a29874aca9418b3,0002bbd586f7723a2932bf34cf433f0b69a5a2fde786af245c6823f1b44c8286,087d3416ebc93913ef0eeb5fdae2097d1c5f05f95a0613c0b43310f69c5efb0f,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False
