case_name,chain,chain_id,positive_prediction_cutoff_time,minimum_additional_distinct_slots,reserve_target,control_address,control_identity,control_deployment_time,deployment_distance_seconds,creation_tx_hash,deployment_block,creation_type,trace_proof,source_object_key,source_object_sha256,source_record_sha256,edge_rank_sha256,reserve_assignment_sha256,queue_status,rpc_authorized,selection_authorized,stage_promotion_authorized,recovery3_mutation_authorized
pdz,bsc,56,2024-01-26T19:19:39Z,6,60,0x47254f76303ac3421a46045d82fb46b559ac8a51,56:0x47254f76303ac3421a46045d82fb46b559ac8a51,UNKNOWN_REQUIRES_RPC,-1,0x359eebec8dae3672cd32c73393790aedddb1762b8beee2ef6fdac4c2d91dc9fc,35060858,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_31000000_32000000.parquet,1096c453513646713a3b6185edd15651bf3a9599e2e334ecd82bcf3c939ca722,bb0d1638538518246381a12e4a83331b63edec5053dc03c9cf2c0a18cc5bfac4,000f4aa7e397442b77110f761440bf2b8719e024b3c65c0104188d50bb293c4a,bb538d4b20a45bc0ca2eadc7c0c9303b10e977b5301c637e4b8732273e4db9c1,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False
pledge,bsc,56,2024-11-24T16:01:47Z,10,100,0xdf80d9cebd14e56de0d7c5729fdd2400ff5fff9f,56:0xdf80d9cebd14e56de0d7c5729fdd2400ff5fff9f,UNKNOWN_REQUIRES_RPC,-1,0x5fcae5d965bfbcf2c55ed6dbdff46407b50ba57c4ee2247133b69cc5d3632a85,43614733,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_5000000_6000000.parquet,eb8d1ad9c414a2cf0a36d3fe5aa0b10e20823399807f3e5cfb6815af4b301cd7,abf9860d477f423b8ec8276ec93b8db1a7c0e7f96d8832fcb872f3aa17176fdb,002f7224c4287bf8121921808c80d4bdfe451d3cabcac3f644199525ffdec2f9,35469bd36d911d7c51eaa3f60645a2c5cfb340008ffaabd5fb11e7c548f4d7e0,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False
ploutoz,bsc,56,2021-03-26T12:26:53Z,10,100,0x0e9a174735d094348984de823d95cb8669b4d8a1,56:0x0e9a174735d094348984de823d95cb8669b4d8a1,UNKNOWN_REQUIRES_RPC,-1,0x5c6086ca9814d44e9435384981fc42824be7103bf9dc980ebb461b37ee20717e,5965198,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_9000000_10000000.parquet,6777e0b50be1d60a845e1be0313473c99fb8675967b51e4530577f82391cd3cf,911151d31060d916d12955ab31ba9139745de88fc778efaf5e08f09d940b1f3d,002c9a081ab0435988b14ab80c98b5b6bedf6fadea3a49629b5901c2eaf00463,26d1053ab4f4c2232620d0afac59e784dd106426671159316121de6cd2488391,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False
pltd,bsc,56,2022-09-18T07:34:03Z,10,100,0x5e075d1477552e4d4a59568bf38d857c10c1b21e,56:0x5e075d1477552e4d4a59568bf38d857c10c1b21e,UNKNOWN_REQUIRES_RPC,-1,0xb420726ac1ef4bfc1db23ca9006728f05522906f3c0e864062be06b6fc45059c,20742153,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_6000000_7000000.parquet,408541b1fff35d9d72eb413a63bd7e1ecdfd299daa7ca67b3c7185856aa6aef7,d55f2a1b5cf4983b21e649658e5d411bc7986aaff11dcfe39d9b093656cdded1,00197fa434631057c1fadbb473379d4aed46708acd4a70798208c8acf91c9c95,a4801aef25073d547523f95f2be5aa4342e77a2e27a95c82e9b74e6b012310ef,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False
poolz,bsc,56,2021-07-30T11:05:08Z,4,40,0xa04ddaf21d31d22d5fabe7e771519677a16ad26b,56:0xa04ddaf21d31d22d5fabe7e771519677a16ad26b,UNKNOWN_REQUIRES_RPC,-1,0xde007bdb456c1bbe42d53151696b62808607c6d556ff94d375440e902bb20d8c,8911429,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_31000000_32000000.parquet,1096c453513646713a3b6185edd15651bf3a9599e2e334ecd82bcf3c939ca722,7fda201291871638c7c2c212f3a106e11f34ef598e28fe26500db78618aea118,0010f74ae8e616f66926ef6aa2938aedc24a99661b873fdb6e6f41c78de8d54d,4a648b256437826ff39a6e051aa5316f406ff13fc38a4e927b98ea03007a8adc,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False
rant_token,bsc,56,2025-07-04T11:47:40Z,10,100,0x056c8f0ae47b5484254b53182e7d5d3dffd9de5c,56:0x056c8f0ae47b5484254b53182e7d5d3dffd9de5c,UNKNOWN_REQUIRES_RPC,-1,0xb5e3055bc2d38c113e58b5071608f6b5248eef7c8d9bf722815591e53180c8a2,51271165,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_9000000_10000000.parquet,6777e0b50be1d60a845e1be0313473c99fb8675967b51e4530577f82391cd3cf,126ece2e14d6fcf9f0516f1306f71af64256d8efa2dd1edeaa75f0f200e4601f,001b6b461dc0d6a211d9e71abc286356d0153d056de60c4c3a813802d5fa72d9,299e05a9028dce34f38653c72c7f47866b74074868866445c3dae6bb5f9f737e,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False
res,bsc,56,2022-07-21T13:06:04Z,10,100,0xabdfde1ebd8eb99779e6abcbb2f85962158345c3,56:0xabdfde1ebd8eb99779e6abcbb2f85962158345c3,UNKNOWN_REQUIRES_RPC,-1,0xad323af8015b3c96ebf51607067a618df732ed1c7a91cdb689cbef87207582a9,18942114,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_29000000_30000000.parquet,3255e78e345aff80bfd6dfc7d760f4bda3a96fce4225cc3e128ce3d21ff32822,6306c2783debcd89c590a7a9599c73af075b3553590a41c52ac9dc7f38652bae,000a784f3788d58b5d72752d515902348e8b6d1d918a2e117f129ea7ba7a88c0,69cc3e0b73cb6a9c8e20d179a559afe71530ef63a284cf31378f294a249190f2,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False
res_2,bsc,56,2022-07-21T13:06:04Z,10,100,0x09d791123c557150180090440fe16c4fc4dde09f,56:0x09d791123c557150180090440fe16c4fc4dde09f,UNKNOWN_REQUIRES_RPC,-1,0x8492fcce617c477eca59cdad220cb4425ccbc881937e9c73ce022f4af01deb1d,19284576,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_6000000_7000000.parquet,408541b1fff35d9d72eb413a63bd7e1ecdfd299daa7ca67b3c7185856aa6aef7,ba21373be6393a7d6a17c78cb5bc1afd105dd3162107e54ef2a251eb9605c3a2,001085cd372b641350d0df4f47fe040abbdd10b002eb811e006811928b24011b,ce711be5640251a14d9b63d41488bc592ed0dfb88e5453b888544defe020f4dc,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False
rfb,bsc,56,2022-12-04T15:45:55Z,10,100,0xe6d8a3b424e2a5ee9782aaf3a2bd9943da431217,56:0xe6d8a3b424e2a5ee9782aaf3a2bd9943da431217,UNKNOWN_REQUIRES_RPC,-1,0x07c04aa5b779c5cac75fb4e4207426c201c1a82d0e4c347058becb341907aa10,23508406,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_31000000_32000000.parquet,1096c453513646713a3b6185edd15651bf3a9599e2e334ecd82bcf3c939ca722,50ffd82a3108aea6b6aed5bcb679fed8e082dbfaf6825b2ef118582424abbb81,000e28b37406b5bc761ecbf2d705e0a888b852234811b68e6b489f6680fed0f8,a1e9b5883761a64c0d87696e34f258fe1382d61b7bed7cbc18120e32cff21deb,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False
rl,bsc,56,2022-07-25T14:15:52Z,10,100,0x43dda277df1983a8bd73a3a175ad871e979cc0eb,56:0x43dda277df1983a8bd73a3a175ad871e979cc0eb,UNKNOWN_REQUIRES_RPC,-1,0x36a485e140862bb03b4a220977d507d2c41aa52532948aba9f91e735e4f1aa25,19416425,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_29000000_30000000.parquet,3255e78e345aff80bfd6dfc7d760f4bda3a96fce4225cc3e128ce3d21ff32822,4e307b8e189f9ef7055754a851d6ddbef4c3a4c74cb3b2c12c2d2317d50dba5c,00198ecfeec948b76ddda691f392edc9c1df17fb82c5f5f3a3f91eb8c2b66f2f,1d24bc502041a055d03d0f79077feaec5694324643e038725efe13d5be15a63b,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False
