case_name,chain,chain_id,positive_prediction_cutoff_time,minimum_additional_distinct_slots,reserve_target,control_address,control_identity,control_deployment_time,deployment_distance_seconds,creation_tx_hash,deployment_block,creation_type,trace_proof,source_object_key,source_object_sha256,source_record_sha256,edge_rank_sha256,reserve_assignment_sha256,queue_status,rpc_authorized,selection_authorized,stage_promotion_authorized,recovery3_mutation_authorized
paraspace,ethereum,1,2022-12-02T07:27:11Z,10,100,0x3142d57cecc86ea0ffdb5d6580b77aa7d02b0502,1:0x3142d57cecc86ea0ffdb5d6580b77aa7d02b0502,UNKNOWN_REQUIRES_RPC,-1,0x93669cb8e75a7972c4b880b142a2e540679e22101297c1864f4217b7f8980332,16088741,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_13000000_14000000.parquet,8885bd5034eff92607b7ffb297b079b222764c22e24fbd5bdf3f3d689c1a839b,0dfce09c8b8f27336550a2909af0c1e5ca4d47c4447b6c28de5daf547a7cd151,000ec985d5f98e25d01710e31e612379a9121d403727d7cff06e92a7bfe090da,e1d6bda4e4b49dd3fcb60834d5b8b46e9ecc8e6b45c4ceebcc212b7df523e5d3,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False
particletrade,ethereum,1,2023-10-03T23:57:35Z,10,100,0xe34c643b02d35cff0695f5924d9a7ed3be9b4baa,1:0xe34c643b02d35cff0695f5924d9a7ed3be9b4baa,UNKNOWN_REQUIRES_RPC,-1,0x0d842768d1832d4cca046cb19c2c017cdb954f278d3ad994dcd33bd4ec985f4e,18110520,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_5000000_6000000.parquet,eb8d1ad9c414a2cf0a36d3fe5aa0b10e20823399807f3e5cfb6815af4b301cd7,dc4d75ff83c527067ebd2ec3a8c4e4e88836d8a6393c10eedb559f2736295006,000e859374f4395581d2d047a99a67df0473012e1b22013795d2f77bf0e178d7,aa1893cdcc440f174b8864636a5904dceb7d149d584daa8f22f40baaa59512ea,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False
pawnfi,ethereum,1,2023-06-05T05:03:35Z,10,100,0x76bb457883d7a9d435829b6a788ca49be2b2245c,1:0x76bb457883d7a9d435829b6a788ca49be2b2245c,UNKNOWN_REQUIRES_RPC,-1,0x1aa0fcaf4b320184efb973de0b9924409fadd2b15c4c9532400d5912cf343a66,17310510,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_14000000_15000000.parquet,6176cf26c5e071de572e4fa584e8e6126dbdb3267e5f347910a581b7d8a944c6,a0beae7ceb0b4b7bca1feddd0e6266999353f332bbf0cca464381e83d61e83bb,00093b8b0c89ab2947311207a05b5bbbd19b131f525dadea0a722ea0fb511899,9d9218bb75653fccb2e397e59e8ec754d70edf429d74724db2b67d822064f413,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False
pdz,bsc,56,2024-01-26T19:19:39Z,6,60,0x47254f76303ac3421a46045d82fb46b559ac8a51,56:0x47254f76303ac3421a46045d82fb46b559ac8a51,UNKNOWN_REQUIRES_RPC,-1,0x359eebec8dae3672cd32c73393790aedddb1762b8beee2ef6fdac4c2d91dc9fc,35060858,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_31000000_32000000.parquet,1096c453513646713a3b6185edd15651bf3a9599e2e334ecd82bcf3c939ca722,bb0d1638538518246381a12e4a83331b63edec5053dc03c9cf2c0a18cc5bfac4,000f4aa7e397442b77110f761440bf2b8719e024b3c65c0104188d50bb293c4a,bb538d4b20a45bc0ca2eadc7c0c9303b10e977b5301c637e4b8732273e4db9c1,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False
peapodsfinance,ethereum,1,2023-12-13T21:17:47Z,10,100,0x74716c8428c45529cefd3dee77d10b7c486f5bba,1:0x74716c8428c45529cefd3dee77d10b7c486f5bba,UNKNOWN_REQUIRES_RPC,-1,0xe3b5c413c6d59b12358d8e0a1e72db29aed0b09ba9fd6ee25d6fb7dca4bb607e,18683920,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_2000000_3000000.parquet,6d562e88df03827bfbf01c2b88d473f0dece6ca3dcd2b0c76188bf3236dcdaae,5564ebdfdd47367354f3e48774ff249e30ca02e3e4cd99ce5ec087938d2a5068,0019dbe353b0a22eb0a815777e480b7aa2a4321c228b7ac977221d41fe7644a8,86c0889a648a28fbe9b7b8148a5fc62665649be0dc28ed54ec2bf6354552c555,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False
penpiexyzio,ethereum,1,2023-06-05T10:50:59Z,10,100,0x490235f784f770e64972e8afcb89dc54fd836315,1:0x490235f784f770e64972e8afcb89dc54fd836315,UNKNOWN_REQUIRES_RPC,-1,0xc85e8ddff95cdf81f22bb30f90940d102334849c9b03c31bdc7352316337909b,17288983,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_14000000_15000000.parquet,6176cf26c5e071de572e4fa584e8e6126dbdb3267e5f347910a581b7d8a944c6,532be20e7376c7bfdf39f2861754ceb084fac112173ad9b6dcb7ecde41a7dc98,0012c8a1f563b607fdd7e5e15f4076d2d2fc18a18a4b2af10a7a14960c05ee26,02e91358eef707ad30c15452750a720fd0769fee7082f75fc86714ec7d57c8a2,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False
pickle,ethereum,1,2020-10-24T00:04:17Z,10,100,0xcc19c1439659b3255c75c352d70fc188b0be76d9,1:0xcc19c1439659b3255c75c352d70fc188b0be76d9,UNKNOWN_REQUIRES_RPC,-1,0x63e07646a1aa09f7d1c87ab0d954a4e519266f77cc046bb3bf6aecd18e056358,10952901,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_14000000_15000000.parquet,6176cf26c5e071de572e4fa584e8e6126dbdb3267e5f347910a581b7d8a944c6,f37b7e3a3123a5135e917e0f43e982a38c15e92205ca33cd0e02d6132598a01e,0010ca4bfb55e8dda799f4e8c3eaf163123f19d2d75a00c6e9b7fc5547b9b273,95c6749dc53deb02b89a77d0e5cd9d17649ed3feaf7ebfc2823e832e9ed1f8a9,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False
pineprotocol,ethereum,1,2023-01-12T19:59:23Z,10,100,0xab31ee035bd58407ba55d55da402a82f45ce2f7c,1:0xab31ee035bd58407ba55d55da402a82f45ce2f7c,UNKNOWN_REQUIRES_RPC,-1,0xddf4a3be33dc5aec12c8e694a3cc5bfc60e64551bf0b7ad4fe362b32b3d611c1,16185490,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_5000000_6000000.parquet,eb8d1ad9c414a2cf0a36d3fe5aa0b10e20823399807f3e5cfb6815af4b301cd7,ada2c6cec31f1411637919ea98d2b06cbf8b3d456a247fa3f0d357cd78dd703a,001484ebd2113aed89967aa65a18fee714bb7f6e2e0481cac8b47a74e4708cb1,52b50e8b283c435b5160c36a1bc133eb8aa4153264eb1a4da250e9d58d4ea44f,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False
pledge,bsc,56,2024-11-24T16:01:47Z,10,100,0xdf80d9cebd14e56de0d7c5729fdd2400ff5fff9f,56:0xdf80d9cebd14e56de0d7c5729fdd2400ff5fff9f,UNKNOWN_REQUIRES_RPC,-1,0x5fcae5d965bfbcf2c55ed6dbdff46407b50ba57c4ee2247133b69cc5d3632a85,43614733,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_5000000_6000000.parquet,eb8d1ad9c414a2cf0a36d3fe5aa0b10e20823399807f3e5cfb6815af4b301cd7,abf9860d477f423b8ec8276ec93b8db1a7c0e7f96d8832fcb872f3aa17176fdb,002f7224c4287bf8121921808c80d4bdfe451d3cabcac3f644199525ffdec2f9,35469bd36d911d7c51eaa3f60645a2c5cfb340008ffaabd5fb11e7c548f4d7e0,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False
ploutoz,bsc,56,2021-03-26T12:26:53Z,10,100,0x0e9a174735d094348984de823d95cb8669b4d8a1,56:0x0e9a174735d094348984de823d95cb8669b4d8a1,UNKNOWN_REQUIRES_RPC,-1,0x5c6086ca9814d44e9435384981fc42824be7103bf9dc980ebb461b37ee20717e,5965198,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_9000000_10000000.parquet,6777e0b50be1d60a845e1be0313473c99fb8675967b51e4530577f82391cd3cf,911151d31060d916d12955ab31ba9139745de88fc778efaf5e08f09d940b1f3d,002c9a081ab0435988b14ab80c98b5b6bedf6fadea3a49629b5901c2eaf00463,26d1053ab4f4c2232620d0afac59e784dd106426671159316121de6cd2488391,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False
