case_name,chain,chain_id,positive_prediction_cutoff_time,minimum_additional_distinct_slots,reserve_target,control_address,control_identity,control_deployment_time,deployment_distance_seconds,creation_tx_hash,deployment_block,creation_type,trace_proof,source_object_key,source_object_sha256,source_record_sha256,edge_rank_sha256,reserve_assignment_sha256,queue_status,rpc_authorized,selection_authorized,stage_promotion_authorized,recovery3_mutation_authorized
BaseBebopSettlement,base,8453,2024-12-20T16:49:51Z,10,100,0xc4a028c55d81f5bf0721f98f587fd52d9971bdea,8453:0xc4a028c55d81f5bf0721f98f587fd52d9971bdea,UNKNOWN_REQUIRES_RPC,-1,0xcb3677616010d47b17b6fc194c9abc2b216b4f346d7752443be4e608e4aff9b7,22625026,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_5000000_6000000.parquet,eb8d1ad9c414a2cf0a36d3fe5aa0b10e20823399807f3e5cfb6815af4b301cd7,3beb92d1d9f709604be6b8eeab7816fedbff4f30a381de52a8b206fb5585d202,0008e6bef7524fe6007a4bc979dc4d13f288f0e9241ed465846d95aeba1d2e6c,414c45f2bd868eaa868c4df5161a627a6a67a84edab0a71ef9da3c1c33171361,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False
BitCrown,bsc,56,2025-06-08T18:22:23Z,7,70,0x67b6a8e1e330324248dbedff9794f0bd5f68ac8c,56:0x67b6a8e1e330324248dbedff9794f0bd5f68ac8c,UNKNOWN_REQUIRES_RPC,-1,0x043e341b1576c410339b641e8b3b228bd33e692bc1c994494a3a079c77b8aaf6,49942228,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_30000000_31000000.parquet,0d12ca90369256d040cf542c85f6ffcf446e4e3e8d19fd878d446ff8ed9337b7,728d52c78edffeebeab518bafaea77a55eddf95a2f0d73168e0f505eaf262922,0017de284f1cf75228ecd9349e5d6d2fa524d409b430d7b7d5a840554c668812,0b7f883307ff8b65599c538dc3227cfeb3064c3fb347c57fc06aa1a36c411186,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False
Bitallx,bsc,56,2025-05-15T06:01:07Z,9,90,0x0105368b026cd3c08d45b38583e88735c7dc9242,56:0x0105368b026cd3c08d45b38583e88735c7dc9242,UNKNOWN_REQUIRES_RPC,-1,0x4df19011f5679ea1709e219a073d60534fe89521fb67ed0e6e3b857b9506beef,48494945,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_30000000_31000000.parquet,0d12ca90369256d040cf542c85f6ffcf446e4e3e8d19fd878d446ff8ed9337b7,a26e7ede88106749dd8ca18e867a0440c30358776e4ef96074fc8690348f3651,001513d01094fcc96b35022fe4b957d2217604f846f96894c61c68f4f59951c7,ce864a5b3464f7583099f9cdfce91a2c7586174ec62efee1ad7c4eb4d1103765,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False
DLMC,bsc,56,2026-04-28T13:18:52Z,3,30,0xec7e084cd2a7415b58dccadbeb2af078854645f6,56:0xec7e084cd2a7415b58dccadbeb2af078854645f6,UNKNOWN_REQUIRES_RPC,-1,0x42759d0e92bb43cbbac414c36940358af3e4a2f7913056953b42a59d7d989ca7,94412087,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_28000000_29000000.parquet,a512ca3053caa2090f1042c2a492d4b63974138d49e6ef832b885fb36b556864,50d62463642e0602973db22b27328c9bbf33dee71913b12c29934f840adab57b,001b3f5cd87f351cf03eac23419e1682ef3bc10464363de8c896909e82c72717,7d6cf9bc0d604f52851615671a65555c67aaa29e12223cd1bfc61dbed5682fbf,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False
FlyLong,bsc,56,2023-11-29T19:17:34Z,1,10,0xf81733eae028656fe2b85625d27051f5f6910936,56:0xf81733eae028656fe2b85625d27051f5f6910936,UNKNOWN_REQUIRES_RPC,-1,0x87c24a9e6e63dd901a08e11c3ec30c5eb677997dfc2c0344937dc8603d8a1f37,33566183,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_24000000_25000000.parquet,75a53730c1741ad8c1407acf5f27d1dd41e28bbf80bdf547606716d95e3427b6,d933617dec84b7c32e9a4723d1d5f6c94750b3e50d0944f7f7843f544fe1365d,000bae6dfbc4e862fe5b48bc6b19f347080ef4e637214717dcdd761f8e634ca5,69b77b044f6a13f221bb2b61a3a95dcad7ea3324371e3cd30c8333f9e9dffef9,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False
GMT7,bsc,56,2025-02-08T12:45:18Z,7,70,0xf432bb0b1e31ebee159bd2657ad16326da993b36,56:0xf432bb0b1e31ebee159bd2657ad16326da993b36,UNKNOWN_REQUIRES_RPC,-1,0x1dae2fee53a0794c22dec01d639343cadd0ad6ab356954876167abfe9a020753,46159150,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_29000000_30000000.parquet,3255e78e345aff80bfd6dfc7d760f4bda3a96fce4225cc3e128ce3d21ff32822,b0c535a8d7a821c863167507685ae6c83c7204dcd79e4464d16e3e1dad84f658,000bab875d4cd002522aad781a4a9eddee0453b6983d6f35525f38261d52f20c,aee67c75154e1223dc87b161fe47699d2c54eba47261cd4ecb8959c5c1de44c9,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False
GoldReserve,bsc,56,2024-12-28T15:13:07Z,9,90,0x4138bd24c64505fe5ac27d78f2b9aa72d98a472b,56:0x4138bd24c64505fe5ac27d78f2b9aa72d98a472b,UNKNOWN_REQUIRES_RPC,-1,0x16f8ec2222509ce44bfc9663638b66f62ab290cdae07cc1494b3bc0bcf99d089,44478192,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_30000000_31000000.parquet,0d12ca90369256d040cf542c85f6ffcf446e4e3e8d19fd878d446ff8ed9337b7,1d8e7629d0180f3681b4b461fa8eae4c2223a2ee9746df80c9267cada5a688f7,002cd04cbaeb524d99e157f01a0eda62f0f725d185e5ef6c78f1df4f1e73929e,73d4cde94f44289e7854c0bb09dd975587fb7f5a70e844142f47c038306e1359,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False
HORS,bsc,56,2021-05-13T02:56:01Z,4,40,0x14a6342bda8b6b38cc8f48ab7b2dea85a3a01fbf,56:0x14a6342bda8b6b38cc8f48ab7b2dea85a3a01fbf,UNKNOWN_REQUIRES_RPC,-1,0x26af1244f05b6011f2e0ee7ce8b33b257bd2b6d9b0442572204d15ea7d8d278d,6728901,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_9000000_10000000.parquet,6777e0b50be1d60a845e1be0313473c99fb8675967b51e4530577f82391cd3cf,a0243c7cc30e5c84719734085b7c445269db24872b88e32578f9dd4a0405221a,0006dbe5d068f7c5fca73955ef84f5e0447b0e07fc63447895bf64516abb4d98,f960cc2515eac14b59fb8b3083a16e1ff9cc775948eb0ef034b3b75caef9ce1d,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False
HoldSafe,bsc,56,2025-03-15T16:16:22Z,8,80,0xc451f786651e8e676c862e68ad3d8c6600b0bb12,56:0xc451f786651e8e676c862e68ad3d8c6600b0bb12,UNKNOWN_REQUIRES_RPC,-1,0xcc7ac81bd0fd2e692562592a911f882882990cf2d05b70694a0fd67c836f49d5,47361520,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_29000000_30000000.parquet,3255e78e345aff80bfd6dfc7d760f4bda3a96fce4225cc3e128ce3d21ff32822,7e97a2b332caddb363c8b84b404d16c1160841005893b56d592c95e140503974,0012df32d3971d791db4ab20c78257b1b09bac9ce9943a58c629456a42779670,553d21375c9848ac9e95572a74a55d06e6935508d0ed5f5bfca3a9656f9fcc27,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False
JUDAO,bsc,56,2026-01-18T00:52:05Z,2,20,0x0ca8ded32abd15a2e1986556c07abb1b69d86d79,56:0x0ca8ded32abd15a2e1986556c07abb1b69d86d79,UNKNOWN_REQUIRES_RPC,-1,0x08690b190225f25d15ecc4507aadd2ac9495014e9a90a889ca9fb99887f16a87,73217292,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_31000000_32000000.parquet,1096c453513646713a3b6185edd15651bf3a9599e2e334ecd82bcf3c939ca722,e089ac30041536321aedffe4e5ef1fc752b8f9edc3c0b03b574b5799bdca43ee,0005362f31c5acf8ffe30bdf3f372d9171f2e26db5c5cd39586339940fa75a92,8991d3cfd7820d15ccbd6b2cadb09b9772e884e62b5452d672a010a32b486fb6,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False
LBP,bsc,56,2026-05-08T01:57:51Z,1,10,0x80dc8f5b0c3742416d426caaccdc4d2c83b22dab,56:0x80dc8f5b0c3742416d426caaccdc4d2c83b22dab,UNKNOWN_REQUIRES_RPC,-1,0x0b23ccc71e82782c7363e05526cafda490119fa6c7f97c19b38c1eae99e06e27,94216791,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_30000000_31000000.parquet,0d12ca90369256d040cf542c85f6ffcf446e4e3e8d19fd878d446ff8ed9337b7,1d212d1d50d8dd44f60ec29a065268142da239860a15c6931d25cce22017e524,000d3f2ac6cfcc01ce22094f1c94ada4bd5395ba3d333eab79f08a0589d7d9c5,7b22d5d911d5b7391deaeb75f54771a6394799c339508be7cc629281fd1ba94a,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False
MEVBOTa47b,ethereum,1,2022-04-02T10:59:44Z,10,100,0x626fa8a81bd6c98c28ea8bb5fbf45533b2a4088e,1:0x626fa8a81bd6c98c28ea8bb5fbf45533b2a4088e,UNKNOWN_REQUIRES_RPC,-1,0x6e59bf3aa3f4fc17fae60e3bdc0960ca08338604b7cd2a16ef40ec1872fbc9fb,14456836,UNKNOWN_REQUIRES_RPC,False,v2/contract_deployments/contract_deployments_14000000_15000000.parquet,6176cf26c5e071de572e4fa584e8e6126dbdb3267e5f347910a581b7d8a944c6,56851a24d3cbdd368921d8b6682024129c93befeb9d5d047ef9845a10e950709,000c017640e1d51dbb421c7d3b883ab3ddd2eb5f00e4e9bad0bd8c12e6ddb445,b7fdf8048aef2d44bec9acb5be0b512afed66d66d91ef22811adbedc196c15f5,RESERVE_CANDIDATE_REQUIRES_RPC_AND_PAIR_EVIDENCE,False,False,False,False
