case_name,task_source,chain,fork_block_number,target_contract_address,evm_version,case_id,incident_date,incident_name,mechanism_raw,incident_contract_path,incident_chain,source_url,source_status,source_snapshot_sha256,incident_record_sha256,incident_reference_urls,incident_tx_hashes,incident_loss_text,match_method,incident_metadata_present,benchmark_fork_anchor_present,deployment_block,prediction_cutoff_block,incident_block_or_time,source_availability_time,runtime_bytecode_hash_at_cutoff,outcome_adjudication_id,temporal_certification,admissibility_reason_codes,exact_identity_key,exact_identity_group,runtime_code_group,metadata_stripped_code_group,proxy_type,implementation_at_cutoff,proxy_lineage_status
bancor,defihacklabs,ethereum,10307563,0x5f58058c0ec971492166763c8c22632b583f667f,,ca2-0e06e67c5c9253228751,2020-06-18,Bancor Protocol,Access Control,src/test/2020-06/Bancor_exp.sol,ethereum,https://github.com/SunWeb3Sec/DeFiHackLabs/blob/main/past/2021/README.md,frozen_public_source_hashed,93b19197192b409cf7360b9bfa564d474da5a115f9bf279a5b8cc61093dadab6,12e769362c1be3988caf52c51ee183a7013887915f0bf8dccff261ab8b849737,"[""https://blog.bancor.network/bancors-response-to-today-s-smart-contract-vulnerability-dc888c589fe4"", ""https://etherscan.io/address/0x5f58058c0ec971492166763c8c22632b583f667f""]",[],,exact_contract_basename,True,True,,,2020-06-18,,,,blocked_missing_onchain_and_availability_evidence,"[""missing:deployment_block"", ""missing:prediction_cutoff_block"", ""missing:source_availability_time"", ""missing:runtime_bytecode_hash_at_cutoff"", ""missing:outcome_adjudication_id""]",ethereum:0x5f58058c0ec971492166763c8c22632b583f667f,c57f7990a60d72614d81,,,,,not_resolved_requires_archive_rpc
opyn,defihacklabs,ethereum,10592516,0x951d51baefb72319d9fbe941e1615938d89abfe2,,ca2-b7ed9e346aa4cb6ca834,2020-08-04,Opyn Protocol,msgValue in loop,src/test/2020-08/Opyn_exp.sol,ethereum,https://github.com/SunWeb3Sec/DeFiHackLabs/blob/main/past/2021/README.md,frozen_public_source_hashed,93b19197192b409cf7360b9bfa564d474da5a115f9bf279a5b8cc61093dadab6,1a0143eddb168a6b6e718dd3f5a498429851eb5c198743f2b4c666b645a585ed,"[""https://etherscan.io/tx/0x56de6c4bd906ee0c067a332e64966db8b1e866c7965c044163a503de6ee6552a"", ""https://medium.com/opyn/opyn-eth-put-exploit-post-mortem-1a009e3347a8""]","[""0x56de6c4bd906ee0c067a332e64966db8b1e866c7965c044163a503de6ee6552a""]",,exact_contract_basename,True,True,,,2020-08-04,,,,blocked_missing_onchain_and_availability_evidence,"[""missing:deployment_block"", ""missing:prediction_cutoff_block"", ""missing:source_availability_time"", ""missing:runtime_bytecode_hash_at_cutoff"", ""missing:outcome_adjudication_id""]",ethereum:0x951d51baefb72319d9fbe941e1615938d89abfe2,b6991eabd59a83bee543,,,,,not_resolved_requires_archive_rpc
bzx,defihacklabs,ethereum,10852715,0xb983e01458529665007ff7e0cddecdb74b967eb6,,ca2-22e8cd13c63b74bc9bbc,2020-09-12,bzx,Incorrect transfer,src/test/2020-09/bzx_exp.sol,mainnet,https://github.com/SunWeb3Sec/DeFiHackLabs/blob/main/past/2021/README.md,frozen_public_source_hashed,93b19197192b409cf7360b9bfa564d474da5a115f9bf279a5b8cc61093dadab6,c1757886f5994b885b6fb157b5a4976ef009ba0a86633e2a73a8817e0b872a24,"[""https://twitter.com/0x000000000marc/status/1305354469354303488""]",[],```sh,frozen_date_override,True,True,,,2020-09-12,,,,blocked_missing_onchain_and_availability_evidence,"[""missing:deployment_block"", ""missing:prediction_cutoff_block"", ""missing:source_availability_time"", ""missing:runtime_bytecode_hash_at_cutoff"", ""missing:outcome_adjudication_id""]",ethereum:0xb983e01458529665007ff7e0cddecdb74b967eb6,c45b4299a4bb488c62fb,,,,,not_resolved_requires_archive_rpc
cover,defihacklabs,ethereum,11542309,0xe0b94a7bb45dd905c79bb1992c9879f40f1caed5,,ca2-2d1d603841d5194ab452,2020-12-29,Cover Protocol,Incorrect calculation via cached data,src/test/2020-12/Cover_exp.sol,mainnet,https://github.com/SunWeb3Sec/DeFiHackLabs/blob/main/past/2021/README.md,frozen_public_source_hashed,93b19197192b409cf7360b9bfa564d474da5a115f9bf279a5b8cc61093dadab6,092f869ecaf110a83300555d4e398c4f08a8e4b38f93fd479f97051f43bc0129,"[""https://mudit.blog/cover-protocol-hack-analysis-tokens-minted-exploit/"", ""https://slowmist.medium.com/a-brief-analysis-of-the-cover-protocol-hacked-event-700d747b309c""]",[],,exact_contract_basename,True,True,,,2020-12-29,,,,blocked_missing_onchain_and_availability_evidence,"[""missing:deployment_block"", ""missing:prediction_cutoff_block"", ""missing:source_availability_time"", ""missing:runtime_bytecode_hash_at_cutoff"", ""missing:outcome_adjudication_id""]",ethereum:0xe0b94a7bb45dd905c79bb1992c9879f40f1caed5,ee6a4a5f9fb9f1229e34,,,,,not_resolved_requires_archive_rpc
pickle,defihacklabs,ethereum,11303122,0x6847259b2b3a4c17e7c43c54409810af48ba5210,,ca2-3843aa138b13af762925,2020-11-21,Pickle Finance,Insufficient validation,src/test/2020-11/Pickle_exp.sol,ethereum,https://github.com/SunWeb3Sec/DeFiHackLabs/blob/main/past/2021/README.md,frozen_public_source_hashed,93b19197192b409cf7360b9bfa564d474da5a115f9bf279a5b8cc61093dadab6,a60badf8ba8b49d7a818d8faba95f5f92214542caff298ac5a90b3ccdca24be9,"[""https://etherscan.io/tx/0xe72d4e7ba9b5af0cf2a8cfb1e30fd9f388df0ab3da79790be842bfbed11087b0"", ""https://github.com/banteg/evil-jar""]","[""0xe72d4e7ba9b5af0cf2a8cfb1e30fd9f388df0ab3da79790be842bfbed11087b0""]",,exact_contract_basename,True,True,,,2020-11-21,,,,blocked_missing_onchain_and_availability_evidence,"[""missing:deployment_block"", ""missing:prediction_cutoff_block"", ""missing:source_availability_time"", ""missing:runtime_bytecode_hash_at_cutoff"", ""missing:outcome_adjudication_id""]",ethereum:0x6847259b2b3a4c17e7c43c54409810af48ba5210,7f6b7229121b69cd8203,,,,,not_resolved_requires_archive_rpc
harvestfinance,defihacklabs,ethereum,11129473,0xf0358e8c3cd5fa238a29301d0bea3d63a17bedbe,,ca2-03a929a60d6ca387d4bb,2020-10-26,Harvest Finance,Flashloan Attack,src/test/2020-10/HarvestFinance_exp.sol,ethereum,https://github.com/SunWeb3Sec/DeFiHackLabs/blob/main/past/2021/README.md,frozen_public_source_hashed,93b19197192b409cf7360b9bfa564d474da5a115f9bf279a5b8cc61093dadab6,c41b70ddd318d13aaad01c2ebd818fb9f75d6e6f8efb1b1c53810f7555c3ef9a,"[""https://etherscan.io/tx/0x35f8d2f572fceaac9288e5d462117850ef2694786992a8c3f6d02612277b0877"", ""https://rekt.news/harvest-finance-rekt/""]","[""0x35f8d2f572fceaac9288e5d462117850ef2694786992a8c3f6d02612277b0877""]",,exact_contract_basename,True,True,,,2020-10-26,,,,blocked_missing_onchain_and_availability_evidence,"[""missing:deployment_block"", ""missing:prediction_cutoff_block"", ""missing:source_availability_time"", ""missing:runtime_bytecode_hash_at_cutoff"", ""missing:outcome_adjudication_id""]",ethereum:0xf0358e8c3cd5fa238a29301d0bea3d63a17bedbe,6923fc09ab7a3f9df438,,,,,not_resolved_requires_archive_rpc
sushi_badger_digg,defihacklabs,ethereum,11720049,0xe11fc0b43ab98eb91e9836129d1ee7c3bc95df50,shanghai,ca2-b68f8de37da66632724d,2021-01-25,Sushi Badger Digg,Sandwich attack,src/test/2021-01/Sushi_Badger_Digg_exp.sol,mainnet,https://github.com/SunWeb3Sec/DeFiHackLabs/blob/main/past/2021/README.md,frozen_public_source_hashed,93b19197192b409cf7360b9bfa564d474da5a115f9bf279a5b8cc61093dadab6,6cc76f4b0a801f0f122487a783e4e2c3b59a2fb508f651b6ead428f2cfd64ad7,"[""https://cmichel.io/replaying-ethereum-hacks-sushiswap-badger-dao-digg/""]",[],,exact_contract_basename,True,True,,,2021-01-25,,,,blocked_missing_onchain_and_availability_evidence,"[""missing:deployment_block"", ""missing:prediction_cutoff_block"", ""missing:source_availability_time"", ""missing:runtime_bytecode_hash_at_cutoff"", ""missing:outcome_adjudication_id""]",ethereum:0xe11fc0b43ab98eb91e9836129d1ee7c3bc95df50,4b0a28c386fce5e952a4,,,,,not_resolved_requires_archive_rpc
lendfme,defihacklabs,ethereum,9899725,0x0eee3e3828a45f7601d5f54bf49bb01d1a9df5ea,,ca2-57582b3e77f95ed74d3f,2020-04-19,LendfMe,ERC777 Reentrancy,src/test/2020-04/LendfMe_exp.sol,mainnet,https://github.com/SunWeb3Sec/DeFiHackLabs/blob/main/past/2021/README.md,frozen_public_source_hashed,93b19197192b409cf7360b9bfa564d474da5a115f9bf279a5b8cc61093dadab6,e677aa96067ef58ffc2bfdf68f5648eb770e9cd210e39d3ed6eb2de7cb477191,"[""https://peckshield.medium.com/uniswap-lendf-me-hacks-root-cause-and-loss-analysis-50f3263dcc09""]",[],,exact_contract_basename,True,True,,,2020-04-19,,,,blocked_missing_onchain_and_availability_evidence,"[""missing:deployment_block"", ""missing:prediction_cutoff_block"", ""missing:source_availability_time"", ""missing:runtime_bytecode_hash_at_cutoff"", ""missing:outcome_adjudication_id""]",ethereum:0x0eee3e3828a45f7601d5f54bf49bb01d1a9df5ea,2015faff40e58af84657,,,,,not_resolved_requires_archive_rpc
yearn_ydai,defihacklabs,ethereum,11792183,0xacd43e627e64355f1861cec6d3a6688b31a6f952,shanghai,ca2-b6eef501c6bfb6ae40e1,2021-02-04,Yearn YDai,Slippage proection absent,src/test/2021-02/Yearn_ydai_exp.sol,ethereum,https://github.com/SunWeb3Sec/DeFiHackLabs/blob/main/past/2021/README.md,frozen_public_source_hashed,93b19197192b409cf7360b9bfa564d474da5a115f9bf279a5b8cc61093dadab6,089690c08fc86910dc446f979c46e99708d6ddce64e4303b043f4387d8cc8df8,"[""https://etherscan.io/tx/0x59faab5a1911618064f1ffa1e4649d85c99cfd9f0d64dcebbc1af7d7630da98b"", ""https://github.com/yearn/yearn-security/blob/master/disclosures/2021-02-04.md""]","[""0x59faab5a1911618064f1ffa1e4649d85c99cfd9f0d64dcebbc1af7d7630da98b""]",,exact_contract_basename,True,True,,,2021-02-04,,,,blocked_missing_onchain_and_availability_evidence,"[""missing:deployment_block"", ""missing:prediction_cutoff_block"", ""missing:source_availability_time"", ""missing:runtime_bytecode_hash_at_cutoff"", ""missing:outcome_adjudication_id""]",ethereum:0xacd43e627e64355f1861cec6d3a6688b31a6f952,58ef408921812e890538,,,,,not_resolved_requires_archive_rpc
uranium,defihacklabs,bsc,6920000,0xa943ea143cd7e79806d670f4a7cf08f8922a454f,shanghai,ca2-36bcb163bd23551701cc,2021-04-28,Uranium,Miscalculation,src/test/2021-04/Uranium_exp.sol,bsc,https://github.com/SunWeb3Sec/DeFiHackLabs/blob/main/past/2021/README.md,frozen_public_source_hashed,93b19197192b409cf7360b9bfa564d474da5a115f9bf279a5b8cc61093dadab6,9d3eb5e27031d69b5e57b9f3040bd23c3bfd10c631389c6b250f9f8f3d98d7fd,"[""https://bscscan.com/tx/0x5a504fe72ef7fc76dfeb4d979e533af4e23fe37e90b5516186d5787893c37991"", ""https://twitter.com/FrankResearcher/status/1387347025742557186""]","[""0x5a504fe72ef7fc76dfeb4d979e533af4e23fe37e90b5516186d5787893c37991""]",,exact_contract_basename,True,True,,,2021-04-28,,,,blocked_missing_onchain_and_availability_evidence,"[""missing:deployment_block"", ""missing:prediction_cutoff_block"", ""missing:source_availability_time"", ""missing:runtime_bytecode_hash_at_cutoff"", ""missing:outcome_adjudication_id""]",bsc:0xa943ea143cd7e79806d670f4a7cf08f8922a454f,7abbcd8ea7ea338bab9d,,,,,not_resolved_requires_archive_rpc
