case_id,case_name,chain,input_row_sha256,envelope_path,envelope_sha256,counter_authority,historical_snapshot_status,historical_snapshot_source_receipt_sha256,historical_snapshot_identity_receipt_sha256,historical_snapshot_source_provider_family,historical_snapshot_identity_provider_family,historical_snapshot_schema_valid,historical_snapshot_hash_bound,case_artifact_path,case_artifact_sha256
ca2-a315156294181711e836,3913,bsc,0719471917216b1401db1b7fe750fc68921416a75bd7bf289c8fcb46044ef328,,,false,,,,,,false,false,,
ca2-c9c1817a98610ef26f01,88mph,ethereum,7cf631ddad3b80c72d2b8812a4d71f4850c19aa3091c9a1b0664b5332c33c079,,,false,,,,,,false,false,,
ca2-399010b287f06a594153,98_token,bsc,248a223bd2f5bee51fc7f2b9ed33ce81f3e2d7c587ebc6a7a79936320480313b,,,false,,,,,,false,false,,
ca2-3c88785c0f3b4867d7f4,aave_boost,ethereum,d2a8682780592a52a280befd4266674221d3eaeb026fd2f7f3901c35d9ecb1bc,,,false,,,,,,false,false,,
ca2-7727ada64ae1e882eaac,abcc_app,bsc,aa8f433fbc725528ce800424fc9b7d5dca716347229ee059897b1bef2afffbbb,,,false,,,,,,false,false,,
ca2-bd6decf7c8f8dfbaca40,adc,ethereum,92654fab5374f7c1d8d82cae2568891c28b688def53dfc61d7f8f11ff6780adf,,,false,,,,,,false,false,,
ca2-d936d709679fed1fbeae,aes,bsc,f0bbc63ee599f1a90b54889a3f0eb39e8ae524327b68b76d6f9b049a9566652e,,,false,,,,,,false,false,,
ca2-3f7bb52435313429cfa7,affinedefi,ethereum,9497d9294a499b1d104343b3716b3b6c0e181b2f134a66a1c137598e386508a6,,,false,,,,,,false,false,,
ca2-c5f49d371d24304e62b2,ais,bsc,001ab3b037dac3a97af0cd91eb6e8ec0bafba1ae28cc41242724f643f0e74fa1,,,false,,,,,,false,false,,
ca2-9ccf44443a293b02fdd3,aizpttoken,bsc,a585ae6f3d7166a71d17aa6d13bae21eb059921d635219336b0217117ca3ea26,,,false,,,,,,false,false,,
ca2-8c2839dc60456ec95380,akutarnft,ethereum,f3993adf03af0e6d8298e72dc77ff390f6a0ab81dfdd6ae5688269ebf59873a8,,,false,,,,,,false,false,,
ca2-ad9d57e62841ea9096b7,alkemi_earn,ethereum,75b2289c4113f8cf4bc2b1f32ad90abda0deac450b98b29a26538374973fe068,,,false,,,,,,false,false,,
ca2-feebcd26919bea5b0014,alkimiya_io,ethereum,93657560bfeb582737de11bc95433bde49b084f07a76674955780b744df64128,,,false,,,,,,false,false,,
ca2-c3da8c67aae06b7ecce1,allbridge,bsc,d710abe7bdebb64fe9b7f286dfae4962fa1d015d5b02146edf7a9342828a0853,,,false,,,,,,false,false,,
ca2-3ef6014a26a0b205a68e,allbridge_2,bsc,bc47e11218336a6d470f9c8f615941f953e0ca294e26bf7e21c213b293764768,,,false,,,,,,false,false,,
ca2-b5a8e682aba465a7a0f6,alp,bsc,0aa718577648685ef90829e3aaae7ca0b3f913b229656120bbd57da8231f1d7a,,,false,,,,,,false,false,,
ca2-627fce499908ff82ad6d,anch,bsc,6e30e3a88cb576ad0d25b47f4e95a402aeb37c815eea38bc0d870360333bb075,,,false,,,,,,false,false,,
ca2-a13694fcc2f9f05dda72,annex,bsc,2c954b467b441b9991eebecb45b534ae3694a8e640ba3fe9b7cfb1c91ea5b019,,,false,,,,,,false,false,,
ca2-a3eb07131d27e069a3d8,anyswap,ethereum,0c52d4d5420a3850edd8f4c40e25e8335db60ddc327e8545e0ffcd8294fc9274,,,false,,,,,,false,false,,
ca2-7e2e4e06ad319c9c87c0,apedao,bsc,d0eec9429543ca72e4e8a52c6c3a7d3c3bdaa09a1e10043da2560ffd185204ee,,,false,,,,,,false,false,,
ca2-1d880dd41ec2f04c67b7,apemaga,ethereum,4db785aca5f55a8f6d9eaff6e2e074e8bf48bc36cbd35164f96df6a9156dc53e,,,false,,,,,,false,false,,
ca2-eaff56dcacef885f96a2,ark,bsc,4456fab7b531128bcae9f7501383ff93e93da45ca23716a6280aca38a63a115b,,,false,,,,,,false,false,,
ca2-f869139a8dcac0542bd9,ast,bsc,959cfca3933844454d31e7a281c2e7a5c413821ec3c3f183ea5729c3ee077768,,,false,,,,,,false,false,,
ca2-746ec2d0566ffbda9c0f,astrid,ethereum,67be1ab4c686788a5373481e05ce37789e00bbe122903984e8a266a5f6a37a92,,,false,,,,,,false,false,,
ca2-8f02fa85c8202388bdf3,atk,bsc,297072f7a7472d97c2499c34957f5ce379ef896da38e001e26bf1d87c6dcaa48,,,false,,,,,,false,false,,
ca2-d6ba3397ed249bc3a420,atm,bsc,8177560fd3d13817a1ef7217de8d94cc5aa61a269838d559000b682a41fce1da,,,false,,,,,,false,false,,
ca2-a6061f6cad3a5884d6d4,auctus,ethereum,212f71d7c8b73698c9bf658664ff321157a8b784aaa7c43bc489aae75ee0aa35,,,false,,,,,,false,false,,
ca2-96f82ac8ed9b6f3e4f14,audius,ethereum,8799f23c7892648bbbbee0f08d448cb80adff7bf188a93db0e8c6d3986959062,,,false,,,,,,false,false,,
ca2-b141324cdd440e7feb3e,aur,bsc,6dd8f967b432bb6bbad62cd03d943dd3371d85a0578122118b42244652d56174,,,false,,,,,,false,false,,
ca2-31fe70569e5c85e1450b,axioma,bsc,476b10513819bc732f8c1a3aaa6679487133215fd870e8bb520df1eeb33695b1,,,false,,,,,,false,false,,
ca2-1a73db8dcf62dc8e4419,babydogecoin,bsc,b8abf9f3333f9c7eaaf5a20337902a1f060f32d25dc4841364e15574a88e7078,,,false,,,,,,false,false,,
ca2-26661d7a70b3c3c3ab9e,babydogecoin02,bsc,c9a6110d5837192c9dc7b2c3bacb348faeec5b530e916a967e29068d566ca50e,,,false,,,,,,false,false,,
ca2-e5a8dccafb3c4f63fdb2,babyswap,bsc,a7ec92368bfab363181bcc556c8709f9cbba5fe90916b48e7c9ee2a3a82b95b6,,,false,,,,,,false,false,,
ca2-1dbdc2611cd24dc765b2,badguysbyrpf,ethereum,fde50e2f65604cc17be6a5f0d66bb3ae4be84e0a84ba609bfbe66b2f032bc8c0,,,false,,,,,,false,false,,
ca2-3049d2889726467cfdcb,balancer,ethereum,4feb89bd49aa89a9f1192ed7a17cc198f7a49a7c1caa57c2b28a1f80b558576a,,,false,,,,,,false,false,,
ca2-f056a955a865b551a342,balancer_20200628,ethereum,cfc5ee2a4485670ccf608212ef6f04beaeca1b00dd4279a0b3c7b0a4929b0191,,,false,,,,,,false,false,,
ca2-3ea99bf48860cd3d90e9,bamboo,bsc,e968640200ffaef6322052fb548b4ee92af90570f4f788a5d3f1eff4fa4cb62d,,,false,,,,,,false,false,,
ca2-0e06e67c5c9253228751,bancor,ethereum,805067949815c296dbd5eeaf83d48050e172027a6ab71f4a059a1bd5724ef36c,,,false,,,,,,false,false,,
ca2-003bb3e01f9c7c13410b,bankroll,bsc,9348a2ca0eb59d0d3e40895784afed363720dfe586027215f468deca49bec102,,,false,,,,,,false,false,,
ca2-98b03a49b7d20591238a,bankroll_network,bsc,f414b4af93cbd930c434c3e038ecab8f7d161417fe3bfd284ca7fedd7a36df41,,,false,,,,,,false,false,,
