case_id,case_name,chain,input_row_sha256,envelope_path,envelope_sha256,counter_authority,historical_snapshot_status,historical_snapshot_source_receipt_sha256,historical_snapshot_identity_receipt_sha256,historical_snapshot_source_provider_family,historical_snapshot_identity_provider_family,historical_snapshot_schema_valid,historical_snapshot_hash_bound,case_artifact_path,case_artifact_sha256
ca2-a315156294181711e836,3913,bsc,0719471917216b1401db1b7fe750fc68921416a75bd7bf289c8fcb46044ef328,cases/ca2-a315156294181711e836.json,f69fa542eb46be62f32058112c5c29cac9c1dd4eb4fb3bbac3602e9461ef5aea,false,,,,,,false,false,,
ca2-c9c1817a98610ef26f01,88mph,ethereum,7cf631ddad3b80c72d2b8812a4d71f4850c19aa3091c9a1b0664b5332c33c079,cases/ca2-c9c1817a98610ef26f01.json,308d8b18ec18b4557ba9fc6d17fc14ce384e5a0fb86b36d7a73bf53a50226e34,true,HISTORICAL_SNAPSHOT_VERIFIED,312d5906d87bf8cb49653b13954a310009d5af0dcfaa23f06f3bcc92c6e74c46,312d5906d87bf8cb49653b13954a310009d5af0dcfaa23f06f3bcc92c6e74c46,alchemy,infura,true,true,cases/ca2-c9c1817a98610ef26f01.json,652577f470409dcb3987c14f2e7d9a26ea7689b2c33ae49e7ff5ee6205810490
ca2-399010b287f06a594153,98_token,bsc,248a223bd2f5bee51fc7f2b9ed33ce81f3e2d7c587ebc6a7a79936320480313b,cases/ca2-399010b287f06a594153.json,26a1af537159fa8cc656b17a2e22c18193edc5f289cb89155c1a3decf6d6a1df,false,,,,,,false,false,,
ca2-3c88785c0f3b4867d7f4,aave_boost,ethereum,d2a8682780592a52a280befd4266674221d3eaeb026fd2f7f3901c35d9ecb1bc,cases/ca2-3c88785c0f3b4867d7f4.json,7fcbe8200807282f8f024ab0acae530d0c798b198e61b80f6a65c47b66529dd3,true,HISTORICAL_SNAPSHOT_VERIFIED,0cfd182017fbf41b30b2399569b7f8d133b2da381106e83d23bf2dbf7296b7c7,0cfd182017fbf41b30b2399569b7f8d133b2da381106e83d23bf2dbf7296b7c7,alchemy,infura,true,true,cases/ca2-3c88785c0f3b4867d7f4.json,a907213d5b11e71d47ca5c2919b48d2a2c4944a8d10dff0bdc05fb3678d6fbfe
ca2-7727ada64ae1e882eaac,abcc_app,bsc,aa8f433fbc725528ce800424fc9b7d5dca716347229ee059897b1bef2afffbbb,cases/ca2-7727ada64ae1e882eaac.json,f92dcf13d847884e46ced2726b9c8d3ac7df079911c158d6ed02f14855672a29,false,,,,,,false,false,,
ca2-bd6decf7c8f8dfbaca40,adc,ethereum,92654fab5374f7c1d8d82cae2568891c28b688def53dfc61d7f8f11ff6780adf,cases/ca2-bd6decf7c8f8dfbaca40.json,0430fb6575bf75224ffe00d67af373d6b8c68d78229383886cf477615446a810,true,HISTORICAL_SNAPSHOT_VERIFIED,2be08b076d068fd16462f4c9295bca2802b7c50ca4ddea970b7231fb10b944ab,2be08b076d068fd16462f4c9295bca2802b7c50ca4ddea970b7231fb10b944ab,alchemy,infura,true,true,cases/ca2-bd6decf7c8f8dfbaca40.json,9d076393c2786c19ee271b0eb10aaaff3dfdd2536957a15c54edcdb42baa90aa
ca2-d936d709679fed1fbeae,aes,bsc,f0bbc63ee599f1a90b54889a3f0eb39e8ae524327b68b76d6f9b049a9566652e,cases/ca2-d936d709679fed1fbeae.json,ebb3702a8f93c75997a1851e309f354aeefb06a84275de4dd51cdac680b47c3c,false,,,,,,false,false,,
ca2-3f7bb52435313429cfa7,affinedefi,ethereum,9497d9294a499b1d104343b3716b3b6c0e181b2f134a66a1c137598e386508a6,cases/ca2-3f7bb52435313429cfa7.json,f7c56d73689a84ab06ee96dd9366e37b5c6d3069b5d39e1359839f60b83e2128,true,HISTORICAL_SNAPSHOT_VERIFIED,e2232606f5ea23dd81ff4b9b73cbb8dc387cb924b6ed63848bc4d43337ac858d,e2232606f5ea23dd81ff4b9b73cbb8dc387cb924b6ed63848bc4d43337ac858d,alchemy,infura,true,true,cases/ca2-3f7bb52435313429cfa7.json,28475cb62c81a597113961002aab84e8e087b65c740b310b150d74cc3436811c
ca2-c5f49d371d24304e62b2,ais,bsc,001ab3b037dac3a97af0cd91eb6e8ec0bafba1ae28cc41242724f643f0e74fa1,cases/ca2-c5f49d371d24304e62b2.json,0168e01365c852f1297d6e0f76e4055f62b20524d237faec6f84f206ccb311f4,true,HISTORICAL_SNAPSHOT_VERIFIED,4680f7844193f9754c9d07121f5768d4eba8175031f33bc053948d3100bda236,4680f7844193f9754c9d07121f5768d4eba8175031f33bc053948d3100bda236,alchemy,infura,true,true,cases/ca2-c5f49d371d24304e62b2.json,53b33d02099e56014a255d3b775c72661964ae1e5f77ec4dcbb2ec71cc98d8ff
ca2-9ccf44443a293b02fdd3,aizpttoken,bsc,a585ae6f3d7166a71d17aa6d13bae21eb059921d635219336b0217117ca3ea26,cases/ca2-9ccf44443a293b02fdd3.json,e96e388eecce9a73f0900e4cabc1565881dabfa6dcb95b2eeaa912d2933c92fb,true,HISTORICAL_SNAPSHOT_VERIFIED,83c588a63f39991be58cb7f80ae3d0c784ad6ec32a8b834cb35374545ac95303,83c588a63f39991be58cb7f80ae3d0c784ad6ec32a8b834cb35374545ac95303,alchemy,infura,true,true,cases/ca2-9ccf44443a293b02fdd3.json,38c57111b2b739dca38bdb46476234311cfe8b3f9efd2d384df79dcaeadc65d8
ca2-8c2839dc60456ec95380,akutarnft,ethereum,f3993adf03af0e6d8298e72dc77ff390f6a0ab81dfdd6ae5688269ebf59873a8,cases/ca2-8c2839dc60456ec95380.json,5195af1f6bdcca3f1127515fc312a028230490cab2b5bb20e9c1fc2fcf6b6f4c,false,,,,,,false,false,,
ca2-ad9d57e62841ea9096b7,alkemi_earn,ethereum,75b2289c4113f8cf4bc2b1f32ad90abda0deac450b98b29a26538374973fe068,cases/ca2-ad9d57e62841ea9096b7.json,665d62f8bed009aef8a4b32434065d5ca583de4e957f98adbfa93bb7e5c23ccd,true,HISTORICAL_SNAPSHOT_VERIFIED,f9c56cafe43c56b5ba3c5ed4b7f447a5bf2be0ccfea160b20ca606ccbbe41486,f9c56cafe43c56b5ba3c5ed4b7f447a5bf2be0ccfea160b20ca606ccbbe41486,alchemy,infura,true,true,cases/ca2-ad9d57e62841ea9096b7.json,e4c56f2ff4f3566678bf773cebacfef3da82411e672e3e4083deb1a1125dedc9
ca2-feebcd26919bea5b0014,alkimiya_io,ethereum,93657560bfeb582737de11bc95433bde49b084f07a76674955780b744df64128,cases/ca2-feebcd26919bea5b0014.json,0322fc0e43516733f0e0dedb88d6cf6df9448a19e40896b6b95af332750112f0,true,HISTORICAL_SNAPSHOT_VERIFIED,17bb30888334019949f5ccf9f764f82baacfb3959b37c87235b0a819f7431d85,17bb30888334019949f5ccf9f764f82baacfb3959b37c87235b0a819f7431d85,alchemy,infura,true,true,cases/ca2-feebcd26919bea5b0014.json,96f1bcf543979af861dec4bef1484a80d5c586fbd14b65f7e11dc945861e84b7
ca2-c3da8c67aae06b7ecce1,allbridge,bsc,d710abe7bdebb64fe9b7f286dfae4962fa1d015d5b02146edf7a9342828a0853,cases/ca2-c3da8c67aae06b7ecce1.json,e07a1b0c3c09b343d200142b4660ceba954c1344d9abad1071ede451c32a5148,true,HISTORICAL_SNAPSHOT_VERIFIED,c123caca279781aa4a6077335f713dd3e3a44e252aedab7017d7d4115c38c366,c123caca279781aa4a6077335f713dd3e3a44e252aedab7017d7d4115c38c366,alchemy,infura,true,true,cases/ca2-c3da8c67aae06b7ecce1.json,bf249bb3cda965aadd362270dc65005ff6f6a919098aa4fa6127d637072b645c
ca2-3ef6014a26a0b205a68e,allbridge_2,bsc,bc47e11218336a6d470f9c8f615941f953e0ca294e26bf7e21c213b293764768,cases/ca2-3ef6014a26a0b205a68e.json,026342b160839e9cc501e235e9612cfa5c35d437191276e2dc0ef227a50373e1,true,HISTORICAL_SNAPSHOT_VERIFIED,9ee0355fe2f62a51a38ee62bd19e73bff84bf3fd378fac45bfca8d70df3217f8,9ee0355fe2f62a51a38ee62bd19e73bff84bf3fd378fac45bfca8d70df3217f8,alchemy,infura,true,true,cases/ca2-3ef6014a26a0b205a68e.json,e560b10130738b5851616f26f3a9fc81febd165b26a04f128f80ffe7a76ecb58
ca2-b5a8e682aba465a7a0f6,alp,bsc,0aa718577648685ef90829e3aaae7ca0b3f913b229656120bbd57da8231f1d7a,cases/ca2-b5a8e682aba465a7a0f6.json,b4d5c4dd8e1443cc2add7261287bfce23a0796944f2916e909dd6ef7584adc77,true,HISTORICAL_SNAPSHOT_VERIFIED,cd7494cb4de2264a05ba792c4d160c48f5d8c90b3298177558f36ff1eacfd5b6,cd7494cb4de2264a05ba792c4d160c48f5d8c90b3298177558f36ff1eacfd5b6,alchemy,infura,true,true,cases/ca2-b5a8e682aba465a7a0f6.json,ceb88cf0e6f7c6fc6d6499c8802f7593459df231b69a46f5125cfc81a4579b1e
ca2-627fce499908ff82ad6d,anch,bsc,6e30e3a88cb576ad0d25b47f4e95a402aeb37c815eea38bc0d870360333bb075,cases/ca2-627fce499908ff82ad6d.json,e80a58da8d58795f3d06cd3331295cfd0ecdb040e538fcfbe96ae2f86df2c024,true,HISTORICAL_SNAPSHOT_VERIFIED,5f7c8bc53d33700bd0208bb2eb4a6b80ead21e5c15af297e171af52568892c3c,5f7c8bc53d33700bd0208bb2eb4a6b80ead21e5c15af297e171af52568892c3c,alchemy,infura,true,true,cases/ca2-627fce499908ff82ad6d.json,2bf562a1eae2a157d3b393fe54215138c8e2df7086e6c36a6e043414aff0614c
ca2-a13694fcc2f9f05dda72,annex,bsc,2c954b467b441b9991eebecb45b534ae3694a8e640ba3fe9b7cfb1c91ea5b019,cases/ca2-a13694fcc2f9f05dda72.json,b2426af653e0c9ec4f77fea36c5e152603813c69aa525134c8bf4666ed2f8441,true,HISTORICAL_SNAPSHOT_VERIFIED,1668bb7b297d79a73caf31e4d08acdba31d792ec12b4df24d02ae5652655b7aa,1668bb7b297d79a73caf31e4d08acdba31d792ec12b4df24d02ae5652655b7aa,alchemy,infura,true,true,cases/ca2-a13694fcc2f9f05dda72.json,ab32c2c3c095f8b04c580397fd6bac98442035ee2ae684cae259e498839d0b62
