case_id,case_name,chain,input_row_sha256,envelope_path,envelope_sha256,counter_authority,historical_snapshot_status,historical_snapshot_source_receipt_sha256,historical_snapshot_identity_receipt_sha256,historical_snapshot_source_provider_family,historical_snapshot_identity_provider_family,historical_snapshot_schema_valid,historical_snapshot_hash_bound,case_artifact_path,case_artifact_sha256
ca2-5ec981d26607ce3dec41,- ThoreumFinance,bsc,59da8fdd67d895e05e3eb415c109c1bb28d1416e6bfb6e7b70625e4eaa2f1240,cases/ca2-5ec981d26607ce3dec41.json,34a014acab2df347076b30dbc3c57bec52c18e5118a447d9f3da23b0bb5bbd0f,true,HISTORICAL_SNAPSHOT_VERIFIED,05edddd45d9a7e9557a070a9ff070c7ee36826bf5762723be77a15472b1c2d50,05edddd45d9a7e9557a070a9ff070c7ee36826bf5762723be77a15472b1c2d50,alchemy,infura,true,true,cases/ca2-5ec981d26607ce3dec41.json,48ffc70733ca187435ee8e4102ebdae76c656731ac726ba5a0823e7ede506451
ca2-c9c1817a98610ef26f01,88mph,ethereum,45a37210aad0a6002b9a69c89f8a8d7f8243bb0797c992dc1067b223b179dd2e,cases/ca2-c9c1817a98610ef26f01.json,fee28331da3dcbf42dc577c3ef1b8ab0dde5bbecb6774058162e0e1255d63966,true,HISTORICAL_SNAPSHOT_VERIFIED,312d5906d87bf8cb49653b13954a310009d5af0dcfaa23f06f3bcc92c6e74c46,312d5906d87bf8cb49653b13954a310009d5af0dcfaa23f06f3bcc92c6e74c46,alchemy,infura,true,true,cases/ca2-c9c1817a98610ef26f01.json,9c0e29f848320c7eb3bec2686c1fa72981e15af0b5465373959eb0b1e531e20d
ca2-6330139e9160d6464fd9,ATMBlindBox,bsc,bda3b3c4cdd9eaf5cd022152504ce35ccf423df50df9676fa13f44f05759fe0a,cases/ca2-6330139e9160d6464fd9.json,4c62523252140146c1c7a13c703a81a1c4167c3d7053106c25c677e582b9e1fc,true,HISTORICAL_SNAPSHOT_VERIFIED,c4c2c7b372db5a3196062dba8a481081e5bd2616741893336c3b83454e7b5276,c4c2c7b372db5a3196062dba8a481081e5bd2616741893336c3b83454e7b5276,alchemy,infura,true,true,cases/ca2-6330139e9160d6464fd9.json,69308038eb002513dc41d0e93217e2a6d6f8ec9718b7d76bf881c0582c68bdb0
ca2-ea9f778a9d9aef43fc02,ActivePoolUrgentRedemption,ethereum,e8a626c410a80d0262cc65279a3faab09c02b13a796b89fae7f9cec722ec7efe,cases/ca2-ea9f778a9d9aef43fc02.json,790ad3125be11ad26ca29b3f0ad642dd8663fa4757e761577b2cf36dd18a0848,true,HISTORICAL_SNAPSHOT_VERIFIED,5381211fd1c4be4cd8429061c701f1ea18b596954e49def47aab35acd6f31e3f,5381211fd1c4be4cd8429061c701f1ea18b596954e49def47aab35acd6f31e3f,alchemy,infura,true,true,cases/ca2-ea9f778a9d9aef43fc02.json,aad34c7aa705dac10ac611144c4f13d2e8fabf7787c76e59cfa1b2ce0cdea800
ca2-5600aac7a0790bee4d8c,AutoPooledTradingBot,ethereum,1833a7f26d81283ee606a937184e4fc6c98025096d855baa01929acdd7f68e8d,cases/ca2-5600aac7a0790bee4d8c.json,3fdeae6c90143ea2987d31f70bcd4944389eb04b722ef1b3cd0d9acb05d67fa9,true,HISTORICAL_SNAPSHOT_VERIFIED,1f6e7860f305575e04819ca02a389779d5a8606f8e2b24cb478b30875daa617c,1f6e7860f305575e04819ca02a389779d5a8606f8e2b24cb478b30875daa617c,alchemy,infura,true,true,cases/ca2-5600aac7a0790bee4d8c.json,bb5786ab87b555190925c7c88faa68d4f4fb53da8afaad69e19fd6d47dab4147
ca2-5e2c8b988ed2dd09b840,BaseBebopSettlement,base,9783d7d2bf87ce5ec347e58f708aa069a72002c1a50cf4379971bcd84353fb34,cases/ca2-5e2c8b988ed2dd09b840.json,dc8fbc9ea97b970496f7e577445bdd8e2aababa2d762b732e5113a7d1504b773,true,HISTORICAL_SNAPSHOT_VERIFIED,80d78f3b013ad4d590f916a5336257e46861b774b88817bb58664076d084099e,80d78f3b013ad4d590f916a5336257e46861b774b88817bb58664076d084099e,alchemy,infura,true,true,cases/ca2-5e2c8b988ed2dd09b840.json,0e5c03c9a79cb04d7e8a8b1bab0463b9a2bfbc654c6d4a19463193b943f3cef7
ca2-324926ca92042b3a084e,BetaPresale,bsc,90a55a646a6f508b6813781b5213818eb9c680936f8bd4d75af3a396e28cbcad,cases/ca2-324926ca92042b3a084e.json,f95c92239e34511b083af52f1117f6dcc1f84f16d312eeb80c48b3b7ab754316,true,HISTORICAL_SNAPSHOT_VERIFIED,4ae63441fef89850b598b44ffba0a4648ffa32256f5bc935f70852f01590efad,4ae63441fef89850b598b44ffba0a4648ffa32256f5bc935f70852f01590efad,alchemy,infura,true,true,cases/ca2-324926ca92042b3a084e.json,f45c2b187d6a03dcb1ae8718c092741e88f486ef94f54c725aeb1b19d79548d3
ca2-5d15ea73c6fd71a4407d,BitCrown,bsc,9bcee2f2ca227dc0a9d77c8ca8f11ea3cfc14327ba3cc11a440673a55942ae78,cases/ca2-5d15ea73c6fd71a4407d.json,cb2695b34979a4419b3a4ecc08599091ba3d85c64daac70172abaf63ea50ddae,true,HISTORICAL_SNAPSHOT_VERIFIED,659494c41d9e37cfcb8a8d0bc41b6d70435ef3338a845c90582a428d3b14c451,d624ca847361d60e2e1d2988dbde9b3fbdc16dd52125ab9ce14e935e48a21a2d,alchemy,infura,true,true,cases/ca2-5d15ea73c6fd71a4407d.json,72edab24bcc61d5f14f59f0983fbdc24b2e936ae8dabf0a0a1f1b67ca064d81a
ca2-2fce7b426138574319d9,Bitallx,bsc,caed93e38b029c6fe08a28ab8ae886c4b513e98381161bf78f13488baefbdc72,cases/ca2-2fce7b426138574319d9.json,c4a99d2796ef69d73a3406b6b0afe7502d7e83c8b19a9d46d1ad8b5bc246a912,true,HISTORICAL_SNAPSHOT_VERIFIED,687e89193934ae97b9131e680e537feb43600cc42824acbd5d80ee626baf03a2,687e89193934ae97b9131e680e537feb43600cc42824acbd5d80ee626baf03a2,alchemy,infura,true,true,cases/ca2-2fce7b426138574319d9.json,3f740ed2b86d8047172d05b074407e38f4f92e4eb3901e13a21db417a79743ec
ca2-b801a4d001ea7844b2c0,CookFinanceIssuance,bsc,353d1289291f7e39ed73e76c835d6f2d11b1dc67716b65e1db09b05ca25c7a57,cases/ca2-b801a4d001ea7844b2c0.json,a02105908bf3ec3af0d61f1ccbe07d874a620fe3cc0ea32bc5190d9f3192dc14,true,HISTORICAL_SNAPSHOT_VERIFIED,281b806a75f5a5997ba797b9779704c2ee90452624f6d482bc164afa48d41ba7,b00f2cfb836b43943620b180c7f1102a4fdad24ef6627ff4735a26c3b73644fe,alchemy,infura,true,true,cases/ca2-b801a4d001ea7844b2c0.json,fbcc74aadbe0bcd69449a50475e2de148dcee6e5d179c6b3a9e29c4ac74affd7
