case_name,match_status,match_method,candidate_dates,selected_date
bancor,matched,exact_contract_basename,"[""20200618""]",2020-06-18
opyn,matched,exact_contract_basename,"[""20200804""]",2020-08-04
bzx,matched,frozen_date_override,"[""20200912"", ""20231202""]",2020-09-12
cover,matched,exact_contract_basename,"[""20201229""]",2020-12-29
pickle,matched,exact_contract_basename,"[""20201121""]",2020-11-21
harvestfinance,matched,exact_contract_basename,"[""20201026""]",2020-10-26
sushi_badger_digg,matched,exact_contract_basename,"[""20210125""]",2021-01-25
lendfme,matched,exact_contract_basename,"[""20200419""]",2020-04-19
yearn_ydai,matched,exact_contract_basename,"[""20210204""]",2021-02-04
uranium,matched,exact_contract_basename,"[""20210428""]",2021-04-28
spartan,matched,exact_contract_basename,"[""20210502""]",2021-05-02
dodo_flashloan,matched,exact_contract_basename,"[""20210308""]",2021-03-08
pancakebunny,matched,exact_contract_basename,"[""20210519""]",2021-05-19
burgerswap,matched,exact_contract_basename,"[""20210527""]",2021-05-27
88mph,matched,exact_contract_basename,"[""20210607""]",2021-06-07
eleven,matched,exact_contract_basename,"[""20210622""]",2021-06-22
xwin,matched,exact_contract_basename,"[""20210625""]",2021-06-25
cream,matched,exact_contract_basename,"[""20210830""]",2021-08-30
xsurge,matched,exact_contract_basename,"[""20210817""]",2021-08-17
nowswap,matched,exact_contract_basename,"[""20210915""]",2021-09-15
nimbus,matched,exact_contract_basename,"[""20210915""]",2021-09-15
waultfinance,matched,exact_contract_basename,"[""20210804""]",2021-08-04
sushimiso,matched,exact_contract_basename,"[""20210916""]",2021-09-16
balancer_20200628,matched,exact_contract_basename,"[""20200628""]",2020-06-28
mono,matched,exact_contract_basename,"[""20211130""]",2021-11-30
ploutoz,matched,exact_contract_basename,"[""20211123""]",2021-11-23
nervebridge,matched,exact_contract_basename,"[""20211214""]",2021-12-14
indexedfinance,matched,exact_contract_basename,"[""20211015""]",2021-10-15
visor,matched,exact_contract_basename,"[""20211221""]",2021-12-21
julswap,matched,exact_contract_basename,"[""20210527""]",2021-05-27
pancakehunny,matched,exact_contract_basename,"[""20210603""]",2021-06-03
valuedefi,matched,exact_contract_basename,"[""20210508""]",2021-05-08
tecraspace,matched,exact_contract_basename,"[""20220204""]",2022-02-04
sandbox,matched,exact_contract_basename,"[""20220208""]",2022-02-08
compoundtusd,matched,exact_contract_basename,"[""20220322""]",2022-03-22
bearn,matched,exact_contract_basename,"[""20210516""]",2021-05-16
anyswap,matched,exact_contract_basename,"[""20220118""]",2022-01-18
auctus,matched,exact_contract_basename,"[""20220326""]",2022-03-26
paraluni,matched,exact_contract_basename,"[""20220313""]",2022-03-13
qubit,matched,exact_contract_basename,"[""20220128""]",2022-01-28
revest,matched,exact_contract_basename,"[""20220327""]",2022-03-27
umbrella,matched,exact_contract_basename,"[""20220320""]",2022-03-20
cream_2,matched,exact_contract_basename,"[""20211027""]",2021-10-27
akutarnft,matched,exact_contract_basename,"[""20220423""]",2022-04-23
rikkei,matched,exact_contract_basename,"[""20220415""]",2022-04-15
gym_1,matched,exact_contract_basename,"[""20220409""]",2022-04-09
cftoken,matched,exact_contract_basename,"[""20220411""]",2022-04-11
rari,matched,exact_contract_basename,"[""20220430""]",2022-04-30
wdoge,matched,exact_contract_basename,"[""20220424""]",2022-04-24
zeed,matched,exact_contract_basename,"[""20220421""]",2022-04-21
bayc_apecoin,matched,exact_contract_basename,"[""20220517""]",2022-05-17
saddle,matched,exact_contract_basename,"[""20220430""]",2022-04-30
discover,matched,exact_contract_basename,"[""20220606""]",2022-06-06
hackdao,matched,exact_contract_basename,"[""20220524""]",2022-05-24
inversefinance,matched,exact_contract_basename,"[""20220616""]",2022-06-16
gym_2,matched,exact_contract_basename,"[""20220608""]",2022-06-08
flippazone,matched,exact_contract_basename,"[""20220706""]",2022-07-06
lpc,matched,exact_contract_basename,"[""20220725""]",2022-07-25
spacegodzilla,matched,exact_contract_basename,"[""20220713""]",2022-07-13
snood,matched,exact_contract_basename,"[""20220618""]",2022-06-18
anch,matched,exact_contract_basename,"[""20220809""]",2022-08-09
audius,matched,frozen_date_override,"[""20220723"", ""20260101""]",2022-07-23
