case_name,chain,target_contract_address,fork_block_number,required_queries
bancor,ethereum,0x5f58058c0ec971492166763c8c22632b583f667f,10307563,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
opyn,ethereum,0x951d51baefb72319d9fbe941e1615938d89abfe2,10592516,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
bzx,ethereum,0xb983e01458529665007ff7e0cddecdb74b967eb6,10852715,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
cover,ethereum,0xe0b94a7bb45dd905c79bb1992c9879f40f1caed5,11542309,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
pickle,ethereum,0x6847259b2b3a4c17e7c43c54409810af48ba5210,11303122,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
harvestfinance,ethereum,0xf0358e8c3cd5fa238a29301d0bea3d63a17bedbe,11129473,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
sushi_badger_digg,ethereum,0xe11fc0b43ab98eb91e9836129d1ee7c3bc95df50,11720049,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
lendfme,ethereum,0x0eee3e3828a45f7601d5f54bf49bb01d1a9df5ea,9899725,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
yearn_ydai,ethereum,0xacd43e627e64355f1861cec6d3a6688b31a6f952,11792183,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
uranium,bsc,0xa943ea143cd7e79806d670f4a7cf08f8922a454f,6920000,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
spartan,bsc,0x3de669c4f1f167a8afbc9993e4753b84b576426f,7048832,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
dodo_flashloan,ethereum,0x051ebd717311350f1684f89335bed4abd083a2b6,12000000,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
pancakebunny,bsc,0x633e538ecf0bee1a18c2edfe10c4da0d6e71e77b,7556330,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
burgerswap,bsc,0x7ac55ac530f2c29659573bde0700c6758d69e677,7781159,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
