architecture_proxy_pattern,chain,code_pattern_family,code_size_bytes,complexity_class,contract_address,contract_age_days_at_risk_entry,event_observed,event_or_censoring_time_utc,event_time_source_sha256,latency_seconds,mechanism_family,protocol_family,provenance_record_sha256,reference_id,reference_record_sha256,risk_entry_source_sha256,risk_entry_time_utc,source_verified_at_cutoff,timing_precision
unknown,bsc,21aaaee65b8888b84b3233f12dea4e2077bf5c8c5e51ae3e1a0e9da53308f44a,14981,unknown,0x2607118d363789f841d952f02e359bfa483955f9,1,True,2024-08-12T04:52:36Z,7b678cd1f489f12473a9673f0e8e5be21c1ba85b402c986ed099e2af57c2b67d,4862153,business logic flaw,unknown,95bd4caa5818a5a6994cdac519d10af347a6abe5bc05954faa0b3e0eda86730c,ca2-00003c2c7afe8e9ef32d,21d7dc7e29d403df92c9ca9f11b98e8182c1966566f02e2e8e0d6d750b20318b,7b678cd1f489f12473a9673f0e8e5be21c1ba85b402c986ed099e2af57c2b67d,2024-06-16T22:16:43Z,False,SECONDS
eip1967:0xeb3e6e2a30b2c23ac3442fbb25d6fe2fe495e3c3,bsc,f93c61e8b3de6073221f7fd5f8d071204e4943bcc8b4f4150a9634aa79da21aa,2104,unknown,0x977087422c008233615b572fbc3f209ed300063a,1,True,2023-05-01T13:11:12Z,91b9eee3ae4d4ec14fed69911538b8526ab236abc4c68144255278a84af4245c,6041898,business logic flaw,unknown,ac6bb103300429628f4f9d151fd79cdf6221a8c4cf4814d20d264d90200da0d3,ca2-001b14467ef9b84b416a,87c002f616cc40a8ed78167e1409a6d94dc8d167172b7f10a57aeabcfcb58fb4,91b9eee3ae4d4ec14fed69911538b8526ab236abc4c68144255278a84af4245c,2023-02-20T14:52:54Z,False,SECONDS
unknown,bsc,c77592aac15a0cbc9817dae4496968f1469474dd65c6a46caf790c0880b959b4,5676,unknown,0x564d4126af2b195ffaa7fb470ed658b1d9d07a54,1,True,2024-09-22T16:50:55Z,db1302ebc02c695c4890c6d8fc31dab54e0253d4598752ace7f2b3bf34b25b7c,111592620,incorrect input validation,unknown,c14d9c91a2ee4b8f8e42429a59911faaaa530e826c4e602f34a0733ffba3905f,ca2-003bb3e01f9c7c13410b,7792ed890ed4167f69676deeedb2f4cbc2886ad6df1ca5f3416fdbfbc9443ab1,db1302ebc02c695c4890c6d8fc31dab54e0253d4598752ace7f2b3bf34b25b7c,2021-03-11T02:53:55Z,False,SECONDS
unknown,bsc,e81f4169c2d18c154e7c1046f559e5c8a2e80c40648642a3b5088b8da4818628,18765,unknown,0x518281f34dbf5b76e6cdd3908a6972e8ec49e345,1,True,2023-02-16T22:48:00Z,87c74eeb8ed37367cacbacf598fd0aee3317bbba48463d8709aeeaa02832d94d,30965198,business logic flaw,unknown,7d66a762dc2b6978895379bdced27106a982cb9142c1dbb80f5bbe6fffc6bc30,ca2-0062515827b6285930f2,d4664d25818a953fefa2aa87f7d624c7f2de7b5cf60349653f08091e9f7ca3e3,87c74eeb8ed37367cacbacf598fd0aee3317bbba48463d8709aeeaa02832d94d,2022-02-23T13:21:22Z,False,SECONDS
unknown,ethereum,875eb641f321a0f222ae3f9d714c072fbd85d1102fb68f45103e3a66788317e6,16218,unknown,0x5f0ad32c00641d1d2bb628ff341e0d4bb4494318,1,True,2026-04-23T11:57:47Z,7126b67b1a384509a076946b4ee95908934be03a37df610a9cb2a50c385cf18c,136356,replacement_candidate,unknown,3ba621157b6f50c426eafac8ea937ef5dc0d65b326fbaf79bf31129b7f2f1931,ca2-0064b472336ec4210007,8009912acb642426bdee5dde986ff3de353883ac6b1795bf1616624bee64658e,7126b67b1a384509a076946b4ee95908934be03a37df610a9cb2a50c385cf18c,2026-04-21T22:05:11Z,False,SECONDS
unknown,bsc,240c3df31850ae066ce4aef677d036cfbe4473cb272ff7b81030435947970345,11271,unknown,0x700ee24c350739e323dcf6a50ae3e7a3329c86ae,1,True,2023-12-17T09:01:16Z,56a4cd7febedb699ec09e57b9f73163f7fb7cf3e305d9649d51170e0d8350b7f,17330817,price manipulation,unknown,e99311ef4f1d3cbce86daad8da0e9d475e5e4d402652237be4817dac06d7a551,ca2-0119280f82385cf56670,a2b03014d31f63b15ec1535cc9041a245a6fbc3dcf7a7c52dd9260ce5b0176af,56a4cd7febedb699ec09e57b9f73163f7fb7cf3e305d9649d51170e0d8350b7f,2023-05-30T18:54:19Z,False,SECONDS
unknown,ethereum,045e03cfc33569c62b43e0ac0fd7ab6a05f6246d63e11d7077225701c3d78533,16494,unknown,0x245a551ee0f55005e510b239c917fa34b41b3461,1,True,2025-07-20T02:50:11Z,5093e7eda8f671bd41b95fbc428bc066e8a986e72c2a6904b1c178b76ed54120,128680990,incorrect reward calculation,unknown,bf305a93720050e398c53eef136d6f4e631085486db067f85fd89c949281ca6d,ca2-01398b37f50bcbb8adc6,7ddb9ff6672db566f37f5c466e4b79ddde418bc32e26fdc2af3ed4f9b13e9b3d,5093e7eda8f671bd41b95fbc428bc066e8a986e72c2a6904b1c178b76ed54120,2021-06-21T18:07:01Z,False,SECONDS
unknown,ethereum,c4ed492600a10339a8b536ab3ba5c93073793b2d9b03f4dbad0f860621bdc42c,4984,unknown,0x8ebd6c7d2b79ca4dc5fbdec239a8bb0f214212b8,1,True,2023-09-05T09:57:23Z,165d5f43ecaefc58e07fdb800f706d537c3804a8d75539709248ad7b8c0d406a,9273420,rebasing logic issue,unknown,280b120c9454b50f9f928c8e9b224ca7555c57498b491be35dfa21312aa52927,ca2-0214cb74200856148943,1c60dcc5c7f92e049a64d4de017de47869312176d5eaed1f436fa59fd8e7a4bd,165d5f43ecaefc58e07fdb800f706d537c3804a8d75539709248ad7b8c0d406a,2023-05-21T02:00:23Z,False,SECONDS
unknown,bsc,11f7bd2ce9bc5c958e675f9f71068cf261aa0026e458a82e755243d3682c7017,6410,unknown,0x32b166e082993af6598a89397e82e123ca44e74e,1,True,2022-10-20T11:08:24Z,fce433b73908b1ffce9c21a7210b6055a05580d7d155536ae9579a0dcd33e5b3,3960920,transfer logic flaw,unknown,a8bb667b2f788b4521a5941336ec2c821d35f4a4c9d3d6d5ae84979a8efca500,ca2-024816e85dcbd941c181,76d36f2a89335676889fb2edf388570f0b1a233a490850a53142ca95eaa30d4d,fce433b73908b1ffce9c21a7210b6055a05580d7d155536ae9579a0dcd33e5b3,2022-09-04T14:53:04Z,False,SECONDS
eip1967:0x0d116ed40831fef8e21ece57c8455ae3b1e4041b,bsc,6f4cd91554d949a8ad8047da7543a1ed35a94f9b9b1e6c2159563c05819ba95c,2112,unknown,0xdbf1c56b2ad121fe705f9b68225378aa6784f3e5,1,True,2023-07-23T12:36:35Z,97569518c5410e781162d5fa662fa40e2d3a0c94b82512499c2c499360a80f6c,13141257,signature replay,unknown,9f849373f4dc22a4181b9cff0198878f9d93f1c3273aabb18ad16ba184577ed8,ca2-02e1298629b75e4dec93,a2c1b7d0157c39323f397ab8a19e87b147399980757745f5e1f4789dd3e4c5b8,97569518c5410e781162d5fa662fa40e2d3a0c94b82512499c2c499360a80f6c,2023-02-21T10:15:38Z,False,SECONDS
