case_name,incident_name,protocol_candidate,mechanism_raw,mechanism_candidate,protocol_family,primary_root_cause,confidence,evidence_references
bancor,Bancor Protocol,bancor,Access Control,authorization_failure,,,,
opyn,Opyn Protocol,opyn,msgValue in loop,unassigned,,,,
bzx,bzx,bzx,Incorrect transfer,unassigned,,,,
cover,Cover Protocol,cover,Incorrect calculation via cached data,unassigned,,,,
pickle,Pickle Finance,pickle,Insufficient validation,unassigned,,,,
harvestfinance,Harvest Finance,harvestfinance,Flashloan Attack,unassigned,,,,
sushi_badger_digg,Sushi Badger Digg,sushi_badger_digg,Sandwich attack,transaction_ordering_or_mev,,,,
lendfme,LendfMe,lendfme,ERC777 Reentrancy,unassigned,,,,
yearn_ydai,Yearn YDai,yearn_ydai,Slippage proection absent,unassigned,,,,
uranium,Uranium,uranium,Miscalculation,unassigned,,,,
spartan,Spartan,spartan,Logic Flaw,business_logic_failure,,,,
dodo_flashloan,DODO,dodo_flashloan,Flashloan Attack,unassigned,,,,
pancakebunny,PancakeBunny,pancakebunny,Price Oracle Manipulation,unassigned,,,,
burgerswap,BurgerSwap,burgerswap,Mathematical flaw + Reentrancy,unassigned,,,,
88mph,88mph NFT,88mph,Access control,authorization_failure,,,,
eleven,Eleven Finance,eleven,Doesn’t burn shares,unassigned,,,,
xwin,xWin Finance,xwin,subscription-incentive-mechanism,unassigned,,,,
cream,Cream Finance,cream,Flashloan Attack + Reentrancy,unassigned,,,,
xsurge,XSURGE,xsurge,Flashloan Attack + Reentrancy,unassigned,,,,
nowswap,NowSwap Platform,nowswap,Incorrect calculation,unassigned,,,,
nimbus,Nimbus Platform,nimbus,Incorrect calculation,unassigned,,,,
waultfinance,WaultFinace,waultfinance,FlashLoan price manipulation,unassigned,,,,
sushimiso,SushiSwap Miso,sushimiso,Insufficient validation,unassigned,,,,
balancer_20200628,Balancer Protocol,balancer,Token Incompatible,token_semantics_mismatch,,,,
mono,MonoX Finance,mono,Price Manipulation,oracle_or_market_manipulation,,,,
