case_name,incident_name,incident_date,incident_record_sha256,source_snapshot_sha256,protocol_family,primary_root_cause,confidence,evidence_references
bancor,Bancor Protocol,2020-06-18,12e769362c1be3988caf52c51ee183a7013887915f0bf8dccff261ab8b849737,93b19197192b409cf7360b9bfa564d474da5a115f9bf279a5b8cc61093dadab6,,,,
opyn,Opyn Protocol,2020-08-04,1a0143eddb168a6b6e718dd3f5a498429851eb5c198743f2b4c666b645a585ed,93b19197192b409cf7360b9bfa564d474da5a115f9bf279a5b8cc61093dadab6,,,,
bzx,bzx,2020-09-12,c1757886f5994b885b6fb157b5a4976ef009ba0a86633e2a73a8817e0b872a24,93b19197192b409cf7360b9bfa564d474da5a115f9bf279a5b8cc61093dadab6,,,,
cover,Cover Protocol,2020-12-29,092f869ecaf110a83300555d4e398c4f08a8e4b38f93fd479f97051f43bc0129,93b19197192b409cf7360b9bfa564d474da5a115f9bf279a5b8cc61093dadab6,,,,
pickle,Pickle Finance,2020-11-21,a60badf8ba8b49d7a818d8faba95f5f92214542caff298ac5a90b3ccdca24be9,93b19197192b409cf7360b9bfa564d474da5a115f9bf279a5b8cc61093dadab6,,,,
harvestfinance,Harvest Finance,2020-10-26,c41b70ddd318d13aaad01c2ebd818fb9f75d6e6f8efb1b1c53810f7555c3ef9a,93b19197192b409cf7360b9bfa564d474da5a115f9bf279a5b8cc61093dadab6,,,,
sushi_badger_digg,Sushi Badger Digg,2021-01-25,6cc76f4b0a801f0f122487a783e4e2c3b59a2fb508f651b6ead428f2cfd64ad7,93b19197192b409cf7360b9bfa564d474da5a115f9bf279a5b8cc61093dadab6,,,,
lendfme,LendfMe,2020-04-19,e677aa96067ef58ffc2bfdf68f5648eb770e9cd210e39d3ed6eb2de7cb477191,93b19197192b409cf7360b9bfa564d474da5a115f9bf279a5b8cc61093dadab6,,,,
yearn_ydai,Yearn YDai,2021-02-04,089690c08fc86910dc446f979c46e99708d6ddce64e4303b043f4387d8cc8df8,93b19197192b409cf7360b9bfa564d474da5a115f9bf279a5b8cc61093dadab6,,,,
uranium,Uranium,2021-04-28,9d3eb5e27031d69b5e57b9f3040bd23c3bfd10c631389c6b250f9f8f3d98d7fd,93b19197192b409cf7360b9bfa564d474da5a115f9bf279a5b8cc61093dadab6,,,,
spartan,Spartan,2021-05-02,1e131cb812e4acd651d55f9cefaae8ca2216a72785cadcbd19e7d66491a453f6,93b19197192b409cf7360b9bfa564d474da5a115f9bf279a5b8cc61093dadab6,,,,
dodo_flashloan,DODO,2021-03-08,e74bcf9627e666abcc1dd105229c09bd34d85b635197b7580cedb3c48eed0246,93b19197192b409cf7360b9bfa564d474da5a115f9bf279a5b8cc61093dadab6,,,,
pancakebunny,PancakeBunny,2021-05-19,baf63791a4277f87d91ddc0567f2b55ffda4a381f3294e1a8b8b6b891a7836ff,93b19197192b409cf7360b9bfa564d474da5a115f9bf279a5b8cc61093dadab6,,,,
burgerswap,BurgerSwap,2021-05-27,63e826cb9881b371ac3674c38a3a8b812dbb7807ef3c75978eb8b6e3dd255630,93b19197192b409cf7360b9bfa564d474da5a115f9bf279a5b8cc61093dadab6,,,,
88mph,88mph NFT,2021-06-07,4451139dfa098f690604a55207330189bd34c454b39867257c40110ef5f8f71a,93b19197192b409cf7360b9bfa564d474da5a115f9bf279a5b8cc61093dadab6,,,,
eleven,Eleven Finance,2021-06-22,5ffd3ed363cfbe0e373320610197f27c34e430107e5366516a6dfb3ca245b549,93b19197192b409cf7360b9bfa564d474da5a115f9bf279a5b8cc61093dadab6,,,,
xwin,xWin Finance,2021-06-25,9aa89bc4c360d07aa0711f47b8f5b59db465dc22d8f306bc5315b5977a993395,93b19197192b409cf7360b9bfa564d474da5a115f9bf279a5b8cc61093dadab6,,,,
cream,Cream Finance,2021-08-30,7eb8399ca0ec2a1f3c1f751a139eb23c890e45ed189ed42cb86f3c8e2e987194,93b19197192b409cf7360b9bfa564d474da5a115f9bf279a5b8cc61093dadab6,,,,
xsurge,XSURGE,2021-08-17,4f6037b245cd4ce4e5c660dce57cef491cd19921f8610fd9948f5b496bf6d1aa,93b19197192b409cf7360b9bfa564d474da5a115f9bf279a5b8cc61093dadab6,,,,
nowswap,NowSwap Platform,2021-09-15,1cf9f8da8125f234890449362de85fb1b390e41dc8287302242423b36ef935f7,93b19197192b409cf7360b9bfa564d474da5a115f9bf279a5b8cc61093dadab6,,,,
nimbus,Nimbus Platform,2021-09-15,360fd55e367d0f5ee34eca04acb003298f83f95c9fda4d4098810ae84a16d73e,93b19197192b409cf7360b9bfa564d474da5a115f9bf279a5b8cc61093dadab6,,,,
waultfinance,WaultFinace,2021-08-04,320f1be574bb2e5f6bf78c522759e7164148a5238854b7e77a70674f85db1070,93b19197192b409cf7360b9bfa564d474da5a115f9bf279a5b8cc61093dadab6,,,,
sushimiso,SushiSwap Miso,2021-09-16,4103dc779de5b388c14c86f7e5dcfef58c7ceaabecac89af2dec0cd05f5b1415,93b19197192b409cf7360b9bfa564d474da5a115f9bf279a5b8cc61093dadab6,,,,
balancer_20200628,Balancer Protocol,2020-06-28,cff6c4627717d0667b3d6ecc390f2da2c0f3c61c6ed558a40bf841b4f98fe071,93b19197192b409cf7360b9bfa564d474da5a115f9bf279a5b8cc61093dadab6,,,,
mono,MonoX Finance,2021-11-30,9cd973d11f8ed1476098b090748f544d24666be4e5b92bc1afeb421b3acdd613,93b19197192b409cf7360b9bfa564d474da5a115f9bf279a5b8cc61093dadab6,,,,
ploutoz,Ploutoz,2021-11-23,f016e278ccd20466d1c44ecf3252729611d6ed2f3adcdd5cc925aa429fbc06d5,93b19197192b409cf7360b9bfa564d474da5a115f9bf279a5b8cc61093dadab6,,,,
nervebridge,Nerve Bridge,2021-12-14,dece0a59673e8a0b9d944e2fcd67cd2b5d5239e4cb05e2b2729b09227a85a2d9,93b19197192b409cf7360b9bfa564d474da5a115f9bf279a5b8cc61093dadab6,,,,
indexedfinance,Indexed Finance,2021-10-15,abff0f9940c92bfd88c9e82d7635f75ccf5764ace19a5f5e9c4cd4b956e55487,93b19197192b409cf7360b9bfa564d474da5a115f9bf279a5b8cc61093dadab6,,,,
visor,Visor Finance,2021-12-21,57608208f426b1549e7143e045cdcb5c8a3b867e37bcb5efc1392972450cc86e,93b19197192b409cf7360b9bfa564d474da5a115f9bf279a5b8cc61093dadab6,,,,
julswap,JulSwap,2021-05-27,78404b116f80b9ab51f5cb3ac92b2df41ae1cf804c432dcd98d241844b780f35,93b19197192b409cf7360b9bfa564d474da5a115f9bf279a5b8cc61093dadab6,,,,
pancakehunny,PancakeHunny,2021-06-03,5cb67b48f7a41c216434ae429a489c490ed20fd197e82c07d18a19c4849ebf43,93b19197192b409cf7360b9bfa564d474da5a115f9bf279a5b8cc61093dadab6,,,,
valuedefi,Value Defi,2021-05-08,7d78083794faec03af1482a8b998008684c65c30acb511987f8185adfe9bce7a,93b19197192b409cf7360b9bfa564d474da5a115f9bf279a5b8cc61093dadab6,,,,
tecraspace,TecraSpace,2022-02-04,8dcc6cf14da53d18c0dffbe05975ae19cdbb89258d900603f38bd288d7068f77,e7668ddd37e305db9052d4f208bb3b87d1e75956950739d5e9f1fd66f4c26267,,,,
sandbox,Sandbox LAND,2022-02-08,ea64f46e2fff8fae01b0e05861d701df420f54d3860838a780ff19c9b45cd38a,e7668ddd37e305db9052d4f208bb3b87d1e75956950739d5e9f1fd66f4c26267,,,,
compoundtusd,CompoundTUSDSweepTokenBypass,2022-03-22,ac5eaa0ad8052973e9e01fb663f70c77e9001defccbcbad78bbc098a269ac35e,e7668ddd37e305db9052d4f208bb3b87d1e75956950739d5e9f1fd66f4c26267,,,,
bearn,bEarn,2021-05-16,9ed3b8cb1b7fc21c248e7e2df5c1700288d1ff0847766c32554a1ada5bb9e39e,93b19197192b409cf7360b9bfa564d474da5a115f9bf279a5b8cc61093dadab6,,,,
anyswap,Multichain (Anyswap),2022-01-18,77860e9a02b9d1b78a1dd3749b28c3ff90bf9351a92a266d527389790e9bf2a6,e7668ddd37e305db9052d4f208bb3b87d1e75956950739d5e9f1fd66f4c26267,,,,
auctus,Auctus,2022-03-26,f7eac2bb75803bc24ee13d8d49f11db7ecc7b5c5f45fde7d1c6c9cd88fdda442,e7668ddd37e305db9052d4f208bb3b87d1e75956950739d5e9f1fd66f4c26267,,,,
