path,phase,required,owner,status,revision,sha256,consumes,evidence_ids,confidentiality,produced_by,verified_by,verification_id,verification_event_id,semantic_type,na_policy_code,na_reason_code,updated_at,notes
00-governance/intake-original.md,INTAKE,true,root-integration-owner,VERIFIED,2,e7e2c21c831851cf40b800af2b7ab3a3a621cf6b7820ba392604de18aa80e7f1,,INPUT-001,UNRESOLVED,single-input-kickoff,/root/chronosaudit_attempt7_canonical_challenge,V3-INTAKE-ORIGINAL-SEMANTIC-001,VER-3777b4102d08,generic,GENERIC,,2026-08-01T20:48:12Z,Schema-v3 migration revalidation PASS against preserved user intake. SHA-256 e7e2c21c831851cf40b800af2b7ab3a3a621cf6b7820ba392604de18aa80e7f1.
00-governance/intake.json,INTAKE,true,root-integration-owner,VERIFIED,3,4b31814bea33d1ce120221360f0f13f95b4f3abb45588484322ae170ffc30402,00-governance/intake-original.md,INPUT-001,UNRESOLVED,single-input-kickoff,/root/chronosaudit_attempt7_canonical_challenge,V3-INTAKE-NORMALIZED-SEMANTIC-001,VER-73d94b63d18d,generic,GENERIC,,2026-08-01T20:48:12Z,Schema-v3 normalized intake and E1 assertion boundaries independently revalidated PASS. SHA-256 4b31814bea33d1ce120221360f0f13f95b4f3abb45588484322ae170ffc30402.
00-governance/program-charter.md,INTAKE,true,root-integration-owner,VERIFIED,3,56a6aa4f9519e7edeb20ad1dee155a04b559cb102c276e9c8a7c5ce266fd927c,00-governance/intake.json,"INPUT-001,C001,C002",UNRESOLVED,root-integration-owner,/root/chronosaudit_attempt7_canonical_challenge,NOV-A8-REFRAME-CHARTER-001,VER-6228a446acf0,generic,GENERIC,,2026-08-01T21:02:31Z,"Attempt-8 authorized measurement-only reframe verified PASS; exact user claim preserved, broader joint claim historical, prospective phase excluded, archive/RPC authority withheld. SHA-256 56a6aa4f9519e7edeb20ad1dee155a04b559cb102c276e9c8a7c5ce266fd927c."
00-governance/decision-log.md,INTAKE,false,root-integration-owner,DRAFT,44,9feacbe871d2d14abdf258de1db1464e8cff903782ea6d977987120a5a77a867,00-governance/intake.json,C001,UNRESOLVED,root-integration-owner,,,,generic,GENERIC,,2026-08-01T21:17:51Z,"Append-only Attempt-8 authority, recovery, gate, control-state correction, and validation closeout recorded. Gate outcome is NOVELTY_UNRESOLVED; structural checker PASS and strict checker expected failure due open invalidation queue."
01-novelty/problem-investigation.md,NOVELTY_AUDIT,true,problem_investigation,STALE,5,581a0d3b1810ff57d5224f444a736492591435b18cf3ec30072fde8a9410815f,00-governance/program-charter.md,C001,UNRESOLVED,root-integration-owner,,,,generic,GENERIC,,2026-08-01T21:16:21Z,"Invalidated: NOVELTY_UNRESOLVED: Attempt-8 validly reframed C001 as a joint capability-survival measurement contribution and recovered no equivalent single predecessor, but the independently owned bounded audit failed its frozen reconstruction contract: query-level UTC/count/screened/retained/exclusion fields were missing, FinSurvival was unrecovered, one closest-work traversal and patent coverage were incomplete, and the pre-ledger freeze was not timestamped. Strong component precedents and obvious-recombination risk therefore remain. The prespecified stop rule prohibits another autonomous retry under this authorization."
01-novelty/search-protocol.md,NOVELTY_AUDIT,true,root-integration-owner,STALE,7,8b728842ad1aa4561479373b930fcc09f5f0ca7aae7e00e6920ce1a4242f8fcb,01-novelty/problem-investigation.md,C001,UNRESOLVED,root-integration-owner,,,,generic,GENERIC,,2026-08-01T21:16:21Z,"Invalidated: NOVELTY_UNRESOLVED: Attempt-8 validly reframed C001 as a joint capability-survival measurement contribution and recovered no equivalent single predecessor, but the independently owned bounded audit failed its frozen reconstruction contract: query-level UTC/count/screened/retained/exclusion fields were missing, FinSurvival was unrecovered, one closest-work traversal and patent coverage were incomplete, and the pre-ledger freeze was not timestamped. Strong component precedents and obvious-recombination risk therefore remain. The prespecified stop rule prohibits another autonomous retry under this authorization."
01-novelty/evidence-ledger.csv,NOVELTY_AUDIT,true,root-integration-owner,STALE,6,f7259654d8159a3d6caeb3e5e90ec16b28e12dd27debb448077527232d76d15d,01-novelty/search-protocol.md,PA001-PA040,UNRESOLVED,root-integration-owner,,,,generic,GENERIC,,2026-08-01T21:16:21Z,"Invalidated: NOVELTY_UNRESOLVED: Attempt-8 validly reframed C001 as a joint capability-survival measurement contribution and recovered no equivalent single predecessor, but the independently owned bounded audit failed its frozen reconstruction contract: query-level UTC/count/screened/retained/exclusion fields were missing, FinSurvival was unrecovered, one closest-work traversal and patent coverage were incomplete, and the pre-ledger freeze was not timestamped. Strong component precedents and obvious-recombination risk therefore remain. The prespecified stop rule prohibits another autonomous retry under this authorization."
01-novelty/novelty-matrix.csv,NOVELTY_AUDIT,true,root-integration-owner,STALE,7,5c84430a94dfaf6dd26a073b4dd0bf949d2f4483e5c4dc9cfc4575c63d261a72,01-novelty/evidence-ledger.csv,C001,UNRESOLVED,root-integration-owner,,,,novelty_matrix,NOVELTY_MATRIX_REQUIRED,,2026-08-01T21:16:21Z,"Invalidated: NOVELTY_UNRESOLVED: Attempt-8 validly reframed C001 as a joint capability-survival measurement contribution and recovered no equivalent single predecessor, but the independently owned bounded audit failed its frozen reconstruction contract: query-level UTC/count/screened/retained/exclusion fields were missing, FinSurvival was unrecovered, one closest-work traversal and patent coverage were incomplete, and the pre-ledger freeze was not timestamped. Strong component precedents and obvious-recombination risk therefore remain. The prespecified stop rule prohibits another autonomous retry under this authorization."
01-novelty/citation-audit.md,NOVELTY_AUDIT,true,root-integration-owner,STALE,7,ba2a79b7acd63ec83511c007b4f09d55ddf2a6430ca9ab7b2e74b83fd25a1b73,01-novelty/evidence-ledger.csv|01-novelty/novelty-matrix.csv,C001,UNRESOLVED,root-integration-owner,,,,generic,GENERIC,,2026-08-01T21:16:21Z,"Invalidated: NOVELTY_UNRESOLVED: Attempt-8 validly reframed C001 as a joint capability-survival measurement contribution and recovered no equivalent single predecessor, but the independently owned bounded audit failed its frozen reconstruction contract: query-level UTC/count/screened/retained/exclusion fields were missing, FinSurvival was unrecovered, one closest-work traversal and patent coverage were incomplete, and the pre-ledger freeze was not timestamped. Strong component precedents and obvious-recombination risk therefore remain. The prespecified stop rule prohibits another autonomous retry under this authorization."
01-novelty/causal-model.mmd,NOVELTY_AUDIT,true,problem_investigation,STALE,5,2f7c579f61eff99bb9135ce599ccaf17cafa115c1df41f4489543d3f46984c20,01-novelty/problem-investigation.md,C001,UNRESOLVED,root-integration-owner,,,,generic,GENERIC,,2026-08-01T21:16:21Z,"Invalidated: NOVELTY_UNRESOLVED: Attempt-8 validly reframed C001 as a joint capability-survival measurement contribution and recovered no equivalent single predecessor, but the independently owned bounded audit failed its frozen reconstruction contract: query-level UTC/count/screened/retained/exclusion fields were missing, FinSurvival was unrecovered, one closest-work traversal and patent coverage were incomplete, and the pre-ledger freeze was not timestamped. Strong component precedents and obvious-recombination risk therefore remain. The prespecified stop rule prohibits another autonomous retry under this authorization."
